Selected_characteristic,Any_cancer1,Breast_cancer1,Cervical_cancer1,Prostate_cancer1
Total,8.5 (0.20),1.5 (0.08),1.1 (0.11),2.3 (0.15)
Sex: Male,7.6 (0.29),*0.1 (0.02),,2.3 (0.15)
Sex: Female,9.2 (0.27),2.8 (0.15),1.1 (0.11),
Age (years): 18–44,1.8 (0.15),0.1 (0.03),1.0 (0.19),
Age (years): 45–64,9.5 (0.35),1.6 (0.15),1.3 (0.19),1.4 (0.20)
Age (years): 65–74,21.2 (0.81),3.6 (0.35),1.5 (0.31),9.0 (0.91)
Age (years): 75 and over,27.1 (1.01),6.1 (0.56),*0.4 (0.11),13.0 (1.32)
Race: One race2,8.5 (0.20),1.5 (0.08),1.1 (0.12),2.3 (0.15)
Race: White,9.6 (0.24),1.7 (0.09),1.2 (0.14),2.2 (0.17)
Race: Black or African American,4.6 (0.34),0.8 (0.13),0.5 (0.14),3.0 (0.45)
Race: American Indian or Alaska Native,*3.4 (1.07),,,
Race: Asian,2.4 (0.41),*0.3 (0.12),*0.4 (0.16),*1.6 (0.64)
Race: Native Hawaiian or Other Pacific Islander,,,,
Race: Two or more races3,8.4 (1.39),*1.5 (0.57),*1.6 (0.60),
"Race: ""Black or African American  white""",*3.0 (1.35),,,
"Race: ""American Indian or Alaska Native  white""",14.1 (2.90),*2.7 (1.28),*2.9 (1.29),
Hispanic or Latino origin4 and race: Hispanic or Latino,3.0 (0.25),0.6 (0.11),0.6 (0.16),0.7 (0.17)
Hispanic or Latino origin4 and race: Mexican or Mexican American,2.3 (0.28),0.4 (0.12),0.6 (0.17),*0.5 (0.16)
Hispanic or Latino origin4 and race: Not Hispanic or Latino,9.4 (0.23),1.6 (0.09),1.1 (0.13),2.5 (0.17)
"Hispanic or Latino origin4 and race: ""White  single race""",10.9 (0.28),1.9 (0.11),1.3 (0.16),2.5 (0.20)
"Hispanic or Latino origin4 and race: ""Black or African American  single race""",4.7 (0.35),0.8 (0.14),*0.4 (0.13),3.2 (0.47)
Education5: Less than a high school diploma,8.7 (0.51),1.4 (0.19),1.0 (0.23),2.6 (0.42)
Education5: High school diploma or GED6,10.8 (0.47),2.1 (0.21),1.3 (0.24),3.1 (0.39)
Education5: Some college,9.5 (0.41),1.6 (0.16),1.7 (0.33),2.1 (0.31)
Education5: Bachelor's degree or higher,9.1 (0.39),1.6 (0.16),0.6 (0.12),2.7 (0.29)
