Selected_characteristic,All_adults_aged_18_and_over,Inactive_with_respect_to_aerob,Insufficiently_active_with_res,Sufficiently_active_met_aerobi,All_adults_aged_18_and_over_1,Did_not_meet_full_guidelines_f,Met_full_muscle_strengthening_,Met_full_aerobic_activity_guid,Met_full_guidelines_for_both_a
Total,100,27.6 (0.51),20.5 (0.33),51.9 (0.48),100,44.6 (0.49),3.6 (0.14),29.9 (0.38),21.9 (0.36)
Sex: Male,100,25.6 (0.58),18.6 (0.44),55.8 (0.63),100,40.3 (0.62),4.0 (0.23),29.7 (0.52),25.9 (0.51)
Sex: Female,100,29.4 (0.62),22.3 (0.44),48.3 (0.58),100,48.5 (0.60),3.2 (0.16),30.1 (0.49),18.2 (0.43)
Age (years): 18–44,100,22.1 (0.63),18.8 (0.48),59.1 (0.66),100,37.9 (0.65),3.0 (0.22),31.1 (0.56),28.0 (0.56)
Age (years): 45–64,100,28.0 (0.73),22.2 (0.55),49.8 (0.73),100,46.6 (0.74),3.7 (0.24),30.7 (0.61),19.0 (0.53)
Age (years): 65–74,100,32.6 (0.93),22.7 (0.77),44.7 (0.96),100,50.8 (0.98),4.5 (0.39),29.1 (0.86),15.7 (0.71)
Age (years): 75 and over,100,50.1 (1.13),20.4 (0.88),29.5 (1.04),100,65.4 (1.08),5.2 (0.48),21.0 (0.94),8.4 (0.61)
Race: One race2,100,27.6 (0.52),20.6 (0.33),51.8 (0.48),100,44.8 (0.49),3.5 (0.14),29.9 (0.39),21.8 (0.36)
Race: White,100,26.5 (0.57),20.6 (0.37),52.9 (0.54),100,43.7 (0.55),3.5 (0.15),30.4 (0.43),22.4 (0.41)
Race: Black or African American,100,36.8 (1.20),18.2 (0.94),45.0 (1.15),100,51.3 (1.15),3.7 (0.37),24.0 (0.98),21.0 (1.00)
Race: American Indian or Alaska Native,100,34.3 (3.84),23.1 (3.47),42.6 (4.05),100,54.0 (4.14),,27.3 (3.26),15.3 (2.53)
Race: Asian,100,22.2 (1.49),25.3 (1.52),52.5 (1.72),100,43.7 (1.69),3.8 (0.65),35.4 (1.63),17.0 (1.33)
Race: Native Hawaiian or Other Pacific Islander,100,20.9 (5.46),25.3 (5.74),,100,42.4 (7.01),,27.8 (6.39),
Race: Two or more races3,100,25.1 (2.35),15.6 (1.94),59.3 (2.85),100,33.9 (2.57),7.4 (1.92),32.3 (2.95),26.3 (2.43)
"Race: ""Black or African American  white""",100,30.3 (6.78),16.1 (4.32),53.6 (6.99),100,38.8 (7.10),,21.9 (6.48),31.7 (6.19)
"Race: ""American Indian or Alaska Native  white""",100,30.2 (3.53),13.8 (2.64),56.1 (3.89),100,41.7 (3.89),,31.4 (3.65),23.0 (3.25)
Hispanic or Latino origin4 and race: Hispanic or Latino,100,35.1 (1.49),18.9 (0.92),46.1 (1.33),100,50.9 (1.40),3.2 (0.39),27.7 (1.03),18.2 (0.93)
Hispanic or Latino origin4 and race: Mexican or Mexican American,100,33.8 (2.21),19.9 (1.21),46.3 (1.95),100,51.1 (2.06),2.7 (0.47),29.2 (1.48),17.0 (1.20)
Hispanic or Latino origin4 and race: Not Hispanic or Latino,100,26.1 (0.51),20.8 (0.35),53.0 (0.49),100,43.4 (0.49),3.7 (0.15),30.3 (0.40),22.6 (0.38)
"Hispanic or Latino origin4 and race: ""White  single race""",100,24.5 (0.56),20.9 (0.39),54.5 (0.55),100,41.9 (0.55),3.6 (0.16),31.0 (0.44),23.4 (0.43)
"Hispanic or Latino origin4 and race: ""Black or African American  single race""",100,36.7 (1.23),18.5 (0.97),44.8 (1.18),100,51.5 (1.18),3.8 (0.39),23.7 (1.00),21.0 (1.01)
