Selected_characteristic,All_adults_aged_18_and_over,Excellent_or_very_good_health_,Good_health_status1,Fair_or_poor_health_status1,Pain_in_face_or_jaw1
Total,100,62.0 (0.41),26.1 (0.37),11.9 (0.25),
Sex: Male,100,62.4 (0.57),26.2 (0.52),11.4 (0.35),
Sex: Female,100,61.6 (0.55),26.0 (0.50),12.4 (0.33),
Age (years): 18–44,100,71.6 (0.59),22.1 (0.53),6.3 (0.31),
Age (years): 45–64,100,54.7 (0.70),29.6 (0.64),15.7 (0.48),
Age (years): 65–74,100,48.1 (0.90),32.5 (0.84),19.4 (0.74),
Age (years): 75 and over,100,41.4 (1.04),32.5 (1.02),26.0 (0.97),
Race: One race2,100,62.2 (0.42),25.9 (0.37),11.8 (0.26),
Race: White,100,63.7 (0.45),25.2 (0.40),11.0 (0.27),
Race: Black or African American,100,53.0 (1.17),29.8 (1.10),17.1 (0.78),
Race: American Indian or Alaska Native,100,38.8 (3.53),36.1 (3.09),25.1 (2.59),
Race: Asian,100,64.9 (1.54),24.4 (1.43),10.7 (0.98),
Race: Native Hawaiian or Other Pacific Islander,100,,26.8 (6.48),20.6 (4.34),
Race: Two or more races3,100,51.3 (2.65),33.7 (2.50),15.0 (1.62),
"Race: ""Black or African American  white""",100,45.7 (5.53),38.6 (5.63),15.6 (2.45),
"Race: ""American Indian or Alaska Native  white""",100,50.5 (4.30),29.9 (3.80),19.6 (2.82),
Hispanic or Latino origin4 and race: Hispanic or Latino,100,55.3 (1.06),28.7 (0.98),16.0 (0.75),
Hispanic or Latino origin4 and race: Mexican or Mexican American,100,52.8 (1.42),30.3 (1.29),16.9 (0.99),
Hispanic or Latino origin4 and race: Not Hispanic or Latino,100,63.1 (0.45),25.5 (0.40),11.4 (0.27),
"Hispanic or Latino origin4 and race: ""White  single race""",100,65.4 (0.48),24.2 (0.42),10.4 (0.29),
"Hispanic or Latino origin4 and race: ""Black or African American  single race""",100,52.7 (1.20),30.4 (1.13),16.9 (0.80),
Education5: Less than a high school diploma,100,40.8 (1.30),34.0 (1.26),25.2 (1.04),
Education5: High school diploma or GED6,100,51.5 (0.89),31.8 (0.81),16.7 (0.62),
Education5: Some college,100,57.8 (0.73),29.1 (0.69),13.1 (0.49),
Education5: Bachelor's degree or higher,100,73.1 (0.60),20.7 (0.54),6.1 (0.30),
Current employment status7: Employed,100,68.8 (0.53),25.3 (0.51),6.0 (0.28),
Current employment status7: Full-time,100,69.7 (0.70),25.3 (0.69),5.0 (0.33),
Current employment status7: Part-time,100,65.6 (1.18),25.6 (1.09),8.8 (0.66),
Current employment status7: Not employed but has worked previously,100,50.6 (0.93),27.1 (0.83),22.3 (0.71),
Current employment status7: Not employed and has never worked ,100,48.1 (2.08),28.3 (1.91),23.6 (1.69),
"Family income8: ""Less than $35 000""",100,46.5 (0.76),30.6 (0.72),22.9 (0.62),
"Family income8: ""$35 000 or more""",100,67.4 (0.47),24.2 (0.42),8.3 (0.27),
"Family income8: ""$35 000–$49 999""",100,56.2 (1.12),28.8 (1.08),15.0 (0.82),
"Family income8: ""$50 000–$74 999""",100,58.7 (0.98),30.0 (0.91),11.2 (0.64),
"Family income8: ""$75 000–$99 999""",100,66.7 (1.07),25.9 (0.97),7.5 (0.64),
"Family income8: ""$100 000 or more""",100,75.9 (0.69),19.0 (0.63),5.0 (0.35),
Poverty status9: Poor,100,41.9 (1.14),29.9 (1.17),28.2 (1.01),
Poverty status9: Near poor,100,48.5 (0.98),31.4 (0.92),20.1 (0.76),
Poverty status9: Not poor,100,67.8 (0.46),24.2 (0.41),8.0 (0.25),
Under 65:Private,100,72.4 (0.51),21.8 (0.47),5.8 (0.25),
Under 65:Medicaid,100,44.1 (1.31),31.1 (1.21),24.8 (1.07),
Under 65:Other coverage,100,48.9 (2.26),29.7 (2.03),21.4 (1.67),
Under 65:Uninsured,100,56.7 (1.30),31.3 (1.23),11.9 (0.79),
65 and over:Private,100,50.6 (1.05),32.6 (1.03),16.8 (0.80),
65 and over:Medicare and Medicaid,100,16.9 (1.68),29.7 (2.14),53.5 (2.43),
65 and over:Medicare Advantage,100,47.3 (1.43),33.3 (1.32),19.5 (1.13),
65 and over:Medicare only,100,42.9 (1.81),32.2 (1.56),24.9 (1.56),
65 and over:Other coverage,100,38.6 (2.04),31.9 (1.98),29.6 (2.14),
65 and over:Uninsured,100,,,,
Marital status: Married,100,65.7 (0.55),24.9 (0.50),9.4 (0.30),
Marital status: Widowed,100,49.7 (4.98),33.1 (4.74),17.2 (2.49),
Marital status: Divorced or separated,100,52.2 (1.18),30.6 (1.10),17.2 (0.91),
Marital status: Never married,100,56.7 (0.92),26.9 (0.88),16.4 (0.79),
Marital status: Living with a partner,100,60.1 (1.55),25.3 (1.42),14.7 (1.26),
Place of residence11: Large MSA,100,63.9 (0.55),25.1 (0.49),11.0 (0.34),
Place of residence11: Small MSA,100,61.1 (0.73),26.4 (0.66),12.6 (0.44),
Place of residence11: Not in MSA,100,55.1 (1.22),30.1 (1.01),14.7 (0.80),
Region: Northeast,100,65.6 (0.98),24.7 (0.85),9.7 (0.60),
Region: Midwest,100,62.9 (0.90),25.9 (0.75),11.2 (0.49),
Region: South,100,59.0 (0.67),27.1 (0.63),13.8 (0.43),
Region: West,100,63.1 (0.86),25.7 (0.73),11.2 (0.55),
"Hispanic or Latino origin4  race  and sex: ""Hispanic or Latino  male""",100,56.3 (1.56),29.3 (1.43),14.3 (1.11),
"Hispanic or Latino origin4  race  and sex: ""Hispanic or Latina  female""",100,54.5 (1.38),28.1 (1.27),17.4 (0.94),
"Not Hispanic or Latino:""White  single race  male""",100,65.6 (0.64),24.2 (0.59),10.2 (0.39),
"Not Hispanic or Latino:""White  single race  female""",100,65.2 (0.66),24.2 (0.58),10.6 (0.41),
"Not Hispanic or Latino:""Black or African American  single race  male""",100,54.4 (1.86),29.8 (1.71),15.8 (1.20),
"Not Hispanic or Latino:""Black or African American  single race  female""",100,51.4 (1.46),30.8 (1.49),17.8 (1.08),
