Selected_characteristic,All_children_under_age_18_year,None1,One1,Two_or_more1_,Pain_in_face_or_jaw1
Total,100,80.4 (0.54),12.0 (0.44),7.6 (0.39),
Sex: Male,100,78.9 (0.81),12.6 (0.65),8.5 (0.57),
Sex: Female,100,81.9 (0.70),11.4 (0.56),6.6 (0.48),
Age: 0-4 years,100,75.3 (1.12),15.2 (0.90),9.5 (0.79),
Age: 5-11 years,100,82.3 (0.85),10.8 (0.66),6.9 (0.61),
Age: 12-17 years,100,82.2 (0.89),11.0 (0.74),6.8 (0.59),
Race: One race2,100,80.5 (0.56),11.9 (0.46),7.5 (0.40),
Race: White,100,81.6 (0.62),11.5 (0.51),6.9 (0.43),
Race: Black or African American,100,73.7 (1.58),15.7 (1.31),10.6 (1.19),
Race: American Indian or Alaska Native,100,64.4 (5.48),16.4 (3.46),19.3 (5.53),
Race: Asian,100,87.8 (1.81),7.4 (1.24),4.7 (1.36),
Race: Native Hawaiian or Other Pacific Islander,100,,,,
Race: Two or more races3,100,78.2 (2.50),13.5 (2.18),8.3 (1.55),
Race: Black or African American and white,100,74.2 (4.09),15.4 (3.47),10.4 (2.69),
Race: American Indian or Alaska Native and white,100,83.4 (4.88),,,
Hispanic or Latino origin4 and race: Hispanic or Latino,100,79.3 (1.19),11.8 (0.94),9.0 (0.86),
Hispanic or Latino origin4 and race: Mexican or Mexican American,100,80.4 (1.57),11.5 (1.24),8.1 (1.05),
Hispanic or Latino origin4 and race: Not Hispanic or Latino,100,80.8 (0.61),12.1 (0.51),7.1 (0.43),
"Hispanic or Latino origin4 and race: ""White  single race""",100,82.3 (0.73),11.5 (0.60),6.2 (0.48),
"Hispanic or Latino origin4 and race: ""Black or African American only  single race""",100,73.4 (1.66),15.7 (1.37),10.9 (1.28),
Family structure5: Mother and father,100,82.8 (0.60),11.3 (0.52),5.9 (0.40),
"Family structure5: ""Mother  no father""",100,72.8 (1.26),14.6 (1.02),12.6 (0.97),
"Family structure5: ""Father  no mother""",100,80.7 (2.84),8.2 (1.43),11.1 (2.67),
Family structure5: Neither mother nor father,100,78.6 (2.86),15.4 (2.68),6.0 (1.42),
Parent's education6: Less than high school diploma,100,75.9 (1.98),11.6 (1.44),12.5 (1.49),
Parent's education6: High school diploma or GED7,100,77.9 (1.37),12.2 (1.06),9.9 (1.06),
Parent's education6: More than high school,100,81.7 (0.65),11.9 (0.54),6.4 (0.42),
"Family income8: ""Less than $35 000""",100,72.4 (1.30),15.2 (1.09),12.4 (0.96),
"Family income8: ""$35 000 or more""",100,82.5 (0.63),11.3 (0.52),6.2 (0.42),
"Family income8: ""$35 000-$49 999""",100,74.7 (2.01),14.5 (1.62),10.8 (1.57),
"Family income8: ""$50 000-$74 999""",100,80.7 (1.42),11.5 (1.15),7.8 (1.04),
"Family income8: ""$75 000-$99 999""",100,81.8 (1.48),13.1 (1.33),5.1 (0.83),
"Family income8: ""$100 000 or more""",100,85.6 (0.87),9.8 (0.68),4.6 (0.56),
Poverty status9: Poor,100,73.8 (1.60),13.4 (1.30),12.7 (1.18),
Poverty status9: Near poor,100,75.1 (1.44),14.5 (1.10),10.3 (1.01),
Poverty status9: Not poor,100,83.5 (0.66),11.1 (0.54),5.5 (0.41),
Health insurance coverage10: Private,100,84.4 (0.65),10.5 (0.55),5.2 (0.42),
Health insurance coverage10: Medicaid or other public,100,73.9 (1.02),14.8 (0.84),11.3 (0.76),
Health insurance coverage10: Other,100,80.7 (2.93),12.9 (2.32),6.3 (1.70),
Health insurance coverage10: Uninsured,100,81.9 (2.30),9.7 (1.63),8.4 (1.85),
Place of residence11: Large MSA,100,81.3 (0.68),11.7 (0.59),7.0 (0.47),
Place of residence11: Small MSA,100,80.1 (0.98),12.1 (0.77),7.8 (0.70),
Place of residence11: Not in MSA,100,77.1 (1.69),13.5 (1.29),9.4 (1.41),
Region: Northeast,100,81.0 (1.33),12.7 (1.12),6.4 (0.88),
Region: Midwest,100,80.2 (1.11),12.8 (0.97),7.0 (0.75),
Region: South,100,78.7 (0.85),12.5 (0.70),8.8 (0.66),
Region: West,100,82.7 (1.15),10.3 (0.89),6.9 (0.82),
Current health status: Excellent or very good,100,82.2 (0.56),11.5 (0.47),6.3 (0.38),
Current health status: Good,100,71.7 (1.83),14.5 (1.33),13.8 (1.44),
Current health status: Fair or poor,100,53.5 (5.08),20.4 (4.26),26.0 (4.86),
