Selected_characteristic,Lost_job_or_change_in_employme,Change_in_marital_status_or_de,Ineligible_due_to_age_or_left_,Employer_didn_t_offer_or_insur,Cost1,Medicaid_stopped1,Other1
Total,19.9 (0.82),2.1 (0.22),7.5 (0.48),10.2 (0.58),43.9 (1.10),14.7 (0.73),12.4 (0.81)
Sex: Male,21.6 (0.97),2.0 (0.30),8.2 (0.61),10.8 (0.70),44.7 (1.22),10.1 (0.74),13.2 (0.93)
Sex: Female,17.7 (1.03),2.3 (0.33),6.6 (0.58),9.5 (0.71),42.9 (1.39),20.4 (1.03),11.3 (0.92)
Age: Under 12 years,11.7 (2.23),1.7 (0.75),2.3 (1.07),,34.2 (3.63),33.0 (3.63),23.3 (3.70)
Age: 12-17 years,20.5 (3.22),,,,34.9 (3.81),21.3 (3.14),19.2 (3.60)
Age: 18-44 years,17.9 (0.88),1.4 (0.22),11.4 (0.72),10.9 (0.70),43.0 (1.23),14.6 (0.79),11.6 (0.75)
Age: 45-64 years,25.9 (1.29),3.7 (0.51),1.2 (0.31),11.1 (0.88),49.6 (1.55),9.3 (0.84),10.2 (0.94)
Race: One race2,19.6 (0.82),2.1 (0.23),7.2 (0.48),10.2 (0.59),44.2 (1.12),14.6 (0.75),12.5 (0.83)
Race: White,19.3 (0.92),2.4 (0.27),6.8 (0.52),10.4 (0.70),45.3 (1.29),14.4 (0.84),12.3 (0.98)
Race: Black or African American,23.0 (2.25),1.6 (0.52),9.8 (1.29),9.4 (1.27),38.0 (2.34),15.0 (1.65),12.5 (1.48)
Race: American Indian or Alaska Native,19.4 (5.29),,,,,,
Race: Asian,13.4 (3.07),0.3 (0.27),,,43.5 (5.08),19.5 (4.56),20.1 (4.18)
Race: Native Hawaiian or Other Pacific Islander,,,,,,,
Race: Two or more races3,29.7 (5.08),,15.3 (3.01),10.9 (2.66),33.7 (4.51),15.7 (3.13),8.7 (2.49)
"Race: ""Black or African American  white""",,,,,,,
"Race: ""American Indian or Alaska Native  white""",30.3 (6.62),,18.0 (5.46),,,,
Hispanic or Latino origin4 and race: Hispanic or Latino,11.2 (1.19),1.2 (0.28),5.4 (0.64),11.1 (1.14),50.8 (1.90),15.5 (1.27),13.3 (1.19)
Hispanic or Latino origin4 and race: Mexican or Mexican American,12.4 (1.63),0.9 (0.31),5.5 (0.68),10.3 (1.26),51.7 (2.32),16.2 (1.57),11.2 (1.28)
Hispanic or Latino origin4 and race: Not Hispanic or Latino,25.4 (1.13),2.7 (0.30),8.8 (0.65),9.6 (0.66),39.6 (1.28),14.1 (0.86),11.8 (1.10)
