Contract_ID,Project_ID,Project_Name,Ownership,Developer,Address,ZIP,Parcel_ID,Council_District,Unit_Type,Housing_Tenure,Development_Status,Total_Units,Affordable_Units,Total_ADA_Units,PSH_Units,MFI_20,MFI_30,MFI_40,MFI_50,MFI_60,MFI_65,MFI_70,MFI_80,MFI_100,MFI_120,Affordability_Start_Date,Affordability_Expiration_Date,Affordability_Period,FIL_Status,CAL_FIL,Date_FIL_Recorded,HDA,Private_Activity_Bonds,Affordability_Unlocked,SMART,Dev_Agreement,Density_Bonus,FIL,LIHTC,GO_Bonds_2006,GO_Bonds_2013,GO_Bonds_2018,CDBG,CIP_Funds,HOME,HTF,Project_Connect,City_Subsidy,Longitude,Latitude
2,3225,M Station,Foundation Communities Inc.,Foundation Communities Inc.,2906 E Martin Luther King Jr Boulevard,78722,0212130144,1,Multifamily,Rental,Project Completed,150,140,0.0,0,0,28,0,68,36,0,0,8,0,0,11-16-2009,11-16-2108,99,,,,RHDA,No,No,Yes,,,No,9% LIHTC,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,-97.70841372,30.28200722
3,3226,Garden Terrace Expansion (aka Garden Terrace Phase II),Garden Terrace Housing Corporation,Foundation Communities Inc.,1015 W William Cannon Drive,78745,0418140412,2,Multifamily,Rental,Project Completed,15,15,0.0,0,0,0,0,15,0,0,0,0,0,0,10-08-2007,10-08-2037,30,,,,RHDA,No,No,Yes,,,No,,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,,500000.0,-97.79342653,30.19864089
4,3227,LifeWorks Transitional Living Project,Lifeworks,Lifeworks,3710 S 2nd Street,78704,0407060308,3,Multifamily,Rental,Project Completed,12,12,2.0,0,0,0,0,12,0,0,0,0,0,0,05-04-2006,05-04-2026,20,,,,RHDA,No,No,Yes,,,No,,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,,300000.0,-97.77101974,30.22983682
5,3228,Cornerstone,Mary Lee Community,Mary Lee Foundation,1322 Lamar Square Drive,78704,0102040407,5,Multifamily,Rental,Affordability Period Expired,30,30,4.0,0,0,0,0,30,0,0,0,0,0,0,11-21-2002,11-21-2022,20,,,,RHDA,No,No,Yes,,,No,,0.0,0.0,0.0,0.0,0.0,1009502.0,0.0,,0.0,-97.76422389,30.25530621
6,3229,The Willows,Mary Lee Community,Mary Lee Foundation,1330 Lamar Square Drive,78704,0102040412,5,Multifamily,Rental,Project Completed,64,64,0.0,0,0,32,0,28,0,0,0,4,0,0,08-31-2010,08-31-2050,40,,,,RHDA,No,No,Yes,,,No,,2250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,2250000.0,-97.76503931,30.2544562
7,3230,Arbor Terrace,FC Austin One Housing Corporation,Foundation Communities Inc.,2501 S IH-35,78741,0307020317,3,Multifamily,Rental,Project Completed,120,120,15.0,25,0,0,0,120,0,0,0,0,0,0,06-24-2011,06-24-2110,99,,,,RHDA,No,No,Yes,Ground Lease,,No,,898934.0,0.0,0.0,1101066.0,0.0,0.0,0.0,,898934.0,-97.7413955,30.23146027
8,3231,Sierra Vista (fka Shady Oaks),Foundation Communities Inc.,Foundation Communities Inc.,4320 S Congress Avenue,78745,0411050333,3,Multifamily,Rental,Project Completed,238,238,29.0,0,0,24,0,119,0,0,0,95,0,0,02-04-2010,02-04-2109,99,,,,RHDA,No,No,Yes,,,No,9% LIHTC,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,3000000.0,-97.7671846,30.2190338
9,3232,Crossroads Apartments,Crossroads Mutual Housing Corporation,Foundation Communities Inc.,8801 McCann Drive,78757,0244070821,7,Multifamily,Rental,Project Completed,14,14,0.0,0,0,14,0,0,0,0,0,0,0,0,06-17-2009,06-17-2108,99,,,,RHDA,No,No,Yes,,,No,,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,,900000.0,-97.72944801,30.37273049
10,3233,904 Lydia,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,904 Lydia Street,78702,0205070416,1,Single Family,Rental,Project Completed,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,04-03-2009,04-03-2049,40,,,,RHDA,No,No,Yes,,,No,,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,,60000.0,-97.7285517,30.26740527
12,3238,303 San Saba Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,303 San Saba Street,78702,0202110740,3,Single Family,Rental,Project Completed,1,1,2.0,0,0,0,0,0,1,0,0,0,0,0,05-05-2005,05-05-2025,20,,,,RHDA,No,No,Yes,,,No,,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,,0.0,-97.71440878,30.25588549
