Tax Code,Town Name,FIPS Code
001,Andover,0901301080
002,Ansonia,0900901220
003,Ashford,0901501430
004,Avon,0900302060
005,Barkhamsted,0900502760
006,Beacon Falls,0900903250
007,Berlin,0900304300
008,Bethany,0900904580
009,Bethel,0900104720
010,Bethlehem,0900504930
011,Bloomfield,0900305910
012,Bolton,0901306260
013,Bozrah,0901106820
014,Branford,0900907310
015,Bridgeport,0900108070
016,Bridgewater,0900508210
017,Bristol,0900308490
018,Brookfield,0900108980
019,Brooklyn,0901509190
020,Burlington,0900310100
021,Canaan,0900510940
022,Canterbury,0901512130
023,Canton,0900312270
024,Chaplin,0901513810
025,Cheshire,0900914160
026,Chester,0900714300
027,Clinton,0900715350
028,Colchester,0901115910
029,Colebrook,0900516050
030,Columbia,0901316400
031,Cornwall,0900517240
032,Coventry,0901317800
033,Cromwell,0900718080
034,Danbury,0900118500
035,Darien,0900118850
036,Deep River,0900719130
037,Derby,0900919550
038,Durham,0900720810
039,Eastford,0901521860
040,East Granby,0900322070
041,East Haddam,0900722280
042,East Hampton,0900722490
043,East Hartford,0900322630
044,East Haven,0900922910
045,East Lyme,0901123400
046,Easton,0900123890
047,East Windsor,0900324800
048,Ellington,0901325360
049,Enfield,0900325990
050,Essex,0900726270
051,Fairfield,0900126620
052,Farmington,0900327600
053,Franklin,0901129910
054,Glastonbury,0900331240
055,Goshen,0900532290
056,Granby,0900332640
057,Greenwich,0900133620
058,Griswold,0901133900
059,Groton,0901134250
060,Guilford,0900934950
061,Haddam,0900735230
062,Hamden,0900935650
063,Hampton,0901536000
064,Hartford,0900337070
065,Hartland,0900337140
066,Harwinton,0900537280
067,Hebron,0901337910
068,Kent,0900540290
069,Killingly,0901540500
070,Killingworth,0900740710
071,Lebanon,0901142390
072,Ledyard,0901142600
073,Lisbon,0901143230
074,Litchfield,0900543370
075,Lyme,0901144210
076,Madison,0900944560
077,Manchester,0900344700
078,Mansfield,0901344910
079,Marlborough,0900345820
080,Meriden,0900946520
081,Middlebury,0900946940
082,Middlefield,0900747080
083,Middletown,0900747360
084,Milford,0900947535
085,Monroe,0900148620
086,Montville,0901148900
087,Morris,0900549460
088,Naugatuck,0900949950
089,New Britain,0900350440
090,New Canaan,0900150580
091,New Fairfield,0900150860
092,New Hartford,0900551350
093,New Haven,0900952070
094,Newington,0900352140
095,New London,0901152350
096,New Milford,0900552630
097,Newtown,0900152980
098,Norfolk,0900553470
099,North Branford,0900953890
100,North Canaan,0900554030
101,North Haven,0900954870
102,North Stonington,0901155500
103,Norwalk,0900156060
104,Norwich,NA
105,Old Lyme,0901157040
106,Old Saybrook,0900757320
107,Orange,0900957600
108,Oxford,0900958300
109,Plainfield,0901559980
110,Plainville,0900360120
111,Plymouth,0900560750
112,Pomfret,0901561030
113,Portland,0900761800
114,Preston,0901162150
115,Prospect,0900962290
116,Putnam,0901562710
117,Redding,0900163480
118,Ridgefield,0900163970
119,Rocky Hill,0900365370
120,Roxbury,0900565930
121,Salem,0901166210
122,Salisbury,0900566420
123,Scotland,0901567400
124,Seymour,0900967610
125,Sharon,0900567960
126,Shelton,0900168170
127,Sherman,0900168310
128,Simsbury,0900368940
129,Somers,0901369220
130,Southbury,0900969640
131,Southington,0900370550
132,South Windsor,0900371390
133,Sprague,0901171670
134,Stafford,0901372090
135,Stamford,0900173070
136,Sterling,0901573420
137,Stonington,0901173770
138,Stratford,0900174190
139,Suffield,0900374540
140,Thomaston,0900575730
141,Thompson,0901575870
142,Tolland,0901376290
143,Torrington,0900576570
144,Trumbull,0900177200
145,Union,0901377830
146,Vernon,0901378250
147,Voluntown,0901178600
148,Wallingford,0900978740
149,Warren,0900579510
150,Washington,0900579720
151,Waterbury,0900980070
152,Waterford,0901180280
153,Watertown,0900580490
154,Westbrook,0900781680
155,West Hartford,0900382590
156,West Haven,0900982870
157,Weston,0900183430
158,Westport,0900183500
159,Wethersfield,0900384900
160,Willington,0901385950
161,Wilton,0900186370
162,Winchester,0900586440
163,Windham,0901586790
164,Windsor,0900387000
165,Windsor Locks,0900387070
166,Wolcott,0900987560
167,Woodbridge,0900987700
168,Woodbury,0900587910
169,Woodstock,0901588190
