BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION
Walker,11071 S. Hoyne Ave.,Chicago,60643,1488,1384,,,,,,,,,,,2872,POINT (-87.673802975 41.692205985)
Albany Park,3401 W. Foster Ave.,Chicago,60625,4603,4527,,,,,,,,,,,9130,POINT (-87.714061005 41.975447006)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1280,1304,,,,,,,,,,,2584,POINT (-87.586262965 41.746330993)
Brainerd,1350 W. 89th St.,Chicago,60620,294,305,,,,,,,,,,,599,POINT (-87.65773998 41.732529016)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,5281,4781,,,,,,,,,,,10062,POINT (-87.813854016 41.978383983)
Little Italy,1336 W. Taylor St.,Chicago,60607,3337,3262,,,,,,,,,,,6599,POINT (-87.660324474 41.869415447)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,6245,5435,,,,,,,,,,,11680,POINT (-87.762086963 41.997127008)
Kelly,6151 S. Normal Blvd.,Chicago,60621,260,249,,,,,,,,,,,509,POINT (-87.637248993 41.781998003)
Edgewater,6000 N. Broadway St.,Chicago,60660,10806,9963,,,,,,,,,,,20769,POINT (-87.660700971 41.99115201)
Near North,310 W. Division St.,Chicago,60610,7451,6405,,,,,,,,,,,13856,POINT (-87.636579027 41.904139012)
Canaryville,642 W. 43rd St.,Chicago,60609,755,674,,,,,,,,,,,1429,POINT (-87.642596982 41.81648899)
"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,3358,3247,,,,,,,,,,,6605,POINT (-87.646464979 41.832637983)
Manning,6 S. Hoyne Ave.,Chicago,60612,1106,1148,,,,,,,,,,,2254,POINT (-87.679589003 41.881057011)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,3182,3034,,,,,,,,,,,6216,POINT (-87.754936026 41.938944991)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,592,766,,,,,,,,,,,1358,POINT (-87.614246033 41.750935005)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,456,355,,,,,,,,,,,811,POINT (-87.600424023 41.762564015)
Auto-Renewals,,,,557822,533948,,,,,,,,,,,1091770,
Scottsdale,4101 W. 79th St.,Chicago,60652,1078,1017,,,,,,,,,,,2095,POINT (-87.72458197 41.749175015)
Altgeld,955 E. 131st St.,Chicago,60827,140,205,,,,,,,,,,,345,POINT (-87.598859844 41.657202133)
West Lawn,4020 W. 63rd St.,Chicago,60629,1798,1928,,,,,,,,,,,3726,POINT (-87.723808991 41.778908014)
Back of the Yards,2111 W. 47th St.,Chicago,60609,735,758,,,,,,,,,,,1493,POINT (-87.678143963 41.807980981)
Rogers Park,6907 N. Clark St.,Chicago,60626,6303,6377,,,,,,,,,,,12680,POINT (-87.673375857 42.006738496)
Talking Book and Braille downloadable,,,,6612,3972,,,,,,,,,,,10584,
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,2576,2354,,,,,,,,,,,4930,POINT (-87.780219031 41.792989989)
King,3436 S. King Dr.,Chicago,60616,869,973,,,,,,,,,,,1842,POINT (-87.617412393 41.832253966)
Water Works,163 E. Pearson Street,Chicago,60611,3103,2787,,,,,,,,,,,5890,POINT (-87.623499989 41.897244017)
"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,980,809,,,,,,,,,,,1789,POINT (-87.706466869 41.894289032)
Humboldt Park,1605 N. Troy St.,Chicago,60647,4002,3566,,,,,,,,,,,7568,POINT (-87.705306023 41.910454986)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,27065,24856,,,,,,,,,,,51921,POINT (-87.68438999 41.962757014)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6650,6466,,,,,,,,,,,13116,POINT (-87.590339001 41.805839991)
North Austin,5724 W. North Ave.,Chicago,60639,474,446,,,,,,,,,,,920,POINT (-87.768897008 41.909612018)
West Town,1625 W. Chicago Ave.,Chicago,60622,4951,4824,,,,,,,,,,,9775,POINT (-87.668502008 41.895782003)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,6211,5688,,,,,,,,,,,11899,POINT (-87.696332022 41.983373017)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,12291,10336,,,,,,,,,,,22627,POINT (-87.658148011 41.925597019)
West Englewood,1745 W. 63rd St.,Chicago,60636,311,345,,,,,,,,,,,656,POINT (-87.668384997 41.779079005)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2238,2117,,,,,,,,,,,4355,POINT (-87.726678032 41.800891986)
Hegewisch,3048 E. 130th St.,Chicago,60633,928,956,,,,,,,,,,,1884,POINT (-87.548928963 41.659408981)
Independence,4024 N. Elston Ave.,Chicago,60618,7198,6456,,,,,,,,,,,13654,POINT (-87.720335027 41.954129982)
Lozano,1805 S. Loomis St.,Chicago,60608,2164,2069,,,,,,,,,,,4233,POINT (-87.660929965 41.857622006)
South Shore,2505 E. 73rd St.,Chicago,60649,919,992,,,,,,,,,,,1911,POINT (-87.563717993 41.762449016)
