Year of Births (from MD PRAMS Rpt)*,PRECONCEPTION2,Increase the proportion of pregnancies that are intended.* ,Increase the proportion of women who took multivitamins/folic acid prior to pregnancy. ,Increase the proportion of women who did not smoke during the three months prior to pregnancy.,Increase the proportion of women who did not drink alcohol during the three months prior to pregnancy.,Increase the proportion of women who had a healthy weight (BMI 18.5-24.9) prior to pregnancy.,PRENATAL,Increase the proportion of pregnant women who receive prenatal care beginning in the first trimester of pregnancy.**,Increase abstinence from cigarette smoking among pregnant women.,Increase abstinence from alcohol among pregnant women.,Increase abstinence from binge drinking*** among pregnant women.,POSTPARTUM,Increase the proportion of infants who are put to sleep on their backs. ,Increase the proportion of infants who were breastfed (ever).
2006,,60,32,85,51,51,,74,92,93,99.9,,69,81
2007,,57,30,83,49,56,,76,91,93,99.9,,71,79
2020,,56,33.1,85.4,56.4,53.4,,77.900000000000006,98.6,98.3,100,,75.900000000000006,81.900000000000006
2010,,56,33,81,46,51,,78,91,91,99,,72,81
2008,,58,30,81,47,52,,78,89,91,99,,69,81
2009,,55,32,83,45,53,,79,91,90,98,,74,84
2012,,58,37,82,48,49,,80,93,91,99.9,,77,86
2014,,55,34,85,49,50,,82,94,91,99,,80,89
2011,,54,30,80,43,52,,82,93,91,99,,77,85
2013,,59,34,84,50,48,,83,92,92,99.5,,77,88
