Survey Years,Sex,Age Group,Race and Hispanic Origin,Measure,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Note2,Notea,Noteb
1999-2000,All,2-11,All,Total Dental Caries in Primary Teeth,39.4,3.0,33.0,46.1,,,,,
1999-2000,Male,2-11,All,Total Dental Caries in Primary Teeth,39.9,4.7,29.8,50.7,,,,,
1999-2000,Female,2-11,All,Total Dental Caries in Primary Teeth,38.9,3.4,31.7,46.6,,,,,
1999-2000,All,2-5,All,Total Dental Caries in Primary Teeth,28.9,3.0,22.7,35.8,,,,,
1999-2000,Male,2-5,All,Total Dental Caries in Primary Teeth,29.6,5.1,19.1,42.1,,,,,
1999-2000,Female,2-5,All,Total Dental Caries in Primary Teeth,28.1,2.5,22.8,34.0,,,,,
1999-2000,All,6-11,All,Total Dental Caries in Primary Teeth,46.7,4.0,38.0,55.5,,,,,
1999-2000,Male,6-11,All,Total Dental Caries in Primary Teeth,46.7,5.1,35.6,58.1,,,,,
1999-2000,Female,6-11,All,Total Dental Caries in Primary Teeth,46.7,6.2,33.1,60.7,,,,,
1999-2000,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,37.2,3.4,29.7,45.2,,,,,
1999-2000,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,43.2,3.5,35.4,51.3,,,,,
1999-2000,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,54.8,3.8,46.1,63.2,,,,,
1999-2000,All,6-19,All,Total Dental Caries in Permanent Teeth,42.9,1.1,40.4,45.4,,,,,
1999-2000,Male,6-19,All,Total Dental Caries in Permanent Teeth,39.8,1.9,35.7,43.9,,,,,
1999-2000,Female,6-19,All,Total Dental Caries in Permanent Teeth,46.1,1.4,43.0,49.3,,,,,
1999-2000,All,6-11,All,Total Dental Caries in Permanent Teeth,18.4,1.9,14.6,22.8,,,,,
1999-2000,Male,6-11,All,Total Dental Caries in Permanent Teeth,17.3,2.2,12.8,22.5,,,,,
1999-2000,Female,6-11,All,Total Dental Caries in Permanent Teeth,19.6,2.3,15.0,24.9,,,,,
1999-2000,All,12-19,All,Total Dental Caries in Permanent Teeth,61.7,1.2,59.1,64.3,,,,,
1999-2000,Male,12-19,All,Total Dental Caries in Permanent Teeth,57.5,1.7,53.7,61.2,,,,,
1999-2000,Female,12-19,All,Total Dental Caries in Permanent Teeth,66.1,1.9,61.9,70.1,,,,,
