YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,%PovertyLevel,Age(years),BirthOrder,Education,Gender,MaritalStatus,Metropolitan,Race/Ethnicity,WICParticipation,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,58.3,58.3,,,56.9,59.6,20016,Total,,,,,,,,,,,BF,BF1,Q005,VALUE,59,Total,Total,OVR,OVERALL
2005,2005,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,74.6,74.6,,,70.8,78.1,770,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q006,VALUE,36,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,35.3,35.3,,,33.9,36.6,20016,Total,,,,,,,,,,,BF,BF1,Q004,VALUE,59,Total,Total,OVR,OVERALL
2018,2018,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,34.4,34.4,,,32.9,36.0,11222,,,,,,Male,,,,,,BF,BF1,Q004,VALUE,59,Gender,Male,GEN,MALE
2019,2019,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,19.1,19.1,,,17.0,21.4,4737,,,20 - 29,,,,,,,,,BF,BF1,Q003,VALUE,59,Age (years),20 - 29,AGEYR,AGEYR2029
2005,2005,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,43.8,43.8,,,42.3,45.4,9823,,,,,College graduate,,,,,,,BF,BF1,Q007,VALUE,59,Education,College graduate,EDU,EDUCOGRAD
2019,2019,WA,Washington,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,35.2,35.2,,,29.1,41.9,371,Total,,,,,,,,,,"(47.52227862900048, -120.47001078999972)",BF,BF1,Q002,VALUE,53,Total,Total,OVR,OVERALL
2019,2019,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,34.2,34.2,,,24.3,45.7,87,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q002,VALUE,54,Total,Total,OVR,OVERALL
2019,2019,WI,Wisconsin,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,22.3,22.3,,,15.9,30.4,169,Total,,,,,,,,,,"(44.39319117400049, -89.81637074199966)",BF,BF1,Q002,VALUE,55,Total,Total,OVR,OVERALL
2019,2019,VT,Vermont,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,27.1,27.1,,,21.0,34.2,244,Total,,,,,,,,,,"(43.62538123900049, -72.51764079099962)",BF,BF1,Q002,VALUE,50,Total,Total,OVR,OVERALL
2019,2019,WY,Wyoming,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,27.4,27.4,,,20.2,36.0,190,Total,,,,,,,,,,"(43.23554134300048, -108.10983035299967)",BF,BF1,Q002,VALUE,56,Total,Total,OVR,OVERALL
