OBJECTID,SYSTEM,PARENTID,DEPARTMENT,DESCRIPTION,SYNTURF_Location,System_Type,Turf_Type,Infill_Material,JOP,Maint_By,Maint_By_Spec,Construction_Entity,Construction_Entity_Spec,Contract_Type,Contract_Number,Commission_Date,RETIRED,Borough,Shape
11,B118A-SYNTURF-0028,B118A,B-06,St. Mary's Park,Nelson Street and Smith Street,Unknown,Unknown,Unknown,false,DPR,NULL,DPR,NULL,Capital,B118-116M,01/01/1899,True,B,0xD7080000010405000000804C77E1850F2E410034AB0B03AF06418071F7EDFC0E2E4100E6E21911A90641005EAD3B790F2E4100F6FF4657A80641001B2F3003102E4100D8FAD147AE0641804C77E1850F2E410034AB0B03AF064101000000020000000001000000FFFFFFFF0000000003
68,M071-SYNTURF-0017,M071,M-14,Riverside Park - West 107th Street,Riverside Drive and West 107th Street,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,M071-403M,03/31/2006,False,M,0xD708000001041C0000000081AC5BF7452E4100E8489836530C418025189200462E410052BB49BF520C4100DC38E463472E4100589BDED54F0C41001442946F472E4100D2B3F02F500C4180235F65DF482E4100E8E697425B0C4100CE3727E2482E410020B9D7575B0C4100C1B6BCEC482E4100B2D068A95B0C41006902445F482E4100FE6446D45C0C41808E0CDC3A482E41008E822F215D0C4180F91BE330482E4100647856365D0C4180CBFED328482E410084FA6D475D0C4180BD406B93472E4100B06B10835E0C410005D8C96E472E410070DFC75D5E0C4100E469A654472E4100F46FAE9F5D0C4180E378C248472E4100F0E4E2425D0C41806C657843472E410038599A195D0C4180E986C2DD462E41001C2ED1FF590C4180464AA3CF462E4100B2239A91590C4100D66C87A9462E410004213068580C4180FACAB59E462E4100C0A9C418580C41802EE4D691462E4100306848BA570C4100CC6C6E71462E4100BA5F5FCC560C41806CC5AC3E462E4100245AC457550C410022D09B2F462E41003ADE29E9540C4180D845401F462E41004AD9C96A540C410076139005462E41007CB555A4530C4180A4373701462E41008CE3BF82530C410081AC5BF7452E4100E8489836530C4101000000020000000001000000FFFFFFFF0000000003
125,R025-SYNTURF-0004,R025,R-01,Mahoney Playground,Beechwood Avenue and Crescent Avenue,Field Group,Non-Infill,Not Applicable,false,DPR,NULL,DPR,NULL,Capital,CNYG-1508M PLANYC,03/21/2011,False,R,0xD7080000010409000000006AB073AA4E2D4100E6EACECA35054100943DC4434F2D4100E89F02E6300541004A341590502D41008AE8A6753305418000838A1E502D41002EC3F18336054100A988DEDE4F2D4100D016E7EC350541803299B6894F2D4100F06E9C7B360541006590D6284F2D4100E8AE917A36054100D4824E154F2D410028F28660360541006AB073AA4E2D4100E6EACECA35054101000000020000000001000000FFFFFFFF0000000003
42,B146-SYNTURF-0035,B146,B-10,Leif Ericson - Dust Bowl,8th Avenue and 65th Street,Field Group,Infill,Rounded Sand,false,DPR,NULL,DPR,NULL,Capital,B146-108M,05/25/2010,False,B,0xD708000001040C000000008D17F1E3EC2D41001EF40E14B4044180BA7220FFEC2D41003C6CA99FB4044180084D62F5EC2D41004CDA0ED9B40441001DEA4A3EED2D410028284F5FB60441807426F0AAED2D41009A598D9FB8044180B15AFFBAEB2D41001A2504C6BE04410037AC909AEB2D41007A4B16B6BE04418030BB0ACCEA2D4100AE68B593BA04418013C023DFEA2D410096E9F156BA044180606A8DD2EA2D41003096C30FBA04418093A1C8B8EC2D4100EA621A00B40441008D17F1E3EC2D41001EF40E14B4044101000000020000000001000000FFFFFFFF0000000003
99,Q099-SYNTURF-0010,Q099,Q-15,FMCP Soccer-01,Fountain of the Fairs PR North,Field Group,Infill,Rounded Sand,false,DPR,NULL,DPR,NULL,Capital,Q099-112M,07/02/2015,False,Q,0xD7080000010405000000802D54807C632F41009C4F8725E30941809E966ABF622F4100C2F02B32E8094180E99A0675602F4100F01EBFD5E2094180D935CB34612F41002C8EF7C1DD0941802D54807C632F41009C4F8725E3094101000000020000000001000000FFFFFFFF0000000003
188,R062-SYNTURF-0006,R062,R-02,Arrochar Playground,McFarland Avenue and Sand Lane,Play Area,Infill,Coated Sand,true,DPR,NULL,DPR,NULL,Capital,R062-115M,12/13/2017,False,R,0xD70800000104050000008092DE0F4B702D41007AD20E5B2A03418042FF9C19702D4100A4E38C492C03410018911A6B6F2D410060EF55322B034100699B8D9C6F2D410038DED7432903418092DE0F4B702D41007AD20E5B2A034101000000020000000001000000FFFFFFFF0000000003
156,Q471-SYNTURF-0043,Q471,Q-02,Hunter's Point South Park,Center Blvd and Borden Ave,Play Area,Non-Infill,Not Applicable,false,DPR,NULL,Unknown,NULL,Unknown,NULL,08/01/2013,False,Q,0xD708000001045700000000C4D29FB25E2E4100D857D3B29F09418089687E995E2E410048416F7D9F0941006BB3B7825E2E41004A7D33399F09410083F4D66E5E2E41002E4EC1E79E094180A673555E5E2E410076EB098B9E0941805BCF97515E2E4100B21543259E094100CFF8EB485E2E41004452DAB89D094100CED986445E2E41002E7765489D094180C05283445E2E4100D03693D69C0941005BA3D6495E2E41007CD985469C09418002EA4F535E2E4100820DECB99B0941803765CE605E2E410042A2AD329B094180440C23725E2E4100D0EA9EB29A094180421212875E2E4100E2097C3B9A09410017BB529F5E2E4100BAE5E2CE990941807DDE90BA5E2E410004184B6E9909418008156ED85E2E4100D495041B99094180C4F409ED5E2E4100D80610F6980941805AD6E6025F2E41002CB766DF980941006A7F67195F2E410044EDABD7980941807FABE92F5F2E4100F41516DF980941002997CB455F2E4100747471F59809410005B26F5A5F2E4100501A1C1A99094180D47D416D5F2E41008CF70D4C990941008C6BB97D5F2E4100BA3EE08999094100600E618B5F2E41002075D5D199094180D521D6955F2E4100EE3AE8219A094100352000985F2E41008AFAC93F9A094180AD1E6A995F2E4100145A50539A094100D8128F9C5F2E41000E6B31859A0941809F8F0D9E5F2E4100648EEFA09A094180527D449F5F2E41009AF579B79A094180193189A15F2E41007EDD1BEA9A0941002AAD5CA35F2E41007E02071D9B094180E46F53A45F2E4100A4BCBB409B094180811ABEA45F2E41005C442B509B0941801F79ADA55F2E4100DA2E79839B094180011D2AA65F2E4100B8F5DFB69B094100280634A65F2E4100BC2450EA9B0941009209CBA55F2E4100A647BA1D9C09410041A8EFA45F2E410038E60C519C09410035B7A1A35F2E410036E439849C09418070E2E1A15F2E410060C92FB79C0941004F95D0A05F2E4100D4E268D19C0941007DF515A05F2E4100266053E39C094100E3D8DC9D5F2E4100B601270F9D094180B002C79C5F2E41009E9EF6209D094100A50D379B5F2E4100CEE1993A9D094180C7EB25985F2E41002E889A659D0941004E75AA945F2E4100988019909D0941803F2DC6905F2E4100CCFE05BA9D094180B6FF998F5F2E410064864AC59D0941800173938C5F2E4100E2FE5DE29D094100A16B7A8C5F2E410088364FE39D09410078DEC8875F2E410090B3E50B9E094180CC5EB3825F2E4100A801BA339E094180A6F03B7D5F2E41009400BC5A9E0941000D9864775F2E41001A94DD809E09410084BB60735F2E41003205ED989E09418009AF2F715F2E410002480FA69E094180866AE26B5F2E41003C8C08C29E094180AE203D665F2E41003648E8DC9E094180908343605F2E4100ACAF9DF69E0941003B45F9595F2E410062A2180F9F094100BD9862535F2E4100185448269F0941802786834C5F2E410096541F3C9F0941808BC160455F2E4100A42F8E509F094180FBD3FE3D5F2E4100102188639F0941008A5CAD375F2E41002E2109729F094100894662365F2E4100AA1001759F0941004723902E5F2E4100483EEE849F09410049748D265F2E4100BE3D44939F094100A36E5F1E5F2E4100F2AAFB9F9F094180691C0B165F2E4100BA710AAB9F094180B133960D5F2E410000866AB49F0941008FBE05055F2E4100A82F15BC9F094100B9BD04FC5E2E4100DA51D1C19F094180AB4AF5F25E2E4100A079E5C59F0941807844DCE95E2E4100F8A24FC89F09410034B5BEE05E2E4100D8C90DC99F0941006F7107E05E2E410090F9FAC89F094100F17BA1D75E2E4100464621C89F094100C27789CE5E2E41003AC088C59F094100BA877BC55E2E4100BE3B46C19F094100EC8A7CBC5E2E4100DE685CBB9F0941006A3591B35E2E4100A4A3CEB39F094100C4D29FB25E2E4100D857D3B29F094101000000020000000001000000FFFFFFFF0000000003
182,B311-SYNTURF-0059,B311,B-01,Ten Eyck Playground,Bushwick Avenue and Meserole Street,Play Area,Non-Infill,Not Applicable,true,DPR,NULL,DPR,NULL,Capital,B311-116M,,False,B,0xD708000001042A0000000096A1A4518D2E410052DF6ECF1C084180F8639C648D2E410040D798721A0841803C6974658D2E41002AA47E681A084100FB5CAE668D2E410096670A5F1A084100178542688D2E4100689676561A0841806A4E276A8D2E41006CF1F84E1A084100C7A0506C8D2E41005C81C0481A084180F936B16E8D2E4100CC3EF4431A084180C81D3A718D2E41002C0EB1401A084180F6B5DB738D2E4100CEC30B3F1A0841801D6B2C248E2E410016FE83971A084100E8C2ED258E2E4100109951991A084180539496278E2E410058183C9C1A08410034731B298E2E4100A6AB30A01A084180624B722A8E2E41008C1A13A51A084100BBDF912B8E2E410090D0C3AA1A08418021CC722C8E2E410018291BB11A0841007DD90E2D8E2E410082CFEEB71A084180BEFF612D8E2E41001A6710BF1A084180DE3A6A2D8E2E4100263B50C61A08410037E43E2D8E2E41000EB4B7CB1A084180B85737198E2E41001213664A1D0841808EDF65188E2E41001A2143551D084180B65E25178E2E41008028725F1D08410053BC7E158E2E410032F0AB681D084100900E7D138E2E41003CFBB1701D084180A2712E118E2E4100C6D84B771D084180C884A20E8E2E410022844C7C1D0841004616EB0B8E2E4100C60C917F1D08410063CB1A098E2E410060F203811D0841806B2045068E2E4100C8749A801D0841002B170B618D2E410008B0B22D1D0841002B0EF15D8D2E41002EFB57291D084180F7EE0B5B8D2E41000E831B231D084180D8336E588D2E41004298251B1D0841800BD227568D2E41008647A7111D084100C83B47548D2E4100C2B1DB061D0841803B08D8528D2E4100F80706FB1C0841808849E3518D2E41004E8B71EE1C084180C60B6F518D2E4100E8D46AE11C08410000D47D518D2E41000A3645D41C08410096A1A4518D2E410052DF6ECF1C084101000000020000000001000000FFFFFFFF0000000003
163,B397-SYNTURF-0063,B397,B-16,Carter G. Woodson Children's Park,Christopher Avenue and Belmont Avenue,Play Area,Infill,Unknown,false,DPR,NULL,Unknown,NULL,Unknown,NULL,07/13/2004,False,B,0xD708000001042800000080F92D0126D52E41005E54FF9A54064100BF369D49D52E41002C3642D7510641800CC23852D52E41004CD02E2C51064180CA350856D52E410068FC170A51064100DBE9375BD52E41004C940CEB50064100AD3DA261D52E41005857ECCF500641808CA91869D52E41008E7C7DB950064100A7EB6471D52E41005EF261A85006418013B64A7AD52E4100AE5E179D50064100D9878983D52E4100B862EE9750064100F35ADE8CD52E41000C9F0C99500641005B270596D52E41008CAF6AA0500641801093BB9ED52E41006AD3D2AD500641001E4AC2A6D52E41002E9DE3C050064100A32DDFADD52E4100BCF611D950064180D7ABDEB3D52E4100722DAFF55006418012ED94B8D52E410026F6EA1551064100D0D7DFBBD52E41005829DC3851064180B266A7BDD52E41002673835D510641808900DFBDD52E41009417D88251064180332CF294D52E410084A1D5E8540641009DB33592D52E41008A176809550641005F28458ED52E4100B0D1F12755064180D3E33789D52E410036B9BC43550641006ECC2B83D52E4100A4DB245C55064100B9A9447CD52E4100C8169970550641805378AB74D52E4100CE24A18055064100EA118D6CD52E410044F0DC8B55064100B1BBF663D52E41006468199255064180EF1E3D5BD52E4100C0CFF7925506418074D19552D52E410044C6728E550641000B3C354AD52E41005C84A684550641807B1B4F42D52E4100EC2ACE7555064100C796A13AD52E4100D295D76055064180CDD4EA33D52E410056D6204755064180425D592ED52E410024A35A2955064180BBD2132AD52E4100609B540855064180ABC53727D52E41007E32F3E4540641805E08D925D52E410036002DC054064180F92D0126D52E41005E54FF9A54064101000000020000000001000000FFFFFFFF0000000003
23,B028-SYNTURF-0005,B028,B-10,Dyker Beach-Softball-01,14th Avenue and Benson Avenue,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,B028-102M,10/30/2002,False,B,0xD7080000010414000000002F083F58EA2D410064494DB4D30341000579BA86EA2D410064095AD4D303410002E4B2B3EA2D410096D5430DD4034180F17654DEEA2D4100EC95FE5DD4034180CDCBD605EB2D4100A8FC0DC5D4034100C4987F29EB2D410074EA8C40D50341004CE3A648EB2D4100882A36CED50341802E31BA62EB2D4100CCDA6D6BD60341808F8C3E77EB2D410014E05015D7034100E11F1E38EA2D4100FCF7FA74DB0341002E64E810EA2D410092208E63DB03418055A22113E92D410072F6A018D603418099CDE32FE92D4100E0F31583D50341006A647151E92D4100D4CE7AFED403418063552C77E92D4100C8C0418DD4034180D6BC62A0E92D4100C0457E31D4034100D5EC52CCE92D41004CC0E1ECD30341003EC72DFAE92D41004809AEC0D3034100CE711B29EA2D4100DE17B4ADD30341002F083F58EA2D410064494DB4D3034101000000020000000001000000FFFFFFFF0000000003
