序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,430300,辰光医疗,9.49,26.87,2.01,85835.0,80102894.27,27.27,9.72,7.68,7.68,7.48,7.35,14.28,-88.43,2.8,814689226.0,570284155.0,0.32,-0.21,-8.22,-38.3
2,301332,德尔玛,12.16,20.04,2.03,240314.0,286212622.92,22.11,12.16,9.92,9.98,10.13,3.02,26.65,42.15,2.02,5612600000.0,1096639981.0,0.0,0.0,0.66,-0.49
3,301429,森泰股份,15.52,20.03,2.59,23804.0,36638074.72,9.28,15.52,14.32,14.32,12.93,1.43,5.4,20.82,1.35,1834774400.0,683518384.0,0.0,0.0,-22.09,-24.07
4,300719,安达维尔,15.77,20.02,2.63,415338.0,631528240.35,13.32,15.77,14.02,14.03,13.14,2.77,23.12,35.47,3.71,4024910078.0,2832609482.0,0.0,0.0,21.21,18.3
5,688015,交控科技,19.62,20.0,3.27,71973.0,133173696.0,21.22,19.62,16.15,16.31,16.35,3.39,3.81,41.88,1.49,3701916158.0,3701916158.0,0.0,0.0,9.92,4.58
6,300994,久祺股份,12.18,20.0,2.03,86063.0,99206742.38,23.15,12.18,9.83,10.18,10.15,2.34,11.05,22.27,2.55,2839011840.0,948286080.0,0.0,0.0,-13.92,-17.14
7,300596,利安隆,27.42,20.0,4.57,103002.0,264774704.28,19.43,27.42,22.98,23.18,22.85,4.86,4.8,17.37,1.53,6296171269.0,5879645648.0,0.0,0.0,0.88,-7.24
8,301219,腾远钴业,48.67,20.0,8.11,228340.0,1071658120.67,12.3,48.67,43.68,45.01,40.56,3.95,13.6,24.9,1.66,14343885248.0,8170898511.0,0.0,0.0,26.81,23.62
9,300907,康平科技,19.16,19.97,3.19,95518.0,176607001.98,22.92,19.16,15.5,15.8,15.97,3.5,9.95,37.07,2.38,1839360000.0,1839338445.0,0.0,0.0,-9.79,-13.65
10,300411,金盾股份,14.66,19.87,2.43,1048398.0,1436032687.38,15.62,14.68,12.77,13.02,12.23,1.9,38.8,204.72,6.38,5959583303.0,3961640570.0,-0.14,-0.07,95.73,109.73
11,300711,广哈通信,14.26,18.64,2.24,285863.0,392636660.75,19.22,14.42,12.11,12.11,12.02,2.89,11.53,58.05,5.04,3553172842.0,3534058766.0,-0.14,-0.07,9.61,6.82
12,301092,争光股份,29.2,14.96,3.8,95393.0,262379906.34,15.28,29.52,25.64,25.98,25.4,1.18,22.26,34.64,2.18,3903849733.0,1251391813.0,2.17,1.78,14.78,10.27
13,688520,神州细胞-U,42.8,14.71,5.49,59619.0,254705218.0,6.11,43.89,41.61,43.0,37.31,4.04,1.35,-48.13,-31.8,19060368559.0,18971810737.0,0.0,0.05,-14.57,-20.55
14,301486,致尚科技,48.65,14.34,6.1,124726.0,570104413.42,20.54,50.99,42.25,42.35,42.55,1.86,38.77,82.55,2.5,6260330407.0,1565085095.0,0.52,-0.31,19.47,1.5
15,300641,正丹股份,12.0,13.21,1.4,543504.0,618769797.92,19.81,12.38,10.28,10.79,10.6,0.88,11.1,594.96,3.83,5875261428.0,5874268728.0,1.27,1.44,111.64,112.77
16,300284,苏交科,9.82,12.61,1.1,2916905.0,2834955491.46,13.42,10.38,9.21,9.3,8.72,2.6,32.82,37.62,1.48,12400968741.0,8728589390.0,-0.3,1.13,81.52,80.18
