代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.553,-0.005,-0.896,0.553,0.557,0.558,0.558,0.558,0.55,59100,32613
sh900902,市北B股,0.123,-0.001,-0.806,0.123,0.124,0.124,0.125,0.125,0.121,240700,29744
sh900903,大众Ｂ股,0.195,0.0,0.0,0.195,0.196,0.195,0.195,0.195,0.195,23700,4622
sh900904,神奇B股,0.588,-0.013,-2.163,0.582,0.588,0.601,0.601,0.601,0.588,8500,5042
sh900905,老凤祥Ｂ,4.079,0.008,0.197,4.08,4.081,4.071,4.062,4.086,4.043,99087,403822
sh900906,中毅达B,0.123,-0.001,-0.806,0.123,0.124,0.124,0.123,0.124,0.117,529200,63602
sh900908,氯碱Ｂ股,0.5,0.003,0.604,0.499,0.5,0.497,0.497,0.5,0.497,170375,84929
sh900909,华谊B股,0.44,0.003,0.686,0.439,0.441,0.437,0.442,0.442,0.435,11970,5255
sh900910,海立Ｂ股,0.264,-0.004,-1.493,0.263,0.264,0.268,0.266,0.266,0.263,29900,7899
sh900911,金桥Ｂ股,0.916,0.0,0.0,0.916,0.917,0.916,0.912,0.917,0.912,19900,18184
sh900912,外高Ｂ股,0.715,-0.004,-0.556,0.715,0.716,0.719,0.712,0.717,0.712,7300,5226
sh900913,国新B股,0.219,0.0,0.0,0.216,0.219,0.219,0.217,0.22,0.216,49500,10757
sh900914,锦在线B,0.444,-0.002,-0.448,0.444,0.446,0.446,0.446,0.446,0.444,1100,490
sh900915,中路Ｂ股,0.603,0.001,0.166,0.603,0.605,0.602,0.599,0.609,0.59,48500,28916
sh900916,凤凰B股,0.286,-0.002,-0.694,0.285,0.286,0.288,0.286,0.286,0.284,26300,7500
sh900917,海欣Ｂ股,0.275,-0.001,-0.362,0.275,0.276,0.276,0.275,0.275,0.275,34600,9515
sh900918,耀皮Ｂ股,0.271,-0.002,-0.733,0.273,0.277,0.273,0.273,0.276,0.271,10300,2810
sh900920,动力Ｂ股,0.207,0.0,0.0,0.205,0.207,0.207,0.0,0.0,0.0,0,0
sh900921,丹科B股,0.123,-0.001,-0.806,0.121,0.123,0.124,0.122,0.123,0.12,54200,6589
sh900922,三毛B股,0.421,0.001,0.238,0.413,0.421,0.42,0.413,0.421,0.411,5100,2110
sh900923,百联Ｂ股,0.469,-0.002,-0.425,0.469,0.473,0.471,0.468,0.473,0.468,4211,1976
sh900924,上工Ｂ股,0.31,0.001,0.324,0.309,0.31,0.309,0.311,0.311,0.307,54100,16713
sh900925,机电Ｂ股,0.96,0.005,0.524,0.956,0.965,0.955,0.956,0.96,0.956,48500,46507
sh900926,宝信Ｂ,2.023,0.0,0.0,2.023,2.024,2.023,2.01,2.03,2.0,261009,523598
sh900927,物贸Ｂ股,0.401,-0.001,-0.249,0.401,0.403,0.402,0.4,0.401,0.4,22800,9129
sh900928,临港B股,0.574,0.001,0.175,0.574,0.577,0.573,0.573,0.574,0.573,2700,1548
sh900929,锦旅Ｂ股,1.18,0.0,0.0,1.172,1.18,1.18,0.0,0.0,0.0,0,0
sh900932,陆家Ｂ股,0.341,-0.002,-0.583,0.341,0.343,0.343,0.342,0.342,0.341,95976,32764
sh900934,锦江Ｂ股,1.508,-0.011,-0.724,1.507,1.515,1.519,1.52,1.52,1.5,22700,34267
sh900936,鄂资Ｂ股,1.077,0.041,3.958,1.077,1.078,1.036,1.037,1.086,1.031,1086432,1157983
sh900937,华电B股,0.12,-0.001,-0.826,0.119,0.12,0.121,0.121,0.121,0.119,114800,13767
sh900938,海科B,0.144,-0.002,-1.37,0.145,0.146,0.146,0.144,0.144,0.143,16600,2381
sh900939,汇丽B,0.325,-0.002,-0.612,0.327,0.328,0.327,0.325,0.329,0.325,71600,23384
sh900940,大名城B,0.228,-0.004,-1.724,0.228,0.232,0.232,0.228,0.232,0.227,22700,5170
sh900941,东信Ｂ股,0.316,-0.002,-0.629,0.317,0.32,0.318,0.314,0.316,0.314,7555,2376
sh900942,黄山Ｂ股,0.821,-0.001,-0.122,0.82,0.821,0.822,0.821,0.824,0.819,48600,39890
sh900943,开开Ｂ股,0.435,0.0,0.0,0.428,0.433,0.435,0.425,0.438,0.425,20000,8612
sh900945,海控B股,0.186,0.0,0.0,0.181,0.182,0.186,0.0,0.0,0.0,0,0
sh900946,天雁B股,0.148,-0.003,-1.987,0.146,0.148,0.151,0.145,0.148,0.139,385400,55325
sh900947,振华Ｂ股,0.22,0.004,1.852,0.22,0.221,0.216,0.216,0.221,0.215,516836,112878
sh900948,伊泰Ｂ股,1.998,-0.041,-2.011,1.998,1.999,2.039,1.958,2.011,1.957,2406649,4760963
sh900952,锦港Ｂ股,0.173,0.0,0.0,0.171,0.173,0.173,0.174,0.174,0.171,51307,8843
sh900953,凯马Ｂ,0.176,-0.01,-5.376,0.176,0.178,0.186,0.18,0.181,0.168,587100,100929
sh900957,凌云Ｂ股,0.348,-0.007,-1.972,0.349,0.352,0.355,0.357,0.357,0.346,36700,12827
sz200011,深物业B,3.9,0.04,1.036,3.86,3.89,3.86,3.86,3.9,3.86,4100,15830
sz200012,南 玻Ｂ,2.2,-0.01,-0.452,2.2,2.21,2.21,2.21,2.22,2.2,282000,620738
sz200016,深康佳Ｂ,0.75,0.0,0.0,0.75,0.76,0.75,0.75,0.75,0.75,22300,16725
sz200017,深中华B,1.77,0.01,0.568,1.77,1.78,1.76,1.78,1.78,1.77,18200,32376
sz200019,深粮B,0.0,0.0,0.0,3.27,3.3,3.28,0.0,0.0,0.0,0,0
sz200020,深华发Ｂ,2.46,0.0,0.0,2.42,2.46,2.46,2.46,2.46,2.46,6000,14760
sz200025,特 力Ｂ,3.58,-0.07,-1.918,3.6,3.67,3.65,3.58,3.58,3.58,200,716
sz200026,飞亚达Ｂ,7.31,0.06,0.828,7.24,7.3,7.25,7.31,7.31,7.31,100,731
sz200028,一致Ｂ,14.68,0.0,0.0,14.66,14.68,14.68,14.61,14.68,14.61,8300,121496
sz200029,深深房Ｂ,0.0,0.0,0.0,1.83,1.86,1.87,0.0,0.0,0.0,0,0
sz200030,富奥B,2.8,0.01,0.358,2.8,2.81,2.79,2.8,2.8,2.8,1900,5320
sz200037,深南电B,1.7,-0.04,-2.299,1.72,1.74,1.74,1.75,1.77,1.7,252310,433021
sz200045,深纺织Ｂ,0.0,0.0,0.0,3.27,3.33,3.33,0.0,0.0,0.0,0,0
sz200054,建车B,3.05,-0.04,-1.294,2.92,3.05,3.09,2.97,3.06,2.97,2800,8422
sz200055,方大Ｂ,1.76,-0.01,-0.565,1.74,1.76,1.77,1.74,1.76,1.74,11600,20402
sz200056,皇庭B,0.96,-0.01,-1.031,0.92,0.96,0.97,0.96,0.96,0.9,23200,21414
sz200058,深赛格B,1.58,-0.02,-1.25,1.58,1.59,1.6,1.58,1.58,1.58,16200,25596
sz200413,东旭B,0.64,0.0,0.0,0.63,0.65,0.64,0.65,0.65,0.63,27800,17848
sz200429,粤高速Ｂ,6.94,0.01,0.144,6.93,6.94,6.93,6.93,6.95,6.91,31800,220203
sz200468,宁通信B,1.95,0.15,8.333,1.93,1.94,1.8,1.83,1.97,1.8,183110,347842
sz200488,晨 鸣Ｂ,1.42,-0.01,-0.699,1.42,1.43,1.43,1.42,1.42,1.4,147400,209091
sz200505,京粮B,0.0,0.0,0.0,2.1,2.12,2.11,0.0,0.0,0.0,0,0
sz200512,闽灿坤Ｂ,3.14,0.01,0.319,3.14,3.15,3.13,3.13,3.15,3.13,49300,154807
sz200521,虹美菱B,3.85,0.04,1.05,3.83,3.85,3.81,3.82,3.85,3.8,131300,501853
sz200530,冰山B,1.45,0.01,0.694,1.42,1.45,1.44,1.45,1.45,1.45,200,290
sz200539,粤电力Ｂ,2.09,-0.01,-0.476,2.09,2.1,2.1,2.1,2.1,2.09,90600,190181
sz200541,粤照明Ｂ,2.16,0.02,0.935,2.13,2.16,2.14,2.15,2.16,2.15,65000,140257
sz200550,江 铃Ｂ,9.13,-0.04,-0.436,9.11,9.13,9.17,9.19,9.19,9.11,15000,136910
sz200553,安道麦B,2.0,0.0,0.0,2.0,2.04,2.0,2.0,2.0,2.0,1000,2000
sz200570,苏常柴Ｂ,1.87,-0.04,-2.094,1.86,1.91,1.91,1.88,1.91,1.87,42000,78823
sz200581,苏威孚Ｂ,10.95,-0.02,-0.182,10.95,10.96,10.97,10.99,11.0,10.95,16700,183180
sz200596,古井贡Ｂ,105.7,1.57,1.508,105.73,105.74,104.13,104.0,105.8,104.0,18640,1963265
sz200625,长 安Ｂ,4.31,0.0,0.0,4.3,4.31,4.31,4.31,4.31,4.29,396700,1707959
sz200706,瓦轴B,1.88,0.03,1.622,1.73,1.76,1.85,1.88,1.88,1.88,100,188
sz200725,京东方Ｂ,2.58,-0.02,-0.769,2.58,2.6,2.6,2.59,2.59,2.58,45100,116417
sz200726,鲁 泰Ｂ,4.27,-0.04,-0.928,4.27,4.28,4.31,4.3,4.3,4.27,22400,96263
sz200761,本钢板Ｂ,1.57,-0.01,-0.633,1.56,1.57,1.58,1.55,1.58,1.54,203200,314852
sz200771,杭汽轮Ｂ,6.78,-0.02,-0.294,6.78,6.79,6.8,6.79,6.79,6.73,36388,245673
sz200869,张 裕Ｂ,9.75,-0.1,-1.015,9.76,9.78,9.85,9.85,9.85,9.74,67700,662282
sz200992,中 鲁Ｂ,0.0,0.0,0.0,1.82,1.85,1.83,0.0,0.0,0.0,0,0
sz201872,招港B,8.75,0.04,0.459,8.74,8.75,8.71,8.72,8.75,8.7,13500,117926
