date,value
2024-02-19,29.2118
2024-02-20,25.45668
2024-02-21,35.22428
2024-02-22,28.17508
2024-02-23,34.92896
2024-02-26,34.0598
2024-02-27,30.03876
2024-02-28,33.57192
2024-02-29,26.09476
2024-03-01,28.4188
2024-03-04,30.83744
2024-03-05,24.31856
2024-03-06,23.57848
2024-03-07,28.7042
2024-03-08,24.2176
2024-03-11,30.21868
2024-03-12,24.39372
2024-03-13,26.87532
2024-03-14,24.00304
2024-03-15,26.9204
2024-03-18,30.64072
2024-03-19,33.67816
2024-03-20,32.922639999999994
2024-03-21,34.54672
2024-03-22,27.53128
2024-03-25,25.32584
2024-03-26,27.2956
2024-03-27,30.329040000000003
2024-03-28,25.8044
2024-03-29,28.73152
2024-04-01,24.72548
2024-04-02,32.63876
2024-04-03,29.15592
2024-04-08,29.23272
2024-04-09,25.45628
2024-04-10,28.78208
2024-04-11,29.67876
2024-04-12,30.33052
2024-04-15,33.54632
2024-04-16,28.68492
2024-04-17,34.34312
2024-04-18,32.40888
