截止日期,公告日期,编号,股东名称,持股数量,占流通股比例,股本性质,symbol
2023-09-30,2023-10-28,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2023-09-30,2023-10-28,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2023-09-30,2023-10-28,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2023-09-30,2023-10-28,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2023-09-30,2023-10-28,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2023-09-30,2023-10-28,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2023-09-30,2023-10-28,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2023-09-30,2023-10-28,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2023-09-30,2023-10-28,9,香港中央结算有限公司,638954548,2.177,境外法人股,600000
2023-09-30,2023-10-28,10,中央汇金资产管理有限责任公司,387174708,1.319,国有股,600000
2023-06-30,2023-08-31,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2023-06-30,2023-08-31,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2023-06-30,2023-08-31,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2023-06-30,2023-08-31,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2023-06-30,2023-08-31,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2023-06-30,2023-08-31,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2023-06-30,2023-08-31,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2023-06-30,2023-08-31,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2023-06-30,2023-08-31,9,香港中央结算有限公司,681274646,2.321,境外法人股,600000
2023-06-30,2023-08-31,10,中央汇金资产管理有限责任公司,387174708,1.319,国有股,600000
2023-03-31,2023-04-29,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2023-03-31,2023-04-29,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2023-03-31,2023-04-29,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2023-03-31,2023-04-29,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2023-03-31,2023-04-29,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2023-03-31,2023-04-29,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2023-03-31,2023-04-29,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2023-03-31,2023-04-29,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2023-03-31,2023-04-29,9,香港中央结算有限公司,666062070,2.269,境外法人股,600000
2023-03-31,2023-04-29,10,中央汇金资产管理有限责任公司,387174708,1.319,国有股,600000
2022-12-31,2023-04-19,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2022-12-31,2023-04-19,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2022-12-31,2023-04-19,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2022-12-31,2023-04-19,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2022-12-31,2023-04-19,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2022-12-31,2023-04-19,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2022-12-31,2023-04-19,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2022-12-31,2023-04-19,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2022-12-31,2023-04-19,9,香港中央结算有限公司,656749892,2.237,境外法人股,600000
2022-12-31,2023-04-19,10,中央汇金资产管理有限责任公司,387174708,1.319,国有股,600000
2022-09-30,2022-10-29,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2022-09-30,2022-10-29,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2022-09-30,2022-10-29,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2022-09-30,2022-10-29,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2022-09-30,2022-10-29,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2022-09-30,2022-10-29,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2022-09-30,2022-10-29,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2022-09-30,2022-10-29,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2022-09-30,2022-10-29,9,香港中央结算有限公司,572071616,1.949,境外法人股,600000
2022-09-30,2022-10-29,10,中央汇金资产管理有限责任公司,387174708,1.319,国有股,600000
2022-06-30,2022-08-27,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2022-06-30,2022-08-27,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2022-06-30,2022-08-27,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2022-06-30,2022-08-27,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2022-06-30,2022-08-27,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2022-06-30,2022-08-27,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2022-06-30,2022-08-27,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2022-06-30,2022-08-27,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2022-06-30,2022-08-27,9,香港中央结算有限公司,624854048,2.129,境外法人股,600000
2022-06-30,2022-08-27,10,中央汇金资产管理有限责任公司,387174708,1.319,国有股,600000
2022-03-31,2022-04-28,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2022-03-31,2022-04-28,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2022-03-31,2022-04-28,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2022-03-31,2022-04-28,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2022-03-31,2022-04-28,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2022-03-31,2022-04-28,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2022-03-31,2022-04-28,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
2022-03-31,2022-04-28,8,上海国鑫投资发展有限公司,945568990,3.221,国有股,600000
2022-03-31,2022-04-28,9,香港中央结算有限公司,529115665,1.803,境外法人股,600000
2022-03-31,2022-04-28,10,中央汇金资产管理有限责任公司,387174708,1.319,国有股,600000
2021-12-31,2022-04-28,1,上海国际集团有限公司,6331322671,21.57,国有股,600000
2021-12-31,2022-04-28,2,中国移动通信集团广东有限公司,5334892824,18.175,国有股,600000
2021-12-31,2022-04-28,3,富德生命人寿保险股份有限公司-传统,2779437274,9.469,境内法人股,600000
2021-12-31,2022-04-28,4,富德生命人寿保险股份有限公司-资本金,1763232325,6.007,境内法人股,600000
2021-12-31,2022-04-28,5,上海上国投资产管理有限公司,1395571025,4.755,国有股,600000
2021-12-31,2022-04-28,6,富德生命人寿保险股份有限公司-万能H,1270428648,4.328,境内法人股,600000
2021-12-31,2022-04-28,7,中国证券金融股份有限公司,1179108780,4.017,国有股,600000
