日期,时间,沪股通,深股通,北向资金
2024-04-19,9:30,14210.31,23684.55,37894.86
2024-04-19,9:31,41872.89,40566.42,82439.31
2024-04-19,9:32,31281.3,27154.31,58435.61
2024-04-19,9:33,23106.88,15506.77,38613.65
2024-04-19,9:34,9962.13,8589.64,18551.77
2024-04-19,9:35,3239.85,-13833.26,-10593.41
2024-04-19,9:36,-8289.81,-21035.31,-29325.12
2024-04-19,9:37,339.6,-22367.08,-22027.48
2024-04-19,9:38,-9536.16,-37647.05,-47183.21
2024-04-19,9:39,-11038.56,-32539.06,-43577.62
2024-04-19,9:40,-15245.64,-40819.77,-56065.41
2024-04-19,9:41,-17425.96,-70036.18,-87462.14
2024-04-19,9:42,-39940.98,-72331.97,-112272.95
2024-04-19,9:43,-48679.95,-87992.95,-136672.9
2024-04-19,9:44,-57827.36,-100594.64,-158422.0
2024-04-19,9:45,-55124.98,-97867.7,-152992.68
2024-04-19,9:46,-52900.91,-103449.77,-156350.68
2024-04-19,9:47,-36842.82,-101228.06,-138070.88
2024-04-19,9:48,-43316.58,-111167.05,-154483.63
2024-04-19,9:49,-49659.82,-113871.41,-163531.23
2024-04-19,9:50,-49056.82,-118934.53,-167991.35
2024-04-19,9:51,-26036.03,-100612.84,-126648.87
2024-04-19,9:52,-26069.01,-99347.2,-125416.21
2024-04-19,9:53,-35186.62,-108910.17,-144096.79
2024-04-19,9:54,-37259.68,-115259.09,-152518.77
2024-04-19,9:55,-39562.79,-115252.77,-154815.56
2024-04-19,9:56,-48076.59,-128166.0,-176242.59
2024-04-19,9:57,-53324.66,-133895.76,-187220.42
2024-04-19,9:58,-58456.47,-135385.95,-193842.42
2024-04-19,9:59,-59804.59,-138733.32,-198537.91
2024-04-19,10:00,-67028.51,-153167.44,-220195.95
2024-04-19,10:01,-57079.85,-155584.39,-212664.24
2024-04-19,10:02,-60150.74,-160318.67,-220469.41
2024-04-19,10:03,-56297.78,-163077.16,-219374.94
2024-04-19,10:04,-59360.56,-172543.81,-231904.37
2024-04-19,10:05,-39861.3,-159975.66,-199836.96
2024-04-19,10:06,-38794.91,-170888.88,-209683.79
2024-04-19,10:07,-48760.97,-174993.26,-223754.23
2024-04-19,10:08,-47538.96,-165524.42,-213063.38
2024-04-19,10:09,-45233.09,-165113.25,-210346.34
2024-04-19,10:10,-69881.59,-211556.34,-281437.93
2024-04-19,10:11,-92905.53,-247026.79,-339932.32
2024-04-19,10:12,-80326.52,-226611.26,-306937.78
2024-04-19,10:13,-77152.35,-224108.33,-301260.68
2024-04-19,10:14,-87800.77,-230913.45,-318714.22
2024-04-19,10:15,-83170.68,-225737.49,-308908.17
2024-04-19,10:16,-88516.93,-236898.65,-325415.58
2024-04-19,10:17,-67522.31,-215088.58,-282610.89
2024-04-19,10:18,-73116.67,-224945.7,-298062.37
2024-04-19,10:19,-86755.71,-238195.21,-324950.92
2024-04-19,10:20,-89911.71,-240845.41,-330757.12
2024-04-19,10:21,-108876.48,-262895.3,-371771.78
2024-04-19,10:22,-100052.47,-247130.52,-347182.99
2024-04-19,10:23,-105883.96,-245856.48,-351740.44
2024-04-19,10:24,-107886.95,-246588.49,-354475.44
2024-04-19,10:25,-105052.27,-243677.17,-348729.44
2024-04-19,10:26,-119822.49,-264779.95,-384602.44
2024-04-19,10:27,-120881.12,-268041.02,-388922.14
2024-04-19,10:28,-115047.78,-259815.94,-374863.72
2024-04-19,10:29,-101273.68,-239445.3,-340718.98
2024-04-19,10:30,-101606.13,-240275.16,-341881.29
2024-04-19,10:31,-100296.44,-250632.99,-350929.43
2024-04-19,10:32,-97698.42,-247236.3,-344934.72
2024-04-19,10:33,-100605.76,-246970.04,-347575.8
2024-04-19,10:34,-100752.48,-250125.48,-350877.96
2024-04-19,10:35,-99269.64,-247600.1,-346869.74
2024-04-19,10:36,-98215.27,-243192.61,-341407.88
2024-04-19,10:37,-94466.24,-239603.4,-334069.64
2024-04-19,10:38,-102709.43,-254821.24,-357530.67
2024-04-19,10:39,-105697.23,-256862.84,-362560.07
