序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,2068,中铝国际,2.19,0.25,12.89,2.23,2.39,2.16,1.94,55513000,125492200.0
2,2343,太平洋航运,2.61,0.19,7.85,2.41,2.67,2.4,2.42,82682578,215187987.0
3,9857,柠萌影视,7.77,0.44,6.0,7.4,8.26,7.09,7.33,2025100,15581821.0
4,3998,波司登,4.32,0.24,5.88,4.3,4.37,4.14,4.08,89781789,382764576.0
5,2218,安德利果汁,8.5,0.47,5.85,8.29,8.68,7.84,8.03,766000,6479325.0
6,467,联合能源集团,0.56,0.03,5.66,0.53,0.58,0.52,0.53,208604307,116475814.0
7,3650,KEEP,6.73,0.35,5.49,6.49,7.35,6.28,6.38,51492900,350835072.0
8,9636,九方财富,10.6,0.52,5.16,10.08,10.6,9.64,10.08,1585500,15981890.0
9,1164,中广核矿业,2.05,0.09,4.59,1.96,2.06,1.96,1.96,30391570,61310359.0
10,316,东方海外国际,102.1,4.3,4.4,99.8,102.8,96.3,97.8,1924371,194432160.0
11,1033,中石化油服,0.52,0.02,4.0,0.5,0.52,0.5,0.5,6091000,3141360.0
12,817,中国金茂,0.56,0.02,3.7,0.54,0.57,0.53,0.54,46810937,25970678.0
13,990,荣晖国际,0.59,0.02,3.51,0.56,0.6,0.56,0.57,13160000,7700600.0
14,1816,中广核电力,2.7,0.09,3.45,2.61,2.73,2.59,2.61,122413600,325889536.0
15,564,郑煤机,12.58,0.4,3.28,12.08,12.58,11.98,12.18,1669400,20473841.0
16,6098,碧桂园服务,4.44,0.14,3.26,4.28,4.51,4.25,4.3,43603949,191929136.0
17,1114,华晨中国,7.14,0.22,3.18,6.96,7.16,6.85,6.92,26941230,189320930.0
18,1919,中远海控,8.9,0.26,3.01,8.64,9.01,8.63,8.64,56855788,505989600.0
19,1138,中远海能,8.88,0.25,2.9,8.63,9.16,8.51,8.63,30647192,275700912.0
20,3969,中国通号,3.2,0.09,2.89,3.11,3.22,3.11,3.11,12933000,41178496.0
21,2416,易点云,2.97,0.08,2.77,2.95,3.01,2.82,2.89,12735000,37384700.0
22,6683,巨星传奇,9.6,0.25,2.67,9.38,9.8,9.06,9.35,6258000,59422535.0
23,3996,中国能源建设,0.77,0.02,2.67,0.76,0.79,0.75,0.75,30738000,23689480.0
24,2357,中航科工,3.24,0.08,2.53,3.18,3.26,3.15,3.16,13238773,42683799.0
25,9666,金科服务,8.74,0.21,2.46,8.48,8.74,8.48,8.53,258400,2232230.0
26,9658,特海国际,13.38,0.32,2.45,13.0,13.38,12.8,13.06,1020000,13374940.0
27,2877,神威药业,9.45,0.22,2.38,9.23,9.46,9.05,9.23,541000,4979790.0
28,1600,天伦燃气,4.78,0.11,2.36,4.56,4.81,4.54,4.67,867000,4024810.0
29,857,中国石油股份,7.49,0.17,2.32,7.31,7.55,7.28,7.32,165766404,1236963296.0
30,1330,绿色动力环保,2.72,0.06,2.26,2.66,2.73,2.65,2.66,952000,2579810.0
31,1563,友联国际教育租赁,0.455,0.01,2.25,0.45,0.51,0.445,0.445,127086000,60896565.0
32,3320,华润医药,4.79,0.1,2.13,4.72,4.81,4.64,4.69,9671566,45816709.0
33,3709,赢家时尚,12.46,0.26,2.13,12.3,12.6,12.26,12.2,1144500,14237010.0
34,934,中石化冠德,3.98,0.08,2.05,3.9,4.01,3.9,3.9,6530000,25985270.0
35,1368,特步国际,4.55,0.09,2.02,4.46,4.57,4.36,4.46,8407000,37497449.0
36,257,光大环境,3.12,0.06,1.96,3.05,3.15,3.05,3.06,19404536,60143015.0
37,338,上海石油化工股份,1.05,0.02,1.94,1.03,1.06,1.02,1.03,10037799,10427665.0
38,2469,粉笔,4.23,0.08,1.93,4.15,4.26,4.03,4.15,6055500,25228872.0
39,3898,时代电气,29.6,0.55,1.89,29.0,29.75,28.75,29.05,2876896,84552595.0
40,323,马鞍山钢铁股份,1.14,0.02,1.79,1.13,1.14,1.12,1.12,2336000,2638399.0
41,2099,中国黄金国际,48.7,0.85,1.78,48.25,50.35,47.85,47.85,2427800,118953796.0
42,38,第一拖拉机股份,7.58,0.13,1.74,7.35,7.6,7.35,7.45,2708000,20375548.0
43,631,三一国际,5.43,0.09,1.69,5.34,5.5,5.23,5.34,14753620,80079048.0
44,2607,上海医药,10.96,0.18,1.67,10.78,11.02,10.68,10.78,1974566,21522859.0
45,995,安徽皖通高速公路,9.29,0.15,1.64,9.08,9.29,9.05,9.14,1207000,11085610.0
46,336,华宝国际,2.51,0.04,1.62,2.54,2.54,2.44,2.47,1868000,4641690.0
47,1818,招金矿业,12.96,0.2,1.57,12.76,13.22,12.76,12.76,39997000,520332832.0
48,1359,中国信达,0.65,0.01,1.56,0.64,0.65,0.63,0.64,46862319,30253700.0
49,386,中国石油化工股份,4.65,0.07,1.53,4.57,4.67,4.54,4.58,148214675,687645680.0
50,9688,再鼎医药,10.78,0.16,1.51,10.84,10.86,10.56,10.62,5002013,53715114.0
51,9995,荣昌生物,27.7,0.4,1.47,27.0,27.9,26.25,27.3,919000,24769925.0
52,1288,农业银行,3.48,0.05,1.46,3.41,3.49,3.41,3.43,177779910,616691264.0
53,933,非凡领越,0.7,0.01,1.45,0.68,0.7,0.68,0.69,884000,616120.0
54,1475,日清食品,4.92,0.07,1.44,4.86,4.92,4.82,4.85,526000,2563780.0
55,6198,青岛港,5.04,0.07,1.41,4.99,5.06,4.93,4.97,1970000,9861090.0
56,1691,JS环球生活,1.47,0.02,1.38,1.43,1.48,1.43,1.45,9021000,13212739.0
57,151,中国旺旺,4.42,0.06,1.38,4.36,4.44,4.34,4.36,7165375,31505582.0
58,1199,中远海运港口,4.53,0.06,1.34,4.47,4.6,4.4,4.47,3783300,17135290.0
59,1907,中国旭阳集团,3.08,0.04,1.32,3.02,3.09,3.02,3.04,6743000,20662760.0
60,9955,智云健康,2.4,0.03,1.27,2.4,2.47,2.3,2.37,7851900,18701107.0
61,2866,中远海发,0.8,0.01,1.27,0.79,0.81,0.79,0.79,7567100,6026983.0
62,107,四川成渝高速公路,3.2,0.04,1.27,3.14,3.22,3.14,3.16,2062000,6581358.0
63,751,创维集团,3.21,0.04,1.26,3.17,3.23,3.08,3.17,10297879,32365378.0
64,2380,中国电力,3.22,0.04,1.26,3.18,3.23,3.15,3.18,15131000,48215320.0
65,297,中化化肥,0.82,0.01,1.23,0.82,0.82,0.8,0.81,2792000,2257700.0
66,101,恒隆地产,8.21,0.1,1.23,8.11,8.22,8.0,8.11,11647280,94693289.0
