name,cname,category,symbol,price,diff,chg,preclose,open,high,low,amplitude,volume,mktcap,pe,market,category_id
Microsoft Corp.,微软公司,软件,MSFT,404.27,-7.57,-1.84,411.84,410.63,411.89,403.95,1.93%,21029917,3004348180698,36.42071848,NASDAQ,14
"Apple, Inc.",苹果公司,计算机,AAPL,167.04,-0.96,-0.57,168.00,168.03,168.64,166.55,1.24%,43122903,2579411698565,25.85758395,NASDAQ,5
NVIDIA Corp.,英伟达公司,半导体,NVDA,846.71,6.36,0.76,840.35,849.70,861.90,824.02,4.51%,44726034,2116775054932,70.20812542,NASDAQ,12
"Alphabet, Inc.",谷歌,互联网,GOOG,157.46,0.58,0.37,156.88,156.93,158.49,156.21,1.45%,14016065,1957700263474,26.91624090,NASDAQ,41
"Alphabet, Inc.",谷歌A类股,媒体内容,GOOGL,156.01,0.54,0.35,155.47,155.34,156.94,154.62,1.49%,19883044,1939206138031,26.66837556,NASDAQ,702
"Amazon.com, Inc.",亚马逊公司,互联网,AMZN,179.22,-2.06,-1.14,181.28,181.47,182.39,178.65,2.06%,30723793,1863859629703,60.75254180,NASDAQ,41
"Meta Platforms, Inc.","Meta Platforms, Inc.",,META,501.80,7.63,1.54,494.17,499.82,512.21,499.04,2.67%,14808259,1279291451070,33.01315751,NASDAQ,
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,保险,BRK.A,604144.00,3844.00,0.64,600300.00,601345.00,607875.00,598311.00,1.59%,12201,868562725200,9.10250936,NYSE,25
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,保险,BRK.B,399.89,2.15,0.54,397.74,399.70,402.99,399.10,0.98%,2672415,862043919928,9.03706248,NYSE,25
Eli Lilly & Co.,礼来公司,生物技术和制药,LLY,745.95,-4.82,-0.64,750.77,749.42,752.20,743.77,1.12%,1716782,709223983901,130.86842757,NYSE,700
"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,半导体,TSM,132.27,-6.76,-4.86,139.03,132.89,135.13,130.30,3.47%,39306149,686085331971,34.17829669,NYSE,12
Broadcom Inc.,博通,半导体,AVGO,1258.99,-23.64,-1.84,1282.63,1288.00,1292.65,1255.46,2.90%,2488803,583442698645,45.20610316,NASDAQ,12
Novo Nordisk A/S,诺和诺德公司,制药,NVO,122.75,-1.78,-1.43,124.53,123.30,124.09,122.51,1.27%,2841032,547653150341,45.29520231,NYSE,10
"Visa, Inc.",维萨卡公司,,V,271.37,-1.32,-0.48,272.69,272.57,273.15,269.86,1.21%,8231849,545162210571,31.19195415,NYSE,726
JPMorgan Chase & Co.,摩根大通公司,,JPM,181.25,1.17,0.65,180.08,181.10,183.36,179.97,1.88%,9557720,520566410738,10.92525608,NYSE,695
"Walmart, Inc.",沃尔玛公司,零售,WMT,59.26,-0.39,-0.65,59.65,59.83,59.94,59.22,1.20%,12061538,477600548597,30.86458315,NYSE,52
"Tesla, Inc.",特斯拉,汽车制造,TSLA,149.93,-5.52,-3.55,155.45,151.25,152.20,148.70,2.25%,96098830,477400063770,31.76483037,NASDAQ,155
Exxon Mobil Corp.,埃克森美孚公司,,XOM,118.52,-0.11,-0.09,118.63,119.00,119.72,117.97,1.48%,13821356,469014286602,13.31685413,NYSE,710
"UnitedHealth Group, Inc.",美国联合健康集团,卫生保健设施,UNH,493.18,14.19,2.96,478.99,486.13,502.00,485.97,3.35%,8880448,454679457124,27.24751283,NYSE,692
"Mastercard, Inc.",万事达卡公司,商业服务,MA,454.70,-5.46,-1.19,460.16,460.50,461.91,453.80,1.76%,1998880,424185776438,38.30665683,NYSE,16
Vanguard Total International Stock ETF,领航 国际股票 ETF,股权,VXUS,57.91,0.01,0.02,57.90,58.02,58.28,57.80,0.82%,2139950,392649971798,,NASDAQ,145
Procter & Gamble Co.,宝洁公司,,PG,157.29,1.34,0.86,155.95,156.34,157.63,155.96,1.07%,7819261,370106665786,25.61726331,NYSE,761
Johnson & Johnson,强生公司,制药,JNJ,145.74,0.97,0.67,144.77,144.98,145.80,143.13,1.84%,9887704,351201795527,18.54198512,NYSE,10
ASML Holding NV,阿斯麦公司,半导体,ASML,889.03,-18.58,-2.05,907.61,901.12,903.60,886.40,1.90%,1653715,349763724147,41.31180346,NASDAQ,12
"The Home Depot, Inc.",家得宝公司,零售,HD,332.89,0.06,0.02,332.83,335.65,336.95,331.33,1.69%,3717526,329904173641,21.98745093,NYSE,52
Oracle Corp.,甲骨文公司,软件,ORCL,116.00,-2.67,-2.25,118.67,118.76,118.76,115.70,2.58%,6662406,318827623652,29.74358902,NYSE,14
"Merck & Co., Inc.",默沙东集团,生物技术和制药,MRK,125.23,-0.14,-0.11,125.37,125.52,125.52,124.50,0.81%,5992700,317160457226,894.50002017,NYSE,700
Costco Wholesale Corp.,开市客公司,,COST,711.25,-3.94,-0.55,715.19,715.19,718.95,709.57,1.31%,1846393,315442245605,46.45656306,NASDAQ,822
Toyota Motor Corp.,丰田汽车公司,汽车制造,TM,231.84,-2.13,-0.91,233.97,233.73,234.11,231.70,1.03%,220216,312385278930,9.88656669,NYSE,155
"AbbVie, Inc.",艾伯维公司,生物技术和制药,ABBV,164.66,0.41,0.25,164.25,164.96,167.44,164.43,1.83%,4479940,291554738705,60.31501924,NYSE,700
Chevron Corp.,雪佛龙公司,油气,CVX,157.57,1.17,0.75,156.40,157.14,158.04,156.39,1.05%,4979193,291082218052,13.82193093,NYSE,76
Bank of America Corp.,美国银行公司,银行,BAC,35.77,0.54,1.53,35.23,35.54,35.99,35.18,2.30%,44506200,281279880894,12.24999984,NYSE,61
"Netflix, Inc.",奈飞公司,,NFLX,610.56,-3.13,-0.51,613.69,612.10,621.33,605.44,2.59%,8468407,264481030327,49.92314149,NASDAQ,712
"Salesforce, Inc.",赛富时公司,软件,CRM,271.92,-4.40,-1.59,276.32,276.32,276.33,269.75,2.38%,5918155,263762413025,63.98117963,NYSE,14
The Coca-Cola Co.,可口可乐公司,饮料,KO,58.91,0.40,0.68,58.51,58.62,58.98,58.54,0.75%,11125869,253972240416,23.75403201,NYSE,74
"Advanced Micro Devices, Inc.",美国超微公司,半导体,AMD,155.08,1.06,0.69,154.02,155.51,156.96,152.32,3.01%,52669816,250630999277,292.60379283,NYSE,12
"PepsiCo, Inc.",百事可乐公司,饮料,PEP,172.27,2.79,1.65,169.48,170.10,172.68,170.10,1.52%,5574662,236786690425,26.14112296,NYSE,74
