股票代码,股票简称,关注,最新价
SH601127,赛力斯,102439,90.66
SH600519,贵州茅台,98384,1692.96
SZ002229,鸿博股份,94439,17.79
SZ002594,比亚迪,82165,205.97
SZ002230,科大讯飞,50257,43.06
SZ000651,格力电器,48499,38.74
SZ300750,宁德时代,46551,188.03
SH600036,招商银行,46413,33.47
SH601012,隆基绿能,45054,18.45
SZ000002,万科A,43649,6.53
SH603083,剑桥科技,40587,35.54
SZ300418,昆仑万维,37336,39.24
SH601318,中国平安,36402,40.56
SZ000977,浪潮信息,30762,36.88
SZ000858,五粮液,30078,148.4
SH600887,伊利股份,29649,27.89
SZ300308,中际旭创,29590,167.8
SZ300364,中文在线,29408,25.17
SH601888,中国中免,29063,72.09
SZ002261,拓维信息,28246,13.48
SH601099,太平洋,23334,3.01
SZ300045,华力创通,23274,20.4
SZ002456,欧菲光,22738,8.67
SZ000625,长安汽车,22253,16.28
SH603019,中科曙光,21985,44.1
SZ300142,沃森生物,21416,14.14
SZ002714,牧原股份,21117,44.23
SZ300059,东方财富,20996,12.45
SH600150,中国船舶,20140,36.79
SH600030,中信证券,19952,18.26
SH600276,恒瑞医药,19832,43.64
SH601360,三六零,19439,8.2
SZ002466,天齐锂业,19339,40.63
SH601166,兴业银行,18699,15.93
SH600436,片仔癀,18506,225.33
SZ002855,捷荣技术,18149,23.81
SH603178,圣龙股份,17105,25.93
SH600895,张江高科,16935,17.77
SZ000656,*ST金科,15816,1.14
SH688981,中芯国际,15570,41.19
SZ002654,万润科技,15482,9.89
SH601919,中远海控,15403,11.04
SH603259,药明康德,15008,42.19
SH603000,人民网,14998,24.88
SZ002460,赣锋锂业,14716,33.23
SZ002703,浙江世宝,14519,12.09
SH688256,寒武纪-U,14411,153.05
SH601138,工业富联,14111,22.26
SH603220,中贝通信,14082,28.13
SH603918,金桥信息,13600,13.42
SH600900,长江电力,13459,25.73
SZ000615,*ST美谷,13203,2.14
SZ002304,洋河股份,12955,98.21
SZ300014,亿纬锂能,12918,33.99
SH600085,同仁堂,12885,41.01
SZ300058,蓝色光标,12808,6.26
SH600048,保利发展,12741,7.97
SZ002241,歌尔股份,12645,14.91
SZ000725,京东方A,12618,4.27
SH600733,北汽蓝谷,12352,6.91
SZ000568,泸州老窖,12342,182.21
SZ300624,万兴科技,12233,87.7
SZ000628,高新发展,11934,44.0
SH600771,广誉远,11800,24.01
SH601136,首创证券,11693,20.18
SH601633,长城汽车,11658,24.65
SZ300502,新易盛,11605,79.2
SZ000661,长春高新,11484,109.61
SH601858,中国科传,11462,23.32
SZ002738,中矿资源,11396,32.4
SZ300657,弘信电子,11099,17.35
