日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2011-12-05,1014,,,,,,
2011-12-12,1013,-0.09861933,,,,,
2011-12-19,1005,-0.78973346,,,,,
2011-12-26,993,-1.19402985,,,,,
2012-01-02,991,-0.20140987,,,,,
2012-01-09,984,-0.70635721,,,,,
2012-01-16,983,-0.10162602,,,,,
2012-01-23,983,0.0,,,,,
2012-01-30,982,-0.1017294,,,,,
2012-02-06,987,0.50916497,,,,,
2012-02-13,989,0.20263425,,,,,
2012-02-20,996,0.70778564,,,,,
2012-02-27,1001,0.50200803,,,,,
2012-03-05,1007,0.5994006,-0.69033531,,,,
2012-03-12,994,-1.29096326,-1.87561698,,,,
2012-03-19,987,-0.70422535,-1.79104478,,,,
2012-03-26,990,0.30395137,-0.3021148,,,,
2012-04-02,989,-0.1010101,-0.20181635,,,,
2012-04-09,991,0.20222447,0.71138211,,,,
2012-04-16,989,-0.20181635,0.6103764,,,,
2012-04-23,993,0.40444894,1.017294,,,,
2012-04-30,992,-0.10070493,1.01832994,,,,
2012-05-07,987,-0.50403226,0.0,,,,
2012-05-14,984,-0.30395137,-0.50556117,,,,
2012-05-21,978,-0.6097561,-1.80722892,,,,
2012-05-28,987,0.9202454,-1.3986014,,,,
2012-06-04,993,0.60790274,-0.7992008,,,,
2012-06-11,992,-0.10070493,-1.48957299,-2.16962525,,,
2012-06-18,990,-0.2016129,-0.40241449,-2.27048371,,,
2012-06-25,985,-0.50505051,-0.20263425,-1.99004975,,,
2012-07-02,980,-0.50761421,-0.91001011,-1.10998991,,,
2012-07-09,966,-1.42857143,-2.52270434,-1.82926829,,,
2012-07-16,959,-0.72463768,-3.03336704,-2.4415056,,,
2012-07-23,947,-1.25130344,-4.63242699,-3.66225839,,,
2012-07-30,941,-0.63357973,-5.14112903,-4.17515275,,,
2012-08-06,941,0.0,-5.14112903,-4.66058764,,,
2012-08-13,943,0.21253985,-4.45795339,-4.65116279,,,
2012-08-20,951,0.84835631,-3.35365854,-4.51807229,,,
2012-08-27,972,2.20820189,-0.61349693,-2.8971029,,,
2012-09-03,968,-0.41152263,-1.92502533,-3.2967033,,,
2012-09-10,979,1.13636364,-1.40986908,-2.78053625,,,
2012-09-17,994,1.53217569,0.2016129,0.0,,,
2012-09-24,1011,1.71026157,2.12121212,2.43161094,,,
2012-10-01,1011,0.0,2.63959391,2.12121212,,,
2012-10-08,1028,1.68150346,4.89795918,3.94337715,,,
2012-10-15,1030,0.19455253,6.6252588,3.93541877,,,
2012-10-22,1038,0.77669903,8.23774765,4.95449949,,,
2012-10-29,1041,0.28901734,9.92608237,4.83383686,,,
2012-11-05,1033,-0.76849183,9.77683316,4.13306452,,,
2012-11-12,1018,-1.45208132,8.18278427,3.1408308,,,
2012-11-19,1007,-1.0805501,6.78685048,2.33739837,,,
2012-11-26,990,-1.68818272,4.10094637,1.22699387,,,
2012-12-03,986,-0.4040404,1.85950413,-0.10131712,,,
2012-12-10,984,-0.20283976,0.51072523,-0.90634441,-2.95857988,,
2012-12-17,1011,2.74390244,1.71026157,1.91532258,-0.19743337,,
2012-12-24,1010,-0.09891197,-0.09891197,2.02020202,0.49751244,,
2012-12-31,1014,0.3960396,0.29673591,2.94416244,2.11480363,,
2013-01-07,1013,-0.09861933,0.19782394,3.36734694,2.21997982,,
2013-01-14,1012,-0.09871668,-1.55642023,4.76190476,2.84552846,,
2013-01-21,1013,0.09881423,-1.65048544,5.63086548,3.05188199,,
2013-01-28,1015,0.19743337,-2.21579961,7.18057022,3.25534079,,
2013-02-04,1016,0.09852217,-2.40153698,7.97024442,3.46232179,,
2013-02-11,1019,0.29527559,-1.3552759,8.2890542,3.24214792,,
2013-02-18,1025,0.58881256,0.68762279,8.69565217,3.64004044,,
2013-02-25,1023,-0.19512195,1.58887786,7.57097792,2.71084337,,
2013-03-04,1021,-0.19550342,3.54969574,5.47520661,1.998002,,
2013-03-11,1013,-0.78354554,2.94715447,3.47293156,0.5958292,,
2013-03-18,1015,0.19743337,0.39564787,2.11267606,2.11267606,,
2013-03-25,1016,0.09852217,0.59405941,0.49455984,2.93819656,,
2013-04-01,1013,-0.29527559,-0.09861933,0.19782394,2.32323232,,
2013-04-08,1012,-0.09871668,-0.09871668,-1.55642023,2.3255814,,
2013-04-15,1008,-0.39525692,-0.39525692,-2.13592233,1.71543895,,
2013-04-22,1006,-0.1984127,-0.69101678,-3.08285164,1.71890799,,
2013-04-29,1005,-0.09940358,-0.98522167,-3.45821326,1.20845921,,
2013-05-06,1004,-0.09950249,-1.18110236,-2.80735721,1.20967742,,
2013-05-13,1001,-0.29880478,-1.76643768,-1.66994106,1.41843972,,
2013-05-20,998,-0.2997003,-2.63414634,-0.89374379,1.42276423,,
2013-05-27,988,-1.00200401,-3.42130987,-0.2020202,1.02249489,,
2013-06-03,985,-0.30364372,-3.714565,-0.10141988,-0.20263425,,
2013-06-10,983,-0.20304569,-3.72184133,-0.10162602,-1.00704935,,
2013-06-17,983,0.0,-2.96150049,-2.76953511,-0.90725806,,
2013-06-24,982,-0.1017294,-3.25123153,-2.77227723,-0.80808081,,
2013-07-01,987,0.50916497,-2.56663376,-2.66272189,0.20304569,,
2013-07-08,987,0.0,-2.47035573,-2.56663376,0.71428571,,
2013-07-15,992,0.50658561,-1.58730159,-1.97628458,2.69151139,,
2013-07-22,995,0.30241935,-1.09343936,-1.7769003,3.75391032,,
2013-07-29,993,-0.20100503,-1.19402985,-2.16748768,4.85744456,,
2013-08-05,996,0.3021148,-0.89552239,-1.96850394,5.84484591,,
2013-08-12,1000,0.40160643,-0.39840637,-1.86457311,6.26992561,,
2013-08-19,997,-0.3,-0.3996004,-2.73170732,5.72640509,,
2013-08-26,996,-0.1003009,-0.2004008,-2.63929619,4.7318612,,
2013-09-02,996,0.0,0.8097166,-2.63929619,2.4691358,,
2013-09-09,994,-0.20080321,0.91370558,-2.64446621,2.68595041,,
2013-09-16,993,-0.10060362,1.017294,-1.97433366,1.43003064,,
2013-09-23,990,-0.3021148,0.7121058,-2.46305419,-0.40241449,,
2013-09-30,990,0.0,0.81466395,-2.55905512,-2.07715134,,
2013-10-07,991,0.1010101,0.40526849,-2.17176703,-1.97823937,,
2013-10-14,991,0.0,0.40526849,-2.07509881,-3.59922179,,
2013-10-21,990,-0.10090817,-0.2016129,-1.78571429,-3.88349515,,
2013-10-28,991,0.1010101,-0.40201005,-1.49105368,-4.52793834,,
2013-11-04,996,0.50454087,0.3021148,-0.89552239,-4.32276657,,
2013-11-11,996,0.0,0.0,-0.79681275,-3.58180058,,
2013-11-18,994,-0.20080321,-0.6,-0.6993007,-2.35756385,,
2013-11-25,995,0.10060362,-0.20060181,-0.3006012,-1.19165839,,
2013-12-02,994,-0.10050251,-0.20080321,0.60728745,0.4040404,,
2013-12-09,994,0.0,0.0,0.91370558,0.81135903,-1.97238659,
2013-12-16,993,-0.10060362,0.0,1.017294,0.91463415,-1.97433366,
2013-12-23,990,-0.3021148,0.0,0.7121058,-2.07715134,-1.49253731,
2013-12-30,982,-0.80808081,-0.80808081,0.0,-2.77227723,-1.10775428,
2014-01-06,976,-0.61099796,-1.41414141,-1.11448835,-3.74753452,-1.5136226,
2014-01-13,974,-0.20491803,-1.71543895,-1.31712259,-3.84995064,-1.01626016,
2014-01-20,970,-0.41067762,-2.11907164,-2.21774194,-4.15019763,-1.3224822,
2014-01-27,970,0.0,-2.02020202,-2.51256281,-4.24481737,-1.3224822,
2014-02-03,970,0.0,-2.11907164,-2.31621349,-4.43349754,-1.22199593,
2014-02-10,967,-0.30927835,-2.91164659,-2.91164659,-4.82283465,-2.02634245,
2014-02-17,966,-0.10341262,-3.01204819,-3.4,-5.20117763,-2.3255814,
2014-02-24,963,-0.31055901,-3.11871227,-3.41023069,-6.04878049,-3.31325301,
2014-03-03,960,-0.31152648,-3.42052314,-3.61445783,-6.15835777,-4.0959041,
2014-03-10,955,-0.52083333,-3.92354125,-3.92354125,-6.46425073,-5.16385303,
2014-03-17,954,-0.10471204,-3.92749245,-3.92749245,-5.8242843,-4.02414487,
2014-03-24,952,-0.20964361,-3.83838384,-3.83838384,-6.20689655,-3.54609929,
2014-03-31,952,0.0,-3.05498982,-3.83838384,-6.2992126,-3.83838384,
2014-04-04,952,0.0,-3.05498982,-3.83838384,-6.02171767,-3.74115268,
2014-04-05,952,0.0,-3.05498982,-3.83838384,-6.02171767,-3.74115268,
2014-04-06,952,0.0,-2.45901639,-3.83838384,-6.02171767,-3.74115268,
2014-04-07,956,0.42016807,-2.04918033,-3.53178607,-5.62685094,-3.33670374,
2014-04-08,953,-0.31380753,-2.35655738,-3.8345106,-5.83003953,-3.64004044,
