代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
113684,湘泵转债,100.0,0.0,603319,湘油泵,17.4,5.01,2.17,16.99,102.41,-2.35,AA-,11.89,22.09,16.0,2030-04-01,5.94,5.774,0.0,0.0,2.85,97.65
118019,金盘转债,138.86,-1.04,688676,金盘科技,47.88,-1.26,6.06,34.37,139.31,-0.32,AA,24.06,44.68,3.6,2028-09-16,4.4,7.449,23512.15,22.68,-4.31,138.54
113044,大秦转债,120.634,0.44,601006,大秦铁路,7.51,0.81,0.97,6.22,120.74,-0.09,AAA,4.35,7.47,11.2,2026-12-14,2.641,147.52,16547.71,0.93,-2.7,120.54
110091,合力转债,175.173,2.52,600761,安徽合力,24.53,2.64,2.48,14.0,175.21,-0.02,AA+,9.8,18.2,7.2,2028-12-13,4.641,13.735,28259.44,11.87,-9.27,175.15
110083,苏租转债,157.4,0.61,600901,江苏金租,5.3,0.0,1.34,3.37,157.27,0.08,AAA,,4.38,18.9,2027-11-11,3.551,43.439,9616.2,1.41,-9.73,157.48
111011,冠盛转债,136.256,3.1,605088,冠盛股份,23.86,3.07,2.06,17.61,135.49,0.57,AA-,12.33,22.89,9.9,2029-01-03,4.699,4.033,18110.73,33.14,-2.76,136.83
123127,耐普转债,166.177,6.46,300818,耐普矿机,40.31,5.69,3.29,24.4,165.2,0.59,A+,17.08,31.72,10.7,2027-10-29,3.515,2.863,48249.3,103.52,-10.1,166.77
110048,福能转债,180.171,2.61,600483,福能股份,9.97,2.47,1.16,5.57,178.99,0.66,AA+,3.9,7.24,4.5,2024-12-07,0.622,11.371,18243.77,8.96,-63.8,180.83
113615,金诚转债,428.523,1.13,603979,金诚信,52.89,1.81,4.7,12.43,425.5,0.71,AA,8.7,16.16,1.7,2026-12-23,2.666,5.7,50030.87,20.5,-39.25,429.23
123118,惠城转债,322.28,-1.14,300779,惠城环保,50.85,-0.49,5.35,15.93,319.21,0.96,A+,11.15,20.71,2.3,2027-07-07,3.203,1.246,30884.43,76.94,-26.9,323.24
123106,正丹转债,187.555,3.73,300641,正丹股份,13.73,6.43,4.28,7.4,185.54,1.09,AA-,5.18,9.62,4.3,2027-03-24,2.915,2.91,459190.3,832.3,-13.52,188.65
123044,红相转债,117.75,-0.13,300427,*ST红相,4.3,-0.23,1.03,3.7,116.22,1.32,A-,2.59,4.81,30.9,2026-03-12,1.882,4.616,3797.59,7.0,1.48,119.07
113534,鼎胜转债,137.5,0.56,603876,鼎胜新材,10.62,1.05,1.44,7.84,135.46,1.51,AA-,5.49,10.19,3.5,2025-04-09,0.959,3.327,25411.19,55.74,-20.92,139.01
127037,银轮转债,177.15,3.54,2126,银轮股份,18.45,5.55,2.77,10.61,173.89,1.87,AA,7.43,13.79,3.6,2027-06-07,3.121,5.072,12756.84,14.29,-13.34,179.02
127084,柳工转2,135.276,0.24,528,柳工,10.31,-0.29,1.22,7.77,132.69,1.95,AAA,5.44,10.1,19.9,2029-03-27,4.926,28.991,12980.65,3.31,-2.92,137.23
110077,洪城转债,184.953,0.4,600461,洪城环境,10.44,0.38,1.61,5.78,180.62,2.4,AA+,4.05,7.51,8.2,2026-11-20,2.575,9.719,3877.74,2.16,-17.78,187.35
127014,北方转债,164.2,1.05,65,北方国际,12.41,1.31,1.46,7.74,160.34,2.41,AA+,5.42,10.06,4.7,2025-10-24,1.501,5.301,24730.97,28.45,-22.81,166.61
128106,华统转债,244.724,-1.12,2840,华统股份,21.07,-1.59,6.3,8.82,238.89,2.44,AA,6.17,11.47,2.5,2026-04-10,1.962,2.426,21328.3,35.87,-33.77,247.16
127050,麒麟转债,135.221,1.53,2984,森麒麟,26.41,3.69,2.23,20.2,130.74,3.43,AA,14.14,26.26,11.8,2027-11-11,3.551,21.988,23289.89,7.78,-4.71,138.65
113066,平煤转债,149.514,-0.22,601666,平煤股份,13.05,-0.23,1.21,9.06,144.04,3.8,AAA,6.34,11.78,4.4,2029-03-16,4.896,14.282,15582.05,7.3,-5.99,153.31
110074,精达转债,134.911,4.19,600577,精达股份,4.62,6.7,1.82,3.57,129.41,4.25,AA,2.5,4.64,5.5,2026-08-19,2.321,5.076,28911.06,42.65,-6.66,139.16
113021,中信转债,118.777,-0.34,601998,中信银行,6.95,-1.28,0.52,6.1,113.93,4.25,AAA,,7.93,4.6,2025-03-04,0.86,124.08,31775.14,2.15,-7.64,123.03
111017,蓝天转债,139.748,0.05,605368,蓝天燃气,13.57,0.0,2.46,10.13,133.96,4.32,AA,7.09,13.17,25.8,2029-08-15,5.312,8.696,2551.33,2.09,-3.65,144.07
111015,东亚转债,128.999,-1.88,605177,东亚药业,25.39,-3.79,1.41,20.6,123.25,4.66,AA-,14.42,26.78,23.9,2029-07-06,5.203,6.893,5572.6,6.25,-1.42,133.66
113648,巨星转债,141.829,0.27,603477,巨星农牧,34.12,-1.1,5.66,25.21,135.34,4.79,AA-,17.65,32.77,5.2,2028-04-25,4.006,8.998,6047.5,4.75,-5.14,146.62
123205,大叶转债,126.26,2.61,300879,大叶股份,13.38,4.78,2.6,11.19,119.57,5.6,A+,7.83,14.55,22.4,2029-07-17,5.233,4.759,15343.89,25.8,-1.19,131.86
128087,孚日转债,120.552,-0.12,2083,孚日股份,4.74,-1.66,0.99,4.16,113.94,5.8,AA-,2.91,5.41,16.5,2025-12-17,1.649,6.443,2169.78,2.8,-5.56,126.35
123188,水羊转债,141.907,-2.6,300740,水羊股份,18.22,-4.21,3.5,13.63,133.68,6.15,A+,9.54,17.72,10.7,2029-04-04,4.948,6.949,31869.74,32.83,-3.22,148.06
123228,震裕转债,125.976,0.32,300953,震裕科技,64.68,-0.26,2.5,54.58,118.5,6.31,AA-,38.21,70.95,30.2,2029-10-20,5.493,11.95,3782.07,2.53,-0.91,132.29
123010,博世转债,108.337,0.36,300422,博世科,4.74,5.8,1.04,4.67,101.5,6.74,A,3.27,6.07,23.3,2024-07-05,0.197,4.296,3613.08,7.78,-1.58,115.08
