No.,Description,Type,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Male,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Female,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Total,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Male,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Female,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Total
1,No. of candidates,Number,17439,17997,35436,17439,17997,35436
2,Total grade points 16 – 18,Number,181,230,411,185,240,425
3,Total grade points 16 – 18,Percentage,1.0%,1.3%,1.2%,1.1%,1.3%,1.2%
4,Total grade points 19 – 21,Number,1244,1510,2754,1283,1537,2820
5,Total grade points 19 – 21,Percentage,7.1%,8.4%,7.8%,7.4%,8.5%,8.0%
6,Total grade points 22 – 24,Number,1823,2213,4036,1892,2258,4150
7,Total grade points 22 – 24,Percentage,10.5%,12.3%,11.4%,10.8%,12.5%,11.7%
8,Total grade points 25 – 27,Number,1433,1757,3190,1487,1758,3245
9,Total grade points 25 – 27,Percentage,8.2%,9.8%,9.0%,8.5%,9.8%,9.2%
10,Total grade points 28 – 30,Number,902,999,1901,911,997,1908
11,Total grade points 28 – 30,Percentage,5.2%,5.6%,5.4%,5.2%,5.5%,5.4%
12,Total grade points 31 – 33,Number,565,604,1169,541,613,1154
13,Total grade points 31 – 33,Percentage,3.2%,3.4%,3.3%,3.1%,3.4%,3.3%
14,Total grade points 34 – 36,Number,326,311,637,260,272,532
15,Total grade points 34 – 36,Percentage,1.9%,1.7%,1.8%,1.5%,1.5%,1.5%
16,Total grade points 37 – 39,Number,168,168,336,115,134,249
17,Total grade points 37 – 39,Percentage,1.0%,0.9%,0.9%,0.7%,0.7%,0.7%
18,Total grade points 40 – 42,Number,57,58,115,25,41,66
19,Total grade points 40 – 42,Percentage,0.3%,0.3%,0.3%,0.1%,0.2%,0.2%
