No.,Total no. of subjects at top levels / grades,Candidates with the corresponding results in Category A/B/C subjects - No. of Male,Candidates with the corresponding results in Category A/B/C subjects - % of Male,Candidates with the corresponding results in Category A/B/C subjects - No. of Female,Candidates with the corresponding results in Category A/B/C subjects - % of Female,Candidates with the corresponding results in Category A/B/C subjects - Total No.,Candidates with the corresponding results in Category A/B/C subjects - Total %,Candidates with the corresponding results in Category A subjects - No. of Male,Candidates with the corresponding results in Category A subjects - % of Male,Candidates with the corresponding results in Category A subjects - No. of Female,Candidates with the corresponding results in Category A subjects - % of Female,Candidates with the corresponding results in Category A subjects - Total No.,Candidates with the corresponding results in Category A subjects - Total %
1,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,7,2,0.0,2,0.0,4,0.0,2,0.0,2,0.0,4,0.0
3,6,9,0.0,12,0.1,21,0.0,8,0.0,11,0.0,19,0.0
4,5,18,0.1,21,0.1,39,0.1,18,0.1,22,0.1,40,0.1
5,4,56,0.2,39,0.2,95,0.2,57,0.2,36,0.2,93,0.2
6,3,114,0.5,66,0.3,180,0.4,107,0.4,67,0.3,174,0.4
7,2,237,0.9,213,0.9,450,0.9,231,0.9,197,0.8,428,0.9
8,1,1035,4.1,1282,5.4,2317,4.8,835,3.3,797,3.4,1632,3.4
9,0,23696,94.2,21960,93.1,45656,93.6,23849,95.0,22406,95.2,46255,95.1
10,Total,25167,100.0,23595,100.0,48762,100.0,25107,100.0,23538,100.0,48645,100.0
