Academic Year,Institution (English),Institution (Chinese),Level of study (English),Level of study (Chinese),Programme type (English),Programme type (Chinese),Programme name (English),Programme name (Chinese),Areas of Study,Areas of Study (Chinese),Normal programme duration
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate Degree in Business,商務學副學士,Business and Management,商業及管理,2
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Design,設計學高級文憑,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Film and Media Production,電影與媒體製作高級文憑,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Health Care,健康護理高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Hospitality Management,款待管理學高級文憑,Services,服務,2
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Human Services,人本服務高級文憑,Services,服務,2
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Music Studies,音樂研習高級文憑,"Arts, Design and Performing Arts",藝術、設計、表演藝術,2
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Pharmaceutical Dispensing,配藥高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Caritas Bianchi College of Careers,明愛白英奇專業學校,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Translation Technology and Modern Languages,翻譯科技與現代語言高級文憑,Languages and Related Studies,語言及相關科目,2
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Language and Liberal Studies,語文及通識(榮譽)文學士,Languages and Related Studies,語言及相關科目,4
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Translation Technology,翻譯科技 (榮譽) 文學士,Languages and Related Studies,語言及相關科目,4
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours),工商管理 (榮譽) 學士,Business and Management,商業及管理,4
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Education (Honours) in Early Childhood Education,幼兒教育 (榮譽) 學士,Education,教育,4
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Nursing (Honours),護理學 (榮譽) 學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,5
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Artificial Intelligence,人工智能 (榮譽) 理學士,Computer Science and Information Technology,電腦科學及資訊科技,4
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Digital Entertainment Technology,數碼娛樂科技(榮譽)理學士,Computer Science and Information Technology,電腦科學及資訊科技,4
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Physiotherapy,物理治療學 (榮譽) 理學士,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,4
2023/24,Saint Francis University,聖方濟各大學,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Honours),社會科學 (榮譽) 學士,Social Sciences,社會科學,4
2023/24,Saint Francis University,聖方濟各大學,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Artificial Intelligence and Information and Communication Technology,人工智能及資訊通訊科技高級文憑,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,Saint Francis University,聖方濟各大學,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Early Childhood Education,幼兒教育高級文憑,Education,教育,2
2023/24,Saint Francis University,聖方濟各大學,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Enrolled Nursing (General),普通科護理學高級文憑,"Medicine, Dentistry and Health Sciences",醫科、牙醫學及健康科學,2
2023/24,Saint Francis University,聖方濟各大學,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Social Work,社會工作高級文憑,Social Sciences,社會科學,2
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Language and Liberal Studies - Year 2 Entry,語文及通識(榮譽)文學士 - 二年級,Languages and Related Studies,語言及相關科目,3
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Language and Liberal Studies - Year 3 Entry,語文及通識(榮譽)文學士 - 三年級,Languages and Related Studies,語言及相關科目,2
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Translation Technology - Year 2 Entry,翻譯科技 (榮譽) 文學士 - 二年級,Languages and Related Studies,語言及相關科目,3
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Arts (Honours) in Translation Technology - Year 3 Entry,翻譯科技 (榮譽) 文學士 - 三年級,Languages and Related Studies,語言及相關科目,2
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) - Year 2 Entry,工商管理 (榮譽) 學士 - 二年級,Business and Management,商業及管理,3
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Business Administration (Honours) - Year 3 Entry,工商管理 (榮譽) 學士 - 三年級,Business and Management,商業及管理,2
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Education (Honours) in  Early Childhood Education - Year 3 Entry,幼兒教育 (榮譽) 學士 - 三年級,Education,教育,2
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Entrepreneurial Management (Honours) in Design Business,設計新創企業管理 (榮譽) 學士,Business and Management,商業及管理,2
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Artificial Intelligence - Year 2 Entry,人工智能 (榮譽) 理學士 - 二年級,Computer Science and Information Technology,電腦科學及資訊科技,3
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Artificial Intelligence - Year 3 Entry,人工智能 (榮譽) 理學士 - 三年級,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Digital Entertainment Technology - Year 2 Entry,數碼娛樂科技(榮譽)理學士 - 二年級,Computer Science and Information Technology,電腦科學及資訊科技,3
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Honours) in Digital Entertainment Technology - Year 3 Entry,數碼娛樂科技(榮譽)理學士 - 三年級,Computer Science and Information Technology,電腦科學及資訊科技,2
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Honours) - Year 2 Entry,社會科學 (榮譽) 學士 - 二年級,Social Sciences,社會科學,3
2023/24,Saint Francis University,聖方濟各大學,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Honours) - Year 3 Entry,社會科學 (榮譽) 學士 - 三年級,Social Sciences,社會科學,2
2023/24,City University of Hong Kong - School of Continuing and Professional Education,香港城巿大學專業進修學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,BA (Hons) Business Management,商業管理榮譽文學士,Business and Management,商業及管理,1
2023/24,City University of Hong Kong - School of Continuing and Professional Education,香港城巿大學專業進修學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Hons) in Aviation Management,航空管理榮譽理學士,Business and Management,商業及管理,1
2023/24,City University of Hong Kong - School of Continuing and Professional Education,香港城巿大學專業進修學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Science (Hons) Information Technology for Business,商業資訊科技榮譽理學士,Computer Science and Information Technology,電腦科學及資訊科技,1
2023/24,Gratia Christian College,宏恩基督教學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Christian Ministry (Honours),基督教事工榮譽學士,Humanities,人文科學,4
2023/24,Gratia Christian College,宏恩基督教學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Psychology (Honours),心理學榮譽學士,Social Sciences,社會科學,4
2023/24,Gratia Christian College,宏恩基督教學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Service Management (Honours),服務管理榮譽學士,Business and Management,商業及管理,4
2023/24,Gratia Christian College,宏恩基督教學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Work (Honours),社會工作榮譽學士,Social Sciences,社會科學,4
2023/24,Gratia Christian College,宏恩基督教學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Christian Ministry Programme,基督教事工高級文憑課程,Humanities,人文科學,2
2023/24,Gratia Christian College,宏恩基督教學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Early Childhood Education Programme,幼兒教育高級文憑課程,Education,教育,2
2023/24,Gratia Christian College,宏恩基督教學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Psychology and Counselling Programme,心理及輔導學高級文憑課程,Social Sciences,社會科學,2
2023/24,Gratia Christian College,宏恩基督教學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Social Work Programme,社會工作高級文憑課程,Social Sciences,社會科學,2
2023/24,Gratia Christian College,宏恩基督教學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Transformative Business Management Programme,轉化型商業管理高級文憑課程,Business and Management,商業及管理,2
2023/24,Gratia Christian College,宏恩基督教學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Christian Ministry (Honours) - Year 3 Entry,基督教事工榮譽學士 - 三年級入學,Humanities,人文科學,2
2023/24,Gratia Christian College,宏恩基督教學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Psychology (Honours) - Year 3 Entry,心理學榮譽學士 - 三年級入學,Social Sciences,社會科學,2
2023/24,Gratia Christian College,宏恩基督教學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Service Management (Honours) - Year 3 Entry,服務管理榮譽學士 - 三年級入學,Business and Management,商業及管理,2
2023/24,Gratia Christian College,宏恩基督教學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Work (Honours)  - Year 3 Entry,社會工作榮譽學士 - 三年級入學,Social Sciences,社會科學,2
2023/24,HKCT Institute of Higher Education,港專學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Social Work,社會工作(榮譽)社會科學學士,Social Sciences,社會科學,4
2023/24,HKCT Institute of Higher Education,港專學院,Degree,學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Sports Management with Coaching,運動管理及訓練(榮譽)社會科學學士,Social Sciences,社會科學,4
2023/24,HKCT Institute of Higher Education,港專學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Early Childhood Education (Inclusive Education),幼兒教育高級文憑 (融合教育),Education,教育,2
2023/24,HKCT Institute of Higher Education,港專學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,"Higher Diploma in Fitness, Coaching and Sports Management",體適能、教練及運動管理高級文憑,Services,服務,2
2023/24,HKCT Institute of Higher Education,港專學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Honours) in Sports Management with Coaching (Senior Year entry),運動管理及訓練(榮譽)社會科學學士 (高年級入學),Social Sciences,社會科學,2
2023/24,HKCT Institute of Higher Education,港專學院,Top-up Degree,銜接學士學位,Bachelor's Degree,學士學位課程,Bachelor of Social Sciences (Hons) in Social Work (Year 3 entry),社會工作(榮譽)社會科學學士 (第三年入學),Social Sciences,社會科學,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大學專業進修學院保良局何鴻燊社區書院,Sub-degree,副學位,Associate Degree,副學士學位課程,"Associate of Applied Social Sciences in Communication, Public Relations and Journalism",應用社會科學副學士(傳理、公關及新聞),"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
