学年,院校(英文),院校(中文),学科级别(英文),学科级别(中文),课程类别(英文),课程类别(中文),课程名称(英文),课程名称(中文),学习范畴(英文),学习范畴(中文),一般修业期
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate Degree in Business,商务学副学士,Business and Management,商业及管理,2
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Design,设计学高级文凭,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Film and Media Production,电影与媒体制作高级文凭,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Health Care,健康护理高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Hospitality Management,款待管理学高级文凭,Services,服务,2
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Human Services,人本服务高级文凭,Services,服务,2
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Music Studies,音乐研习高级文凭,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Pharmaceutical Dispensing,配药高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Caritas Bianchi College of Careers,明爱白英奇专业学校,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Translation Technology and Modern Languages,翻译科技与现代语言高级文凭,Languages and Related Studies,语言及相关科目,2
2023/24,Saint Francis University,圣方济各大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts (Honours) in Language and Liberal Studies,语文及通识(荣誉)文学士,Languages and Related Studies,语言及相关科目,4
2023/24,Saint Francis University,圣方济各大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts (Honours) in Translation Technology,翻译科技 (荣誉) 文学士,Languages and Related Studies,语言及相关科目,4
2023/24,Saint Francis University,圣方济各大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Business Administration (Honours),工商管理 (荣誉) 学士,Business and Management,商业及管理,4
2023/24,Saint Francis University,圣方济各大学,Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Education (Honours) in Early Childhood Education,幼儿教育 (荣誉) 学士,Education,教育,4
