Name of Organisation,Eng. Name,Eng. Address,Tel. No,Fax. No,Type of Service,Age of Child,Full Day Creche Approved Monthly Fee,Full Day Nursery Approved Monthly Fee,Half Day Nursery Approved Monthly Fee,AM Session Nursery Approved Monthly Fee,PM Session Nursery Approved Monthly Fee,Type of Half Day Nursery,Remarks,Full Day Creche Capacity,Full Day Nursery Capacity,Half Day Nursery Capacity,District
611 Bread of Life Christian Church Limited,611 Grapes Child Care Centre,"Portion of Podium Roof of Podium D, Riviera Gardens, Nos. 2-12, Yi Lok Street, Tsuen Wan, New Territories",39568611,39565977,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3715,0,0,AM & PM Sessions,,0,0,50,TW/KwT
ABC Pathways Education Foundation Limited,ABC Pathways International Nursery,"Portion of G/F of Block 8 & 9, Kornhill Gardens, 1124 King's Road, Hong Kong",21101211,21101198,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7380,0,0,AM & PM Sessions,,0,0,25,E/W
ABC Pathways Education Foundation Limited,ABC Pathways International Nursery (Whampoa),"Portion of Shops LG01A on LG/F and UG45A-UG45C on UG/F, The Laguna Mall, 8 Laguna Verde Avenue, Hung Hom, Kowloon",21109993,21109960,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7380,0,0,AM & PM Sessions,,0,0,58,KC/YTM
Agnes Education Institute Company Limited,Agnes Nursery,"Portion of Ground Floor, 2 Fung On Street, Tsui Ning Garden, Tuen Mun, New Territories",24588193,24504180,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3096,0,0,AM & PM Sessions,,0,0,42,TM
Agnes Education Institute Company Limited,Agnes Nursery (Grandeur Terrace),"Part of G/F, Grandeur Terrace, Tin Shui Wai, N.T.",34018128,34018148,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3096,0,0,AM & PM Sessions,,0,0,41,YL
Agnes Education Institute Company Limited,AGNES WISE NURSERY,"Portion of G/F & 1/F, Kindergarten, Uptown, 600 Castle Peak Road, Hung Shui Kiu, Yuen Long, New Territories",35202342,35202344,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5161,3214,0,0,AM & PM Sessions,,0,11,17,YL
"LEE Wai-lai, Margaret",Anchors Academy Affiliated International Nursery,"Portion of 2/F., Academic Block, 1 Ko Po Path, Kam Tin North, Yuien Long, New Territories",38605655,37021707,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,9600,0,0,AM & PM Sessions,,0,0,22,YL
"LEE Wai-lai, Margaret",Anchors International Nursery (Constellation Cove),"Kindergarten Premises, Constellation Cove, 1 Hung Lam Drive, Tai Po, New Territories",26506660,26578886,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8957,6000,0,0,AM & PM Sessions,,0,60,110,TP/N
"LEE, Wai Lai Margaret",Anchors International Nursery,"Portion of G/F & 2/F, Shop G07B, Fuller Gardens, No. 8 Chui Lok Street, Tai Po, New Territories.",26665650,26647778,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8957,6000,0,0,AM & PM Sessions,,0,4,106,TP/N
LEE Wai-lai Margaret,Anchors International Nursery (Fanling),"1A & 1B, 1/F & 2/F, Wing Fai Centre, 2-10 Luen Chit Street, Fanling, New Territories",26762199,26769967,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8948,6000,0,0,AM & PM Sessions,,0,50,286,TP/N
Shui Wah Education Institute Limited,Anfield International Nursery,"Portion of L2, Phase 1, Laguna Verde, 8 Laguna Verde Avenue, Hunghom, Kowloon",27663882,27663933,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8300,0,0,AM & PM Sessions,,0,0,66,KC/YTM
Aristle International Kindergarten Limited,Aristle International Nursery,"Portion of Shop 1 on Ground Floor Together With the Yard Adjacent Thereto and Portion of Shop 2 on Ground and First Floors of Emerald 28, Nos. 22 and 26 Tai Po Road, Kowloon, Hong Kong",23232982,23232670,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,7200,0,AM Session,,0,0,70,SSP
"The Methodist Church, Hong Kong",Asbury Methodist Day Nursery,"G/F & 1/F (Portion), 1 Sheung Kok Street, Tai Wo Hau, Tsuen Wan, New Territories.",24296669,24181609,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3715,0,0,AM & PM Sessions,,0,0,19,TW/KwT
Trinity International Education Development Limited,Ashville International Nursery (Lantau Island),"Shop 1, G/F, Sea Crest Terrace, 19 Mui Wo Ferry Pier Road, Mui Wo, Lantau Island, New Territories (Including Cockloft Thereof)",21099886,21099896,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8403,5563,0,0,AM & PM Sessions,,0,14,28,CW/S/I
"(i) LIEM, Nan Hua, Nanny (ii) Ms LI, Hing Ling Pandora",Bambino English Play School,"Flats A, B,  F, G and H, Causeway Tower, 4th floor, 16-22 Causeway Road, Causeway Bay, Hong Kong",25765269,28068474,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,2900,2300,AM & PM Sessions,,0,0,48,E/W
NEW CONCEPT BEVERLY EDUCATION INSTITUTE LIMITED,Beverly International Play School,"G/F(Portion) and LG/F(Portion), Block 5, Hong Sing Garden, Tseung Kwan O, New Territories",27027728,27021019,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,6805,6199,4300,0,0,AM & PM Sessions,,8,22,36,WTS/SK
Wise Charm Corporation Limited,Brightway International Nursery,"Portion of Kindergarten, Level 1, Le Prestige, Lohas Park, Tseung Kwan O, New Territories",23888322,23888867,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6300,0,0,AM & PM Sessions,,0,0,110,WTS/SK
LI Pak-yee,Fun Creative Anglo-Chinese Nursery,"Portion of G/F, Block 1, Fu Ning Garden, Tseung Kwan O, Sai Kung, N.T.",27027838,27027808,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5042,2824,0,0,AM & PM Sessions,,0,56,65,WTS/SK
Bo Bo Education Limited,Bo Bo Creche and Nursery,"P1012-P1016, Podium, Sing Fai Terrace, Taikoo Wan Road, Tai Koo Shing, Hong Kong",25689706,25681944,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,5835,5835,4020,0,0,AM & PM Sessions,,8,39,24,E/W
Box Hill International Education Limited,Box Hill (HK) International Pre-school,"G/F (Portion), Tower 10, Phase One, Vista Paradiso, No. 2 Hang Ming Street, Ma On Shan, New Territories",27506323,27506964,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6880,0,0,AM & PM Sessions,,0,0,88,ST
Box Hill (Fo Tan) Education Limited,Box Hill (HK) International Preschool - Fo Tan,"No. 327 on Podium of Jubilee Square, Fo Tan, Shatin, N.T.",26882161,26882271,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6680,0,0,AM & PM Sessions,,0,0,111,ST
Box Hill Education Limited,Box Hill (HK) International Pre-school - Mount Verdant,"Shop Nos. 2 & 3 on G/F, and Shop 1/F, Mount Verdant, 48 Chui Ling Road, Tseung Kwan O, New Territories",26230023,26230098,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,9280,6680,0,0,AM & PM Sessions,,0,20,148,WTS/SK
