SCHOOLNET,AREA,WEBPAGE
65,"LAI YIU, LAI KING, CHO YIU, WAH YUEN CHUEN, KAU WA KENG, WONDERLAND VILLAS, LAI CHI KOK BAY GARDEN, CHUNG SHAN TERRACE, HIGHLAND PARK, WA LAI ESTATE, TAI WO HAU, KWAI SHING, KWAI FONG, KWAI HING, HA KWAI CHUNG",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-65.pdf
81,"FANLING, MA MEI HA, TA KU LING",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-81.pdf
71,"TUEN MUN EAST, FU TEI, TSENG TAU TSUEN, SAN HUI, YAU OI ESTATE, ON TING ESTATE, TUEN MUN TOWN PLAZA, SAM SHING ESTATE, SO KWUN WAT, TAI LAM CHUNG, PRIME VIEW GARDEN, GOLD COAST, FU TAI ESTATE",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-71.pdf
95,"SAI KUNG, LEUNG SHUEN WAN, TSEUNG KWAN O, TSENG LAN SHUE, CLEAR WATER BAY",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-95.pdf
66,TSING YI,http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-66.pdf
89,"MA ON SHAN, SHAP SZE HEUNG",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-89.pdf
96,"LAMMA ISLAND, PO TOI ISLAND",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-96.pdf
16,"SHAU KEI WAN, SAI WAN HO, SHEK O, TAI LONG WAN, HENG FA CHUEN, CHAI WAN, SIU SAI WAN",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-16.pdf
84,"TAI PO, TAI MEI TUK, KAU LUNG HANG, LAM TSUEN, CHEUNG SHU TAN",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-84.pdf
12,"WAN CHAI, CAUSEWAY BAY, SOO KUN PO, HAPPY VALLEY, TAI HANG, JARDINE’S LOOKOUT",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-12.pdf
64,"WO YI HOP, SHEUNG KWAI CHUNG, CHUNG KWAI CHUNG, SHEK YAM, SHEK LEI, ON YAM, LEI MUK SHUE",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-64.pdf
14,"NORTH POINT, QUARRY BAY, LEI KING WAN",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-14.pdf
88,TAI WAI,http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-88.pdf
48,"SAU MAU PING, UPPER NGAU TAU KOK ESTATE, LOK WAH ESTATE, YUE MAN SQUARE, WO LOK ESTATE, TSUI PING ESTATE, LAM TIN, LAGUNA CITY, CHA KWO LING, YAU TONG, LEI YUE MUN, SCENEWAY GARDEN, MA YAU TONG, ON TAT ESTATE",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-48.pdf
45,"FU SHAN ESTATE, RHYTHM GARDEN, CHOI HUNG ESTATE, CHOI WAN ESTATE, CHOI FAI ESTATE, CHOI FUNG COURT, KING SHAN COURT, DIAMOND HILL, LUNG POON COURT, FUNG TAK ESTATE, FUNG WONG SAN TSUEN, TSZ WAN SHAN, REGENT ON THE HILL, BEL AIR HEIGHTS, KINGSFORD TERRACE, SCENIC VIEW",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-45.pdf
11,"CENTRAL, THE PEAK, SHEUNG WAN, SAI YING PUN, SHEK TONG TSUI, KENNEDY TOWN",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-11.pdf
98,"LANTAU ISLAND (EXCLUDING NORTH-EAST LANTAU), TUNG CHUNG",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-98.pdf
97,"CHEUNG CHAU, SOKO ISLANDS",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-97.pdf
35,"HUNG HOM, TAI WAN SHAN, WHAMPOA ESTATE, WHAMPOA GARDEN, KA WAI CHUEN, LAGUNA VERDE, ROYAL PENINSULA, HARBOURFRONT LANDMARK, THE METROPOLIS RESIDENCE",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-35.pdf
72,"TIN SHUI WAI, PING SHAN, HA TSUEN, MONG TSENG, LAU FAU SHAN, HUNG SHUI KIU, NIM WAN, LONG BIN INTERIM HOUSING",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-72.pdf
83,SHA TAU KOK,http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-83.pdf
32,"MONG KOK, TAI KOK TSUI",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-32.pdf
41,"KOWLOON TONG, BEACON HILL ROAD, BROADCAST DRIVE, KOWLOON CITY, MEI TUNG ESTATE",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-41.pdf
31,"TSIM SHA TSUI, JORDAN ROAD, YAU MA TEI, KING’S PARK",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-31.pdf
99,"PENG CHAU, TAI PAK WAN, NIM SHUE WAN, DISCOVERY BAY",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-99.pdf
40,"LAI CHI KOK, CHEUNG SHA WAN, SHAM SHUI PO, SHEK KIP MEI, YAU YAT CHUEN",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-40.pdf
34,"TO KWA WAN, LOK MAN SUN CHUEN, MA TAU KOK, HILLVILLE TERRACE, HORAE PLACE, JUBILANT PLACE, SKY TOWER, OI MAN ESTATE, HO MAN TIN ESTATE, CHUN MAN COURT, DRAGON VIEW, CASCADES, KWUN HEI COURT, HO MAN TIN, MA TAU WAI ESTATE, CHUN SEEN MEI CHUEN, KADOORIE HILL, WATERLOO ROAD HILL, MAJESTIC PARK, PARC REGAL, GRAND WATERFRONT, KAI CHING ESTATE, TAK LONG ESTATE",http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-34.pdf
80,SHEUNG SHUI,http://www.edb.gov.hk/attachment/en/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-80.pdf
