SCHOOLNET,AREA,WEBPAGE
65,丽瑶、荔景、祖尧、华员邨、九华径、华景山庄、荔湾花园、钟山台、浩景臺、华荔邨、大窝口、葵盛、葵芳、葵兴、下葵涌,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-65.pdf
81,粉岭、马尾下、打鼓岭,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-81.pdf
71,屯门东、虎地、井头村、新墟、友爱邨、安定邨、屯门市广场、三圣邨、扫管笏、大榄涌、景峰花园、黄金海岸、富泰邨,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-71.pdf
95,西贡、粮船湾、将军澳、井栏树、清水湾,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-95.pdf
66,青衣,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-66.pdf
89,马鞍山、十四乡   ,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-89.pdf
96,南丫岛、蒲台岛,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-96.pdf
16,筲箕湾、西湾河、石澳、大浪湾、杏花邨、柴湾、小西湾,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-16.pdf
84,大埔、大美督、九龙坑、林村、樟树滩,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-84.pdf
12,湾仔、铜锣湾、扫桿埔、跑马地、大坑、渣甸山,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-12.pdf
64,和宜合、上葵涌、中葵涌、石荫、石篱、安荫、梨木树,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-64.pdf
14,北角、鲗鱼涌、鲤景湾,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-14.pdf
88,大围 ,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-88.pdf
48,秀茂坪、牛头角上邨、乐华邨、裕民坊、和乐邨、翠屏邨、蓝田、丽港城、茶果岭、油塘、鲤鱼门、汇景花园、马游塘、安达邨,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-48.pdf
45,富山邨、采颐花园、彩虹邨、彩云邨、彩辉邨、彩峰苑、琼山苑、钻石山、龙蟠苑、凤德邨、凤凰新村、慈云山、帝峯豪苑、悦庭轩、嘉峰臺、晓晖花园,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-45.pdf
11,中环、山顶、上环、西营盘、石塘咀、坚尼地城,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-11.pdf
98,大屿山（大屿山东北除外）、东涌,http://www.edb.gov.hk/attachment/sc/edu-system/primary-secondary/spa-systems/primary-1-admission/school-lists/2024dpnet-98.pdf
