答复,男性人数 (百分率),女性人数 (百分率),合计人数 (百分率)
做运动,502 (25.6%),278 (12.8%),780 (18.9%)
看电视／电影,202 (10.3%),290 (13.3%),492 (11.9%)
休息／睡眠,145 (7.4%),166 (7.6%),311 (7.5%)
与他人倾谈,82 (4.2%),228 (10.5%),310 (7.5%)
听音乐,130 (6.6%),175 (8.0%),305 (7.4%)
玩电子／电脑 ／线上游戏,149 (7.6%),58 (2.7%),207 (5.0%)
吃东西,27 (1.4%),120 (5.5%),148 (3.6%)
阅读,51 (2.6%),72 (3.3%),124 (3.0%)
购物,12 (0.6%),95 (4.4%),107 (2.6%)
饮酒,44 (2.2%),1 (<0.05%),45 (1.1%)
吸烟,18 (0.9%),0 (0.0%),18 (0.4%)
參加减压学习班,2 (0.1%),1 (<0.05%),3 (0.1%)
其他方法,288 (14.7%),345 (15.8%),632 (15.3%)
没有方法,132 (6.8%),149 (6.8%),281 (6.8%)
没有压力,163 (8.3%),185 (8.5%),348 (8.4%)
资料不详/遗失/偏离值,11 (0.6%),12 (0.6%),23 (0.6%)
总数,1 960 (100.0%),2 174 (100.0%),4 134 (100.0%)
