Week number,Date,Age,No. of specimen tested,Parainfluenza 1,%,Parainfluenza 2,%,Parainfluenza 3,%,Parainfluenza 4,%
1,27/12/2020 - 02/01,<18,368,0,0,0,0,2,0.54,0,0
2,03/01 - 09/01,<18,313,0,0,1,0.32,1,0.32,1,0.32
3,10/01 - 16/01,<18,347,0,0,0,0,1,0.29,0,0
4,17/01 - 23/01,<18,407,0,0,0,0,2,0.49,2,0.49
5,24/01 - 30/01,<18,424,1,0.24,0,0,1,0.24,2,0.47
6,31/01 - 06/02,<18,349,1,0.29,0,0,1,0.29,0,0
7,07/02 - 13/02,<18,380,0,0,0,0,1,0.26,0,0
8,14/02 - 20/02,<18,430,1,0.23,0,0,2,0.47,1,0.23
9,21/02 - 27/02,<18,423,0,0,0,0,0,0,0,0
10,28/02 - 06/03,<18,403,0,0,1,0.25,0,0,1,0.25
11,07/03 - 13/03,<18,429,0,0,0,0,1,0.23,2,0.47
12,14/03 - 20/03,<18,435,0,0,1,0.23,0,0,1,0.23
13,21/03 - 27/03,<18,417,1,0.24,1,0.24,1,0.24,1,0.24
14,28/03 - 03/04,<18,505,2,0.4,1,0.2,0,0,0,0
15,04/04 - 10/04,<18,459,0,0,0,0,0,0,2,0.44
16,11/04 - 17/04,<18,489,1,0.2,1,0.2,0,0,1,0.2
17,18/04 - 24/04,<18,401,1,0.25,1,0.25,1,0.25,2,0.5
18,25/04 - 01/05,<18,300,1,0.33,0,0,0,0,2,0.67
19,02/05 - 08/05,<18,279,1,0.36,0,0,1,0.36,1,0.36
20,09/05 - 15/05,<18,257,0,0,0,0,1,0.39,0,0
21,16/05 - 22/05,<18,174,0,0,0,0,0,0,0,0
22,23/05 - 29/05,<18,154,0,0,0,0,1,0.65,0,0
23,30/05 - 05/06,<18,152,0,0,0,0,1,0.66,0,0
24,06/06 - 12/06,<18,135,0,0,0,0,0,0,0,0
25,13/06 - 19/06,<18,131,0,0,0,0,0,0,1,0.76
26,20/06 - 26/06,<18,142,0,0,0,0,0,0,0,0
27,27/06 - 03/07,<18,146,0,0,0,0,0,0,0,0
28,04/07 - 10/07,<18,153,0,0,0,0,0,0,0,0
29,11/07 - 17/07,<18,136,0,0,0,0,0,0,0,0
30,18/07 - 24/07,<18,155,0,0,0,0,0,0,0,0
31,25/07 - 31/07,<18,160,0,0,0,0,0,0,0,0
32,01/08 - 07/08,<18,135,0,0,0,0,0,0,0,0
33,08/08 - 14/08,<18,154,0,0,0,0,0,0,0,0
34,15/08 - 21/08,<18,144,0,0,0,0,0,0,0,0
35,22/08 - 28/08,<18,155,0,0,0,0,0,0,0,0
36,29/08 - 04/09,<18,150,0,0,0,0,0,0,0,0
37,05/09 - 11/09,<18,181,0,0,0,0,0,0,1,0.55
38,12/09 - 18/09,<18,203,0,0,0,0,0,0,0,0
39,19/09 - 25/09,<18,214,0,0,0,0,0,0,0,0
40,26/09 - 02/10,<18,250,0,0,0,0,0,0,0,0
41,03/10 - 09/10,<18,246,0,0,1,0.41,0,0,0,0
42,10/10 - 16/10,<18,304,0,0,0,0,1,0.33,0,0
43,17/10 - 23/10,<18,308,0,0,0,0,4,1.3,0,0
44,24/10 - 30/10,<18,328,0,0,0,0,12,3.66,1,0.3
45,31/10 - 06/11,<18,344,0,0,0,0,16,4.65,0,0
46,07/11 - 13/11,<18,298,0,0,0,0,19,6.38,0,0
47,14/11 - 20/11,<18,342,0,0,0,0,40,11.7,0,0
48,21/11 - 27/11,<18,360,0,0,0,0,56,15.56,0,0
49,28/11 - 04/12,<18,395,1,0.25,0,0,84,21.27,0,0
50,05/12 - 11/12,<18,418,0,0,0,0,68,16.27,0,0
51,12/12 - 18/12,<18,413,0,0,0,0,70,16.95,0,0
52,19/12 - 25/12,<18,534,0,0,0,0,97,18.16,0,0
,,,,,,,,,,,
Remarks:,,,,,,,,,,,
"1. For specimens received from 10 February 2014 onwards, molecular testing has replaced viral culture. Please interpret the data and trends in light of the enhanced sensitivity of molecular testing, and hence positive detection rates.",,,,,,,,,,,
2. Figures are subject to minor adjustments.,,,,,,,,,,,
3. Multiple specimens may have been received for testing from the same patient.,,,,,,,,,,,
