疾病,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,總數
急性脊髓灰質炎 (小兒麻痺),0,0,0,0,0,0,0,0,0,0,0,0,0
阿米巴痢疾,0,0,1,1,0,0,0,1,1,1,2,0,7
炭疽,0,0,0,0,0,0,0,0,0,0,0,0,0
桿菌痢疾,3,3,1,4,3,2,6,8,7,6,6,5,54
肉毒中毒,0,0,0,0,0,0,0,0,0,0,0,0,0
水痘,1754,996,988,889,1097,1650,1449,780,565,858,1337,1270,13633
基孔肯雅熱,0,0,0,0,0,0,0,0,0,0,0,0,0
霍亂,0,0,0,0,0,0,1,0,0,0,0,1,2
社區型耐甲氧西林金黃葡萄球菌感染,51,37,57,39,51,59,48,55,62,50,73,42,624
克雅二氏症,0,0,1,1,1,0,0,1,1,0,0,0,5
登革熱,3,1,0,2,3,0,0,8,3,2,4,4,30
白喉,0,0,0,0,0,0,0,0,0,0,0,0,0
腸病毒71型感染,4,1,0,2,17,15,11,9,1,1,7,0,68
食物中毒 - 宗數,34,31,21,26,30,37,37,32,22,14,32,24,340
食物中毒 - 人數,124,149,60,78,82,136,172,95,98,41,128,121,1284
乙型流感嗜血桿菌感染(侵入性),0,1,0,0,0,0,0,0,0,0,0,0,1
漢坦病毒感染,0,0,0,0,0,0,0,0,0,1,0,0,1
甲型流行性感冒 - 甲型流行性感冒(H2),0,0,0,0,0,0,0,0,0,0,0,0,0
甲型流行性感冒 - 甲型流行性感冒(H5),0,0,0,0,0,0,0,0,0,0,0,0,0
甲型流行性感冒 - 甲型流行性感冒(H7),0,0,0,0,0,0,0,0,0,0,0,0,0
甲型流行性感冒 - 甲型流行性感冒(H9),0,0,0,0,0,0,0,0,0,0,0,0,0
日本腦炎,0,0,0,0,0,0,0,1,0,0,0,0,1
退伍軍人病,1,1,0,1,2,0,2,2,2,1,2,3,17
麻風,0,0,0,1,2,0,1,0,2,0,0,0,6
鈎端螺旋體病,0,1,0,0,0,0,1,0,0,0,1,0,3
李斯特菌病,0,0,0,2,0,3,2,0,1,1,1,3,13
瘧疾,1,2,2,1,6,6,4,5,7,3,2,2,41
麻疹,0,0,2,1,2,1,2,0,2,2,0,0,12
腦膜炎雙球菌感染(侵入性),1,1,1,1,1,0,0,0,1,0,0,2,8
流行性腮腺炎,6,10,18,15,6,16,7,18,17,20,11,9,153
副傷寒,2,3,2,1,2,3,0,1,0,2,3,2,21
鼠疫,0,0,0,0,0,0,0,0,0,0,0,0,0
鸚鵡熱,0,0,0,0,0,0,0,0,1,1,0,0,2
寇熱,0,0,1,2,0,1,0,0,0,0,0,0,4
狂犬病,0,0,0,0,0,0,0,0,0,0,0,0,0
回歸熱,0,0,0,0,0,0,0,0,0,0,0,0,0
風疹(德國麻疹)及先天性風疹綜合症 - 風疹 (德國麻疹),3,2,10,9,11,6,4,11,3,17,6,2,84
風疹(德國麻疹)及先天性風疹綜合症 - 先天性風疹綜合症,0,0,0,0,0,0,0,0,0,0,0,0,0
猩紅熱,34,24,43,73,100,407,296,93,86,70,141,159,1526
嚴重急性呼吸系統綜合症,0,0,0,0,0,0,0,0,0,0,0,0,0
產志賀毒素大腸桿菌感染,1,0,0,0,0,0,0,1,0,0,1,0,3
天花,0,0,0,0,0,0,0,0,0,0,0,0,0
豬鏈球菌感染,1,0,1,1,0,1,1,1,1,1,0,0,8
破傷風,0,0,0,0,0,0,0,0,0,0,1,0,1
結核病,364,338,467,360,426,415,394,450,393,368,434,385,4794
傷寒,1,6,2,1,5,0,2,3,3,2,4,5,34
斑疹傷寒及其他立克次體病 - 叢林斑疹傷寒,0,0,0,0,0,0,1,1,0,2,1,2,7
斑疹傷寒及其他立克次體病 - 城市斑疹傷寒,0,0,0,0,0,0,0,0,0,2,0,0,2
斑疹傷寒及其他立克次體病 - 斑疹熱,1,0,1,0,2,2,2,3,3,2,1,3,20
斑疹傷寒及其他立克次體病 - 未能分類,0,0,0,0,2,0,0,1,0,0,6,1,10
病毒性出血熱,0,0,0,0,0,0,0,0,0,0,0,0,0
病毒性肝炎 - 甲型,5,9,5,4,4,2,2,4,5,3,3,0,46
病毒性肝炎 - 乙型,16,4,2,5,6,3,7,10,2,4,5,6,70
病毒性肝炎 - 丙型,0,0,1,2,0,0,2,0,0,0,0,0,5
病毒性肝炎 - 戊型,12,11,23,15,15,5,2,10,5,6,6,9,119
西尼羅河病毒感染,0,0,0,0,0,0,0,0,0,0,0,0,0
百日咳,0,4,1,0,6,3,2,3,1,0,0,3,23
黃熱病,0,0,0,0,0,0,0,0,0,0,0,0,0
總數 (每月及全年總數均不包括食物中毒個案中受影響的人數),2298,1486,1651,1459,1800,2637,2286,1512,1197,1440,2090,1942,21798
