Year,_20_No_,_,20_24_No_,_1,25_29_No_,_2,30_34_No_,_3,_34_No_,_4
2001,659,7.3,3516,9.5,8330,10.1,6936,8.3,3915,9.0
2002,484,5.0,2829,9.7,9120,9.7,6351,8.5,3414,8.1
2003,548,4.9,2880,9.9,7614,9.4,6789,8.3,3602,8.2
2004,510,6.1,2854,8.4,7161,8.9,7732,8.6,3856,8.1
2005,445,3.4,2753,8.9,6063,9.5,7869,8.6,4114,7.4
2006,516,4.8,2590,8.0,6271,8.7,8637,8.6,4514,8.4
2007,520,4.0,2929,8.4,7301,9.3,10232,8.7,5551,7.5
2008,533,3.2,2968,8.0,7652,8.6,10354,8.8,5838,8.0
2009,434,3.2,2830,8.7,7444,9.3,10156,7.9,6071,7.7
2010,446,2.2,2903,8.0,7817,8.5,10211,7.9,6385,7.6
2011,447,2.5,2898,6.5,9010,8.1,12273,7.3,7552,7.5
2012,463,2.6,2467,4.4,8161,7.5,12664,7.2,7437,7.1
2013,423,5.0,2237,4.1,7526,6.8,12466,6.7,7168,7.3
2014,366,0.8,2252,2.8,7901,6.3,13488,6.4,7692,6.9
2015,409,1.0,2439,2.6,8589,4.7,14434,6.2,8656,6.8
2016,328,2.1,2123,2.0,7580,4.1,13018,5.7,7923,6.6
2017,274,0.73,1897,2.21,6624,3.53,11476,5.49,7611,6.32
2018,233,1.29,1698,1.24,6376,2.92,11647,4.56,8026,6.33
2019,193,0.52,1474,1.56,5948,2.44,11333,3.72,7743,6.22
2020,162,1.85,1031,1.07,4394,2.03,9291,3.54,6301,4.65
2021,116,0.86,811,0.62,3960,1.34,8586,2.45,6228,4.17
