《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次,百分比
N00-N99,泌尿生殖系统疾病,331989,15.30%
C00-D48,肿瘤,322174,14.90%
K00-K93,消化系统疾病,229404,10.60%
I00-I99,循环系统疾病,172313,7.90%
Z00-Z99,影响健康状态和与保健机构接触的因素,125197,5.80%
S00-T98,损伤、中毒和外因的某些其他后果,117180,5.40%
J00-J99,呼吸系统疾病,108647,5.00%
M00-M99,肌肉骨骼系统和结缔组织疾病,95010,4.40%
O00-O99,妊娠、分娩和产褥期,77661,3.60%
E00-E90,内分泌、营养和代谢疾病,56100,2.60%
A00-B99,某些传染病和寄生虫病,55366,2.60%
H00-H59,眼和附器疾病,47666,2.20%
L00-L99,皮肤和皮下组织疾病,43812,2.00%
F00-F99,精神和行为障碍,39541,1.80%
G00-G99,神经系统疾病,34162,1.60%
D50-D89,血液及造血器官疾病和某些涉及免疫机制的疾患,32811,1.50%
P00-P96,起源于围生期的某些情况,20753,1.00%
H60-H95,耳和乳突疾病,9704,0.40%
Q00-Q99,先天性畸形、变形和染色体异常,9445,0.40%
R00-R99,症状、体征和临床与实验室异常所见，不可归类在他处者,238603,11.00%
,诊断不详 (指没有编码的主要诊断),1720,0.10%
,总计,2169258,100.00%
,,,
注 :,,,
数字包括日间住院病人在内的出院人次及死亡人数。不包括在护养院接受治疗的住院病人。,,,
