《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,0,0,1,1,0,0,0,0
A01,伤寒和副伤寒,25,1,4,30,0,0,0,0
A03,志贺菌病,0,0,3,3,0,0,0,0
A06,阿米巴病,12,0,4,16,0,0,0,0
"A02, A04-A05, A07-A08",其他肠道传染病,2302,0,2009,4311,13,3,0,16
A09,其他传染性或未特指病因的胃肠炎和结肠炎,7629,0,2161,9790,13,24,0,37
A15-A16,呼吸道结核病,2002,1,102,2105,118,35,0,153
A17-A19,其他结核病,347,0,5,352,16,13,0,29
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,0,0,0,0,0,0,0,0
A30,麻风,3,0,0,3,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,1,0,0,1,0,0,0,0
A36,白喉,5,0,0,5,0,0,0,0
A37,百日咳,1,0,1,2,0,0,0,0
A39,脑膜炎球菌感染,0,0,0,0,0,0,0,0
A40-A41,败血病,10934,0,391,11325,592,621,0,1213
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,3004,0,145,3149,49,41,0,90
A50,先天性梅毒,4,0,0,4,0,0,0,0
A51,早期梅毒,8,0,2,10,0,0,0,0
A52-A53,其他梅毒,462,0,6,468,0,0,0,0
A54,淋球菌感染,7,0,0,7,0,0,0,0
A55-A56,性传播的衣原体疾病,12,0,1,13,0,0,0,0
A57-A64,其他主要为性传播模式的感染,85,0,62,147,0,0,0,0
A68,回归热,5,0,0,5,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
A75,斑疹伤寒,43,0,1,44,0,0,0,0
A80,急性脊髓灰质炎,0,0,0,0,0,0,0,0
A82,狂犬病,0,0,0,0,0,0,0,0
A83-A86,病毒性脑炎,26,0,4,30,3,0,0,3
A95,黄热病,0,0,0,0,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,28,0,2,30,0,0,0,0
B00,疱疹病毒感染,177,2,117,296,1,2,0,3
B01-B02,水痘和带状疱疹,1352,7,133,1492,3,5,0,8
B05,麻疹,1,0,0,1,0,0,0,0
B06,风疹,0,0,0,0,0,0,0,0
B15,急性甲型肝炎,8,0,5,13,0,0,0,0
B16,急性乙型肝炎,185,0,13,198,1,1,0,2
B17,其他急性病毒性肝炎,46,0,17,63,1,2,0,3
B18,慢性病毒性肝炎,438,0,16,454,31,12,0,43
B19,未特指的病毒性肝炎,8,0,6,14,6,2,0,8
B20-B24,人类免疫缺陷病毒病,445,0,1,446,14,4,0,18
B26,流行性腮腺炎,3,0,1,4,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,5474,4,1595,7073,11,9,0,20
B35-B49,霉菌病,468,0,61,529,20,12,0,32
B50-B54,疟疾,194,0,0,194,2,0,0,2
B55,利什曼病,0,0,0,0,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,4,0,1,5,0,0,0,0
B66,其他吸虫感染,1,0,1,2,0,0,0,0
B67,棘球蚴病,0,0,0,0,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,1,0,1,2,0,0,0,0
B76,钩虫病,0,0,0,0,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,13,0,1,14,0,0,0,0
B90,结核病后遗症,36,0,0,36,1,0,0,1
B91,脊髓灰质炎后遗症,1,0,0,1,0,0,0,0
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,325,1,25,351,9,3,0,12
C11,鼻咽恶性肿瘤,6613,0,509,7122,192,59,0,251
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,2649,0,364,3013,169,72,0,241
C15,食管恶性肿瘤,1840,0,223,2063,229,57,0,286
C16,胃恶性肿瘤,5204,0,744,5948,380,254,0,634
C18,结肠恶性肿瘤,18371,0,1939,20310,861,709,0,1570
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,11196,0,902,12098,430,270,0,700
C22,肝和肝内胆管恶性肿瘤,8687,0,1225,9912,1005,407,0,1412
C25,胰恶性肿瘤,5592,0,1222,6814,472,448,0,920
"C17, C23-C24, C26",消化器官其他恶性肿瘤,2255,0,222,2477,162,120,0,282
C32,喉恶性肿瘤,606,0,73,679,56,3,0,59
C33-C34,气管、支气管和肺恶性肿瘤,33188,0,3014,36202,2405,1377,0,3782
"C30-C31, C37-C39",呼吸和胸腔内器官其他恶性肿瘤,929,0,97,1026,27,23,0,50
C40-C41,骨和软骨恶性肿瘤,923,0,46,969,12,14,0,26
C43,皮肤恶性黑色素瘤,257,0,65,322,28,16,0,44
C44,皮肤其他恶性肿瘤,1167,0,175,1342,17,12,0,29
