SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,PRODUCT_TYPE,MEASURE_CODE,MEASURE_DESCRIPTION,MEASURE_COMPONENT,MEASURE_SUMMARY_UNITS,AGE_STRATIFICATION,MEASURE_RESULT,LOWER_95_CI,UPPER_95_CI,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT,PERFORMANCE_CATEGORY
Hospital,Mid-Valley Hospital,Omak,98841,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.42,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Morton General Hospital,Morton,98356,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.46,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Overlake Medical Center,Bellevue,98004,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,4.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Grays Harbor Community Hospital,Aberdeen,98520,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.77,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Legacy Salmon Creek Medical Center,Vancouver,98686,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.93,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Lincoln Hospital,Davenport,99122,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Willapa Harbor Hospital,South Bend,98586,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,1.65,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Yakima Regional Medical & Cardiac Center,Yakima,98902,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Yakima Regional Medical & Cardiac Center,Yakima,98902,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.88,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Yakima Regional Medical & Cardiac Center,Yakima,98902,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,1.06,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Virginia Mason - Yakima Valley Memorial Hospital,Yakima,98902,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Auburn Medical Center,Auburn,98001,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Auburn Medical Center,Auburn,98001,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.86,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Auburn Medical Center,Auburn,98001,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,2.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Auburn Medical Center,Auburn,98001,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.47,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Tacoma General Hospital,Tacoma,98405,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,2.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Newport Hospital & Health Services,Newport,99156,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,18.35,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,North Valley Hospital,Tonasket,98855,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,37.5,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Ocean Beach Hospital,Ilwaco,98624,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Olympic Medical Center,Port Angeles,98362,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.88,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Overlake Medical Center,Bellevue,98004,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Overlake Medical Center,Bellevue,98004,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.89,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
