X月末绝对值,频次,地区编码,计量单位,指标名称,年,地区名称,时期
689,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,江苏,12
520,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,江苏,3
787,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,广东,6
292,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,山东,3
3520,季度,0,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,全国,6
401,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,江苏,12
834,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,广东,12
409,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,上海,9
341,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,上海,6
460,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,北京,12
865,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,广东,9
321,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,上海,3
357,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,上海,9
292,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,山东,1
433,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,江苏,3
425,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,上海,6
197,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,山东,3
759,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,广东,9
437,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,北京,6
387,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,江苏,3
316,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,北京,9
408,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,江苏,3
372,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,上海,12
325,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,北京,6
206,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,山东,6
314,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,上海,6
312,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,上海,3
671,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,江苏,6
440,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,上海,12
427,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,江苏,12
350,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,北京,3
624,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,广东,9
849,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,广东,6
266,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,山东,12
202,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,山东,3
604,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2018,广东,12
657,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,广东,6
3595,季度,0,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,全国,3
391,季度,310000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2021,上海,6
306,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,山东,9
814,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,广东,9
606,季度,440000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2019,广东,3
475,季度,110000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2023,北京,12
618,季度,320000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2022,江苏,9
218,季度,370000,家,全国、广东、江苏、北京、上海、山东境内上市公司家数,2020,山东,6
