许可经营业务,发证机关,状态,营业许可证号,英文名称,经营场所,许可文号,法人,出资人,行政区划代码,旅行社名称,统一社会信用代码,办理时间
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31361,"wenzhou efeng travel service co.,ltd.",浙江省温州市苍南县桥墩镇桥墩门社区新村223号,浙旅许可(2021)44号,贾秀珍,"贾秀珍,谢华评",330000,温州鹅峰旅游有限公司,91330327MA2L1UTG20,2021-03-29
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ32113,"shaoxing shangyu baby elephant travel agency co., ltd",浙江省绍兴市上虞区曹娥街道中华孝德园孝德广场东南侧,浙旅许可(2023)389号,陈杰洲,绍兴市上虞舜翔文旅发展有限公司,330000,绍兴市上虞小象旅行社有限公司,91330604MAD13GBW3J,2023-10-18
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02129,"anji guihao international travel service co., ltd.",安吉县递铺镇云鸿东路473号,浙旅许可（2012）184号,吴姣娜,"吴姣娜,周智能",330000,安吉贵豪国际旅行社有限公司,91330523059577058X,2012-12-03
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31109,"xiangshan yiting wancheng travel co.,ltd",浙江省宁波市象山县新桥镇高湾盐场一号,浙旅许可(2019)219号,朱其全,朱其全,330000,象山逸庭万乘旅游有限公司,91330225MA2GW0JA2X,2019-12-13
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01894,zhoushan tianya international travel service co.ltd,浙江省舟山市普陀区东港街道海景时代广场3幢1006室,浙旅许可（2011）204号,方涨云,方涨云,330000,舟山天涯国际旅游有限公司,9133090258501575XA,2015-01-28
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01946,"jinhua zhengda travel service co., ltd",金华市婺城区新狮街道丹光东路390号一、二楼,浙旅许可(2012)1号,徐轶军,"徐轶军,陈燕芳",330000,金华正大旅游服务有限公司,913307025905519364,2016-12-22
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01934,"Chunan Qiandao Lake Count Holiday Travel Agenoy Co.,Ltd.",千岛湖镇新安大街5-3号6120、6121室,浙旅许可(2011)244号,王守端,淳安千岛湖游艇俱乐部置业有限公司/苑海,330000,淳安千岛湖伯爵假日旅行社有限公司,91330127586531334P,2016-03-15
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00851,暂无,上城区平海路53号杭州友好饭店2幢一楼4-2室,浙旅许可(2009)851号,陈国泉,陈国泉,330000,杭州中友旅行社有限公司,91330102665243349G,2012-07-19
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31341,"taishun yangcheng international travel service co.,ltd.",浙江省温州市泰顺县罗阳镇横街22号201室,浙旅许可(2021)24号,刘娟芳,"刘娟芳,郑敏燕,徐倩文,陈燕洁",330000,泰顺县阳程国际旅行社有限公司,91330329MA2JCFR57L,2021-03-03
国内旅游业务,浙江省旅游局,有效,L-ZJ30867,"Yongkang Xintu Travel Service Co., Ltd.",浙江省金华市永康市江南街道溪心南区7幢5号,浙旅许可(2018)248号,潘时恩,潘时恩,330000,永康市鑫途旅行社有限公司,91330784MA2DFXJ803,2018-11-20
