机构注册资金,机构地址,机构名称,机构批准机关,评估机构代码,机构批准文号,机构法人代表_首席合伙人_,证照类型名称,批准日期
58.0,绍兴市西咸欢新村29号,绍兴宏泰资产评估有限公司,浙江省财政厅,33080018,浙财会字[2008]72号,张明敏,资产评估执业证书,2008-07-07
30.0,嘉兴市中山西路世纪广场北楼6W座,嘉兴联新资产评估有限公司,浙江省国有资产管理局,33020043,浙国资评（2000）40号,沈洪生,资产评估执业证书,2000-01-19
10.0,台州市椒江区中山东路346号,台州合一资产评估事务所,浙江省财政厅,33070006,浙财会字[2007]36号,陈洁,资产评估执业证书,2007-06-15
50.0,杭州市江干区太平门直街260号三新银座1004室,银信资产评估有限公司浙江分公司,浙江省财政厅,31020026-331301,浙财会[2013]12号,周强,资产评估执业证书,2013-03-29
18.0,瑞安市万松东路2号交通大厦5楼,温州安阳资产评估事务所,浙江省财政厅,33020103,浙财会字（2001）99号,吴云龙,资产评估执业证书,2001-12-31
30.0,绍兴中兴南路193号,绍兴兴业资产评估有限公司,浙江省国有资产管理局,33020055,浙国资评（2000）100号,陈建明,资产评估执业证书,2000-01-25
30.0,江干区钱塘航空大厦2幢1305室,杭州墨祺资产评估有限公司,浙江省财政厅,33150003,浙财企【2015】152号,黄显锋,资产评估执业证书,2015-10-23
50.0,金华市亚峰路1号瑞城名座18楼C室,金华金辰资产评估有限公司,浙江省国有资产管理局,33020063,浙国资评（1999）76号,陆军卫,资产评估执业证书,1999-12-14
30.0,萧山城厢镇江寺路107号,杭州萧然资产评估事务所有限公司,浙江省国有资产管理局,33020021,浙国资评（1999）36号,张剑敏,资产评估执业证书,1999-11-11
50.0,义乌市稠江江滨西路46号四楼,义乌市明瑞资产评估有限公司,浙江省财政厅,33090001,浙财会字[2009]5号,孙祥和,资产评估执业证书,2009-01-06
10.0,长兴县雉城镇人民中路77-81号后1幢202室,湖州金陵资产评估事务所,浙江省财政厅,33070007,浙财会字[2007]46号,李新成,资产评估执业证书,2007-07-31
30.0,嵊州市城关镇西前街158号,嵊州信元资产评估有限公司,浙江省国有资产管理局,33020056,浙国资评（2000）54号,孙岳晓,资产评估执业证书,2000-01-19
100.0,玉环县玉城街道长治路25号702室,台州宏诚资产评估事务所,浙江省财政厅,33080025,浙财会字[2008]81号,胡颖红,资产评估执业证书,2008-07-21
30.0,温州市车站大道天和大厦A幢1302室,温州瓯江资产评估有限公司,浙江省财政厅,33020150,浙财会字[2002]37号,陈艳,资产评估执业证书,2002-07-09
,温州市划龙桥路宏鼎大厦A幢501室,浙江天平资产评估有限公司温州分公司,浙江省财政厅,33070010-331401,浙财企【2014】106号,周坤,资产评估执业证书,2014-06-20
30.0,杭州延安路484号市府综合大楼3楼,浙江新华资产评估有限公司,浙江省国有资产管理局,33020154,浙国资评[2000]116号,王水荣,资产评估执业证书,2000-02-02
