指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
城镇居民人均粮食消费量,116.2,124.8,120.2,110.6,110.0,109.7,111.9,112.6,117.2,121.3,,,,,,,,,
城镇居民人均食用油消费量,9.4,10.1,9.9,9.2,9.4,10.7,11.0,11.1,11.0,10.9,,,,,,,,,
城镇居民人均蔬菜及食用菌消费量,110.9,112.0,109.8,105.8,103.1,106.7,107.5,104.4,104.0,103.8,,,,,,,,,
城镇居民人均肉类消费量,35.2,34.4,27.4,28.7,31.2,29.2,29.0,28.9,28.4,28.5,,,,,,,,,
城镇居民人均禽类消费量,11.9,12.3,13.0,11.4,9.8,9.7,10.2,9.4,9.1,8.1,,,,,,,,,
城镇居民人均水产品消费量,16.2,16.7,16.6,16.7,14.3,14.8,14.8,14.7,14.4,14.0,,,,,,,,,
城镇居民人均蛋类消费量,13.8,13.4,13.5,11.5,10.8,10.9,10.7,10.5,9.8,9.4,,,,,,,,,
城镇居民人均奶类消费量,15.4,18.2,17.3,16.7,16.5,16.5,16.5,17.1,18.1,17.1,,,,,,,,,
城镇居民人均干鲜瓜果类消费量,60.5,67.7,65.9,66.8,62.0,59.9,58.1,55.1,52.9,51.1,,,,,,,,,
城镇居民人均食糖消费量,1.0,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,,,,,,,,,
