指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
连锁餐饮企业总店数,564.0,553.0,504.0,495.0,482.0,463.0,459.0,455.0,465.0,454.0,456.0,428.0,415.0,426.0,453.0,358.0,349.0,300.0,
内资连锁餐饮企业总店数,372.0,360.0,323.0,320.0,308.0,300.0,298.0,302.0,306.0,301.0,310.0,295.0,,,312.0,257.0,253.0,,
国有连锁餐饮企业总店数,4.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,6.0,8.0,7.0,3.0,,,3.0,5.0,4.0,,
集体连锁餐饮企业总店数,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,,,3.0,4.0,1.0,,
股份合作连锁餐饮企业总店数,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,,,6.0,11.0,8.0,,
有限责任公司连锁餐饮企业总店数,107.0,105.0,102.0,107.0,109.0,102.0,98.0,102.0,95.0,89.0,91.0,89.0,,,81.0,59.0,57.0,,
国有独资公司连锁餐饮企业总店数,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,
其他有限责任公司连锁餐饮企业总店数,106.0,105.0,102.0,107.0,108.0,100.0,96.0,100.0,94.0,88.0,90.0,88.0,,,81.0,57.0,56.0,,
股份有限公司连锁餐饮企业总店数,17.0,16.0,12.0,12.0,14.0,15.0,12.0,13.0,12.0,12.0,13.0,11.0,,,12.0,7.0,8.0,,
私营连锁餐饮企业总店数,238.0,228.0,198.0,190.0,176.0,172.0,174.0,174.0,185.0,184.0,191.0,174.0,,,205.0,170.0,174.0,,
私营独资连锁餐饮企业总店数,,,,8.0,7.0,10.0,11.0,12.0,16.0,19.0,20.0,17.0,,,23.0,25.0,24.0,,
私营合伙连锁餐饮企业总店数,,,,1.0,,,,,,,1.0,,,,5.0,4.0,4.0,,
私营有限责任公司连锁餐饮企业总店数,,,,178.0,165.0,157.0,158.0,156.0,163.0,158.0,162.0,149.0,,,171.0,131.0,138.0,,
私营股份有限公司连锁餐饮企业总店数,,,,3.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,,,6.0,10.0,8.0,,
其他连锁餐饮企业总店数,,,,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,,,2.0,1.0,1.0,,
港、澳、台商投资连锁餐饮企业总店数,95.0,98.0,90.0,86.0,86.0,80.0,66.0,59.0,61.0,58.0,59.0,50.0,,,45.0,22.0,26.0,,
港、澳、台商合资经营连锁餐饮企业总店数,13.0,14.0,12.0,15.0,14.0,12.0,14.0,11.0,11.0,10.0,12.0,12.0,,,7.0,7.0,10.0,,
港、澳、台商合作经营连锁餐饮企业总店数,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,,3.0,1.0,5.0,,
港、澳、台商独资经营连锁餐饮企业总店数,77.0,78.0,73.0,67.0,68.0,65.0,49.0,46.0,48.0,45.0,44.0,34.0,,,34.0,14.0,11.0,,
港、澳、台商投资股份有限公司连锁餐饮企业总店数,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,
其他港澳台商投资连锁餐饮企业总店数,,,,1.0,1.0,,,,,,,,,,,,,,
外商投资连锁餐饮企业总店数,97.0,95.0,91.0,89.0,88.0,83.0,95.0,94.0,98.0,95.0,87.0,83.0,,,96.0,79.0,70.0,,
中外合资经营连锁餐饮企业总店数,13.0,13.0,12.0,11.0,11.0,13.0,13.0,13.0,17.0,14.0,11.0,13.0,,,16.0,15.0,14.0,,
中外合作经营连锁餐饮企业总店数,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,,,8.0,11.0,12.0,,
外资连锁餐饮企业总店数,78.0,76.0,73.0,73.0,71.0,66.0,78.0,77.0,77.0,79.0,74.0,67.0,,,69.0,52.0,43.0,,
外商投资股份有限公司连锁餐饮企业总店数,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,3.0,1.0,1.0,,
其他外商投资连锁餐饮企业总店数,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,
正餐服务业总店数,272.0,271.0,251.0,254.0,250.0,249.0,251.0,253.0,267.0,257.0,271.0,254.0,,,,,,,
快餐服务业总店数,202.0,198.0,192.0,187.0,184.0,176.0,169.0,166.0,162.0,165.0,155.0,144.0,,,,,,,
饮料及冷饮服务业总店数,69.0,66.0,46.0,38.0,30.0,24.0,21.0,20.0,19.0,17.0,15.0,11.0,,,,,,,
其他餐饮企业服务业总店数,19.0,17.0,14.0,16.0,18.0,14.0,18.0,16.0,17.0,15.0,15.0,19.0,,,,,,,
