指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
农、林、牧、渔业私人控股固定资产投资(不含农户)_比上年增长,-5.0,10.6,11.2,0.7,11.9,,,,,,,,,,,,,,
农业私人控股固定资产投资(不含农户)_比上年增长,19.1,-2.1,-21.6,2.4,14.3,,,,,,,,,,,,,,
林业私人控股固定资产投资(不含农户)_比上年增长,10.1,-9.5,-30.3,-10.7,-13.3,,,,,,,,,,,,,,
畜牧业私人控股固定资产投资(不含农户)_比上年增长,-27.9,23.3,93.0,-4.3,9.4,,,,,,,,,,,,,,
渔业私人控股固定资产投资(不含农户)_比上年增长,26.3,4.4,-21.4,14.2,26.3,,,,,,,,,,,,,,
农、林、牧、渔专业及辅助性活动私人控股固定资产投资(不含农户)_比上年增长,24.6,6.6,3.6,5.4,16.9,,,,,,,,,,,,,,
采矿业私人控股固定资产投资(不含农户)_比上年增长,18.9,27.4,-9.1,19.9,11.2,,,,,,,,,,,,,,
煤炭开采和洗选业私人控股固定资产投资(不含农户)_比上年增长,35.0,22.8,-18.3,33.4,11.2,,,,,,,,,,,,,,
石油和天然气开采业私人控股固定资产投资(不含农户)_比上年增长,6.3,48.8,65.5,-54.8,35.8,,,,,,,,,,,,,,
黑色金属矿采选业私人控股固定资产投资(不含农户)_比上年增长,23.6,35.7,-11.0,27.1,4.8,,,,,,,,,,,,,,
有色金属矿采选业私人控股固定资产投资(不含农户)_比上年增长,6.8,22.5,-0.6,-13.9,-5.9,,,,,,,,,,,,,,
非金属矿采选业私人控股固定资产投资(不含农户)_比上年增长,10.7,27.0,2.8,22.3,24.3,,,,,,,,,,,,,,
开采专业及辅助活动私人控股固定资产投资(不含农户)_比上年增长,-4.1,82.5,-55.7,36.4,-14.8,,,,,,,,,,,,,,
其他采矿业私人控股固定资产投资(不含农户)_比上年增长,-8.9,84.1,-54.3,31.3,77.4,,,,,,,,,,,,,,
制造业私人控股固定资产投资(不含农户)_比上年增长,15.2,23.1,-5.8,2.7,8.2,,,,,,,,,,,,,,
农副食品加工业私人控股固定资产投资(不含农户)_比上年增长,10.0,24.6,-4.2,-8.0,-2.8,,,,,,,,,,,,,,
食品制造业私人控股固定资产投资(不含农户)_比上年增长,13.9,15.6,-2.9,-1.4,1.8,,,,,,,,,,,,,,
酒、饮料和精制茶制造业私人控股固定资产投资(不含农户)_比上年增长,20.5,25.5,-10.1,2.7,-5.0,,,,,,,,,,,,,,
烟草制品业私人控股固定资产投资(不含农户)_比上年增长,-48.7,26.3,141.2,-75.1,30.1,,,,,,,,,,,,,,
纺织业私人控股固定资产投资(不含农户)_比上年增长,5.0,17.0,-2.9,-11.4,4.7,,,,,,,,,,,,,,
纺织服装、服饰业私人控股固定资产投资(不含农户)_比上年增长,22.2,9.2,-37.0,3.8,-3.7,,,,,,,,,,,,,,
皮革、毛皮、羽毛及其制品和制鞋业私人控股固定资产投资(不含农户)_比上年增长,26.5,0.6,-19.1,-0.3,0.6,,,,,,,,,,,,,,
木材加工和木、竹、藤、棕、草制品业私人控股固定资产投资(不含农户)_比上年增长,19.7,15.8,-18.7,-10.4,19.6,,,,,,,,,,,,,,
家具制造业私人控股固定资产投资(不含农户)_比上年增长,13.8,4.2,-16.4,-0.3,22.4,,,,,,,,,,,,,,
造纸及纸制品业私人控股固定资产投资(不含农户)_比上年增长,1.4,26.9,-8.3,-7.5,-0.9,,,,,,,,,,,,,,
印刷和记录媒介复制业私人控股固定资产投资(不含农户)_比上年增长,8.2,12.5,-22.5,6.5,5.2,,,,,,,,,,,,,,
文教、工美、体育和娱乐用品制造业私人控股固定资产投资(不含农户)_比上年增长,18.4,12.7,-26.5,-0.3,11.9,,,,,,,,,,,,,,
石油、煤炭及其他燃料加工业私人控股固定资产投资(不含农户)_比上年增长,-9.5,19.5,7.2,18.4,16.6,,,,,,,,,,,,,,
化学原料及化学制品制造业私人控股固定资产投资(不含农户)_比上年增长,21.1,18.5,-3.4,1.8,3.0,,,,,,,,,,,,,,
医药制造业私人控股固定资产投资(不含农户)_比上年增长,4.9,13.8,27.0,7.8,1.9,,,,,,,,,,,,,,
化学纤维制造业私人控股固定资产投资(不含农户)_比上年增长,19.3,38.5,-13.1,-23.3,38.9,,,,,,,,,,,,,,
橡胶和塑料制品业私人控股固定资产投资(不含农户)_比上年增长,11.8,19.5,-2.9,1.9,5.8,,,,,,,,,,,,,,
非金属矿物制品业私人控股固定资产投资(不含农户)_比上年增长,6.0,21.8,-5.3,6.7,16.2,,,,,,,,,,,,,,
黑色金属冶炼和压延加工业私人控股固定资产投资(不含农户)_比上年增长,2.6,40.5,15.4,18.6,15.8,,,,,,,,,,,,,,
有色金属冶炼和压延加工业私人控股固定资产投资(不含农户)_比上年增长,20.5,22.7,2.3,2.9,8.5,,,,,,,,,,,,,,
金属制品业私人控股固定资产投资(不含农户)_比上年增长,12.4,19.0,-9.8,-5.3,15.9,,,,,,,,,,,,,,
通用设备制造业私人控股固定资产投资(不含农户)_比上年增长,15.7,18.1,-9.0,-0.7,8.4,,,,,,,,,,,,,,
专用设备制造业私人控股固定资产投资(不含农户)_比上年增长,13.3,30.3,-6.4,10.7,13.5,,,,,,,,,,,,,,
汽车制造业私人控股固定资产投资(不含农户)_比上年增长,21.3,17.1,-17.4,-10.1,3.2,,,,,,,,,,,,,,
铁路、船舶、航空航天和其他运输设备制造业私人控股固定资产投资(不含农户)_比上年增长,8.5,27.7,4.3,-14.0,-3.9,,,,,,,,,,,,,,
电气机械和器材制造业私人控股固定资产投资(不含农户)_比上年增长,43.8,31.3,-11.3,-3.8,8.5,,,,,,,,,,,,,,
计算机、通信和其他电子设备制造业私人控股固定资产投资(不含农户)_比上年增长,17.4,43.3,5.8,35.7,13.9,,,,,,,,,,,,,,
仪器仪表制造业私人控股固定资产投资(不含农户)_比上年增长,29.5,21.3,-12.0,64.7,4.0,,,,,,,,,,,,,,
其他制造业私人控股固定资产投资(不含农户)_比上年增长,1.1,8.4,-23.8,11.2,3.7,,,,,,,,,,,,,,
废弃资源综合利用业私人控股固定资产投资(不含农户)_比上年增长,23.9,19.6,2.4,19.0,29.0,,,,,,,,,,,,,,
金属制品、机械和设备修理业私人控股固定资产投资(不含农户)_比上年增长,-34.8,57.7,-44.3,78.0,-29.0,,,,,,,,,,,,,,
电力、热力、燃气及水生产和供应业私人控股固定资产投资(不含农户)_比上年增长,14.8,15.4,11.0,-9.9,-9.0,,,,,,,,,,,,,,
电力、热力生产和供应业私人控股固定资产投资(不含农户)_比上年增长,18.8,20.0,16.0,-14.9,-13.9,,,,,,,,,,,,,,
