指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
国有控股工业企业个人资本金,2166.69,2124.36,2113.51,2131.36,1967.39,1911.56,1790.25,1616.85,,,,,,,,
煤炭开采和洗选业国有控股工业企业个人资本金,192.58,183.62,204.49,172.17,187.45,177.47,140.68,125.11,,,,,,,,
石油和天然气开采业国有控股工业企业个人资本金,0.49,0.14,0.15,0.18,0.3,0.04,2.9,0.01,,,,,,,,
黑色金属矿采选业国有控股工业企业个人资本金,10.89,22.55,13.45,10.87,11.46,12.04,13.18,12.85,,,,,,,,
有色金属矿采选业国有控股工业企业个人资本金,11.04,14.14,11.07,9.52,12.24,10.03,10.65,13.51,,,,,,,,
非金属矿采选业国有控股工业企业个人资本金,3.27,3.26,7.81,59.2,44.65,8.02,5.62,2.01,,,,,,,,
开采辅助活动国有控股工业企业个人资本金,6.88,0.57,0.73,0.73,0.98,0.94,1.17,0.23,,,,,,,,
其他采矿业国有控股工业企业个人资本金,,,,,0.0,0.0,0.0,,,,,,,,,
农副食品加工业国有控股工业企业个人资本金,17.14,24.91,28.22,33.49,37.1,31.38,24.7,26.64,,,,,,,,
食品制造业国有控股工业企业个人资本金,21.42,23.72,25.2,21.46,16.49,45.05,36.32,27.35,,,,,,,,
酒、饮料和精制茶制造业国有控股工业企业个人资本金,29.02,36.06,24.02,64.08,38.43,47.92,128.11,53.79,,,,,,,,
烟草制品业国有控股工业企业个人资本金,3.02,1.92,0.06,0.08,0.08,0.1,0.03,0.03,,,,,,,,
纺织业国有控股工业企业个人资本金,35.9,28.03,30.1,22.27,26.83,22.7,19.53,19.43,,,,,,,,
纺织服装、服饰业国有控股工业企业个人资本金,1.37,0.93,1.48,1.15,0.95,0.53,0.51,0.59,,,,,,,,
皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业个人资本金,0.5,0.64,0.15,0.38,0.11,0.11,0.19,0.12,,,,,,,,
木材加工和木、竹、藤、棕、草制品业国有控股工业企业个人资本金,12.35,5.44,7.43,8.55,6.37,4.78,4.11,4.44,,,,,,,,
家具制造业国有控股工业企业个人资本金,0.26,0.2,0.21,0.2,0.24,0.23,0.24,0.24,,,,,,,,
造纸和纸制品业国有控股工业企业个人资本金,40.19,15.44,23.82,23.77,25.82,23.31,12.22,42.11,,,,,,,,
印刷和记录媒介复制业国有控股工业企业个人资本金,6.26,7.53,9.66,8.14,9.53,9.01,7.41,8.93,,,,,,,,
文教、工美、体育和娱乐用品制造业国有控股工业企业个人资本金,0.8,1.29,1.35,1.98,1.73,0.9,0.88,1.4,,,,,,,,
石油加工、炼焦和核燃料加工业国有控股工业企业个人资本金,57.86,52.31,45.53,42.96,41.43,38.59,83.9,29.7,,,,,,,,
化学原料和化学制品制造业国有控股工业企业个人资本金,175.49,183.92,199.28,159.31,144.27,216.37,127.9,116.65,,,,,,,,
医药制造业国有控股工业企业个人资本金,91.94,86.42,85.27,87.26,93.48,85.96,75.12,65.81,,,,,,,,
化学纤维制造业国有控股工业企业个人资本金,22.09,16.06,16.37,15.28,17.12,31.44,30.18,29.32,,,,,,,,
橡胶和塑料制品业国有控股工业企业个人资本金,22.24,29.34,19.04,20.96,19.23,27.51,23.81,24.92,,,,,,,,
非金属矿物制品业国有控股工业企业个人资本金,77.84,67.13,124.04,111.92,95.63,86.87,89.24,65.31,,,,,,,,
黑色金属冶炼和压延加工业国有控股工业企业个人资本金,208.2,195.81,121.32,160.56,146.38,238.33,210.08,146.54,,,,,,,,
有色金属冶炼和压延加工业国有控股工业企业个人资本金,156.86,125.97,124.85,117.4,101.0,71.23,88.22,94.75,,,,,,,,
金属制品业国有控股工业企业个人资本金,44.05,47.47,31.38,18.67,32.58,16.56,20.78,41.64,,,,,,,,
通用设备制造业国有控股工业企业个人资本金,120.82,101.77,139.84,81.6,82.75,66.57,63.6,52.98,,,,,,,,
专用设备制造业国有控股工业企业个人资本金,83.33,85.41,103.62,110.32,111.18,55.59,57.39,66.04,,,,,,,,
汽车制造业国有控股工业企业个人资本金,105.57,151.59,125.44,121.25,120.55,123.05,97.34,100.94,,,,,,,,
铁路、船舶、航空航天和其他运输设备国有控股工业企业个人资本金,39.89,20.21,11.95,27.81,30.1,25.01,22.85,23.19,,,,,,,,
电气机械和器材制造业国有控股工业企业个人资本金,87.74,101.06,122.71,103.96,88.54,66.62,66.97,53.0,,,,,,,,
计算机、通信和其他电子设备制造业国有控股工业企业个人资本金,110.38,153.51,115.58,157.28,103.51,85.57,91.39,150.99,,,,,,,,
仪器仪表制造业国有控股工业企业个人资本金,39.74,10.44,27.64,25.98,33.38,27.98,10.36,12.03,,,,,,,,
其他制造业国有控股工业企业个人资本金,0.06,8.75,9.83,10.52,6.14,5.83,10.39,2.39,,,,,,,,
废弃资源综合利用业国有控股工业企业个人资本金,3.97,2.42,1.55,1.54,1.29,0.91,1.11,0.14,,,,,,,,
金属制品、机械和设备修理业国有控股工业企业个人资本金,0.63,0.77,0.22,0.03,0.04,4.93,0.14,0.2,,,,,,,,
电力、热力生产和供应业国有控股工业企业个人资本金,254.52,249.88,250.85,280.72,242.57,203.65,194.47,179.71,,,,,,,,
燃气生产和供应业国有控股工业企业个人资本金,23.21,20.96,14.97,7.96,8.07,7.27,2.93,7.87,,,,,,,,
水的生产和供应业国有控股工业企业个人资本金,46.91,42.76,32.83,29.86,27.39,31.14,13.65,13.96,,,,,,,,
