指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
私营工业企业实收资本,54892.63,56337.05,49366.9,47970.79,45401.69,42631.54,36729.07,30515.03,,,,,,,,
煤炭开采和洗选业私营工业企业实收资本,719.11,755.22,718.14,725.87,823.6,859.52,1021.99,822.22,,,,,,,,
石油和天然气开采业私营工业企业实收资本,6.29,6.8,2.44,2.17,3.4,6.64,6.66,8.72,,,,,,,,
黑色金属矿采选业私营工业企业实收资本,234.5,238.07,247.28,442.8,510.32,712.7,559.64,576.27,,,,,,,,
有色金属矿采选业私营工业企业实收资本,164.32,183.21,244.1,247.1,244.05,265.47,253.56,212.01,,,,,,,,
非金属矿采选业私营工业企业实收资本,348.99,340.78,348.77,355.82,395.96,311.93,291.34,260.43,,,,,,,,
开采辅助活动私营工业企业实收资本,27.67,21.93,13.35,16.29,17.46,15.83,9.3,8.61,,,,,,,,
其他采矿业私营工业企业实收资本,1.78,2.18,2.36,4.25,3.76,3.15,3.38,2.7,,,,,,,,
农副食品加工业私营工业企业实收资本,2597.59,4947.15,2747.5,3137.04,2767.75,2535.15,2218.92,1807.27,,,,,,,,
食品制造业私营工业企业实收资本,1059.74,1360.82,1065.85,1036.63,986.58,840.47,708.1,607.6,,,,,,,,
酒、饮料和精制茶制造业私营工业企业实收资本,706.16,1908.81,758.16,774.37,701.81,604.35,503.43,403.6,,,,,,,,
烟草制品业私营工业企业实收资本,2.16,2.24,2.9,2.01,1.88,1.4,1.4,1.6,,,,,,,,
纺织业私营工业企业实收资本,2073.82,2130.87,2021.55,2324.93,2093.7,2109.9,2028.13,1707.88,,,,,,,,
纺织服装、服饰业私营工业企业实收资本,944.23,1015.47,963.22,994.72,996.02,937.04,840.02,726.91,,,,,,,,
皮革、毛皮、羽毛及其制品和制鞋业私营工业企业实收资本,553.94,544.76,476.24,506.67,441.57,461.39,401.25,365.63,,,,,,,,
木材加工和木、竹、藤、棕、草制品业私营工业企业实收资本,673.18,876.63,891.34,833.78,798.0,811.88,672.6,585.34,,,,,,,,
家具制造业私营工业企业实收资本,1137.08,761.21,632.78,717.71,551.37,488.82,488.19,402.97,,,,,,,,
造纸和纸制品业私营工业企业实收资本,733.83,782.4,873.32,608.56,686.93,687.2,587.18,568.58,,,,,,,,
印刷和记录媒介复制业私营工业企业实收资本,507.81,485.32,453.17,449.69,515.32,390.77,314.95,237.76,,,,,,,,
文教、工美、体育和娱乐用品制造业私营工业企业实收资本,718.93,729.42,731.02,787.86,628.74,864.1,446.83,336.08,,,,,,,,
石油加工、炼焦和核燃料加工业私营工业企业实收资本,1050.46,812.92,788.49,760.43,686.06,1088.98,988.69,595.33,,,,,,,,
化学原料和化学制品制造业私营工业企业实收资本,3650.27,3670.96,3749.88,3797.91,4040.75,3103.61,2807.4,2319.59,,,,,,,,
医药制造业私营工业企业实收资本,1435.35,1365.17,1198.39,1120.09,1019.19,874.26,823.29,595.76,,,,,,,,
化学纤维制造业私营工业企业实收资本,610.6,615.61,426.32,394.57,399.44,373.09,341.65,298.98,,,,,,,,
橡胶和塑料制品业私营工业企业实收资本,2240.36,1986.85,2113.45,1797.1,1653.93,1525.29,1785.44,1442.49,,,,,,,,
非金属矿物制品业私营工业企业实收资本,5279.19,4672.17,5127.27,4460.21,4773.16,4309.65,3408.54,2745.87,,,,,,,,
黑色金属冶炼和压延加工业私营工业企业实收资本,3106.03,2783.52,2725.08,2262.28,2230.72,2294.58,2243.69,1912.97,,,,,,,,
有色金属冶炼和压延加工业私营工业企业实收资本,1825.85,1704.98,1306.31,1387.35,1251.84,1313.39,1122.93,865.71,,,,,,,,
金属制品业私营工业企业实收资本,2957.68,2703.35,2645.97,2684.56,2160.82,2010.8,1770.9,1433.99,,,,,,,,
通用设备制造业私营工业企业实收资本,3503.57,3965.89,3159.51,2847.66,2593.56,2644.57,2165.91,1884.1,,,,,,,,
专用设备制造业私营工业企业实收资本,2436.64,2340.64,2233.93,2760.1,2001.7,1921.0,1564.36,1218.88,,,,,,,,
汽车制造业私营工业企业实收资本,2145.48,1965.82,1789.63,1804.03,1277.65,1123.37,908.07,786.5,,,,,,,,
铁路、船舶、航空航天和其他运输设备私营工业企业实收资本,600.13,636.37,589.86,630.83,586.9,538.44,525.17,429.28,,,,,,,,
电气机械和器材制造业私营工业企业实收资本,4874.54,4621.44,4097.95,3850.02,3758.01,4226.4,2906.85,2484.35,,,,,,,,
计算机、通信和其他电子设备制造业私营工业企业实收资本,2977.87,2444.49,2054.54,1622.35,1363.74,1155.73,1005.38,926.63,,,,,,,,
仪器仪表制造业私营工业企业实收资本,584.28,907.56,498.95,442.75,409.35,374.08,342.27,303.71,,,,,,,,
其他制造业私营工业企业实收资本,125.99,123.21,132.96,118.02,111.86,100.9,86.01,76.97,,,,,,,,
废弃资源综合利用业私营工业企业实收资本,274.31,306.17,202.29,282.25,174.49,152.28,122.94,88.86,,,,,,,,
金属制品、机械和设备修理业私营工业企业实收资本,32.79,33.73,34.77,23.13,21.72,21.66,23.98,20.47,,,,,,,,
电力、热力生产和供应业私营工业企业实收资本,1615.52,1295.44,1101.42,794.86,1579.91,452.85,334.69,361.31,,,,,,,,
燃气生产和供应业私营工业企业实收资本,227.41,190.45,127.05,107.23,93.1,74.81,54.81,53.18,,,,,,,,
水的生产和供应业私营工业企业实收资本,127.15,97.02,69.38,54.8,45.57,44.1,39.27,27.92,,,,,,,,
