指标,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
规模以上工业企业工业销售产值(现价),827796.99,684735.2,536134.06,494733.65,397626.73,310828.58,246946.37,197805.15
煤炭开采和洗选业规模以上工业企业工业销售产值(现价),28296.02,21538.61,16021.72,14372.34,9024.71,7107.1,5630.35,4010.69
石油和天然气开采业规模以上工业企业工业销售产值(现价),12774.55,9819.15,7474.29,9486.11,8260.96,7688.54,6275.71,4569.41
黑色金属矿采选业规模以上工业企业工业销售产值(现价),7679.56,5803.16,3610.81,3600.22,2077.81,1353.41,960.08,708.33
有色金属矿采选业规模以上工业企业工业销售产值(现价),4892.88,3695.82,2713.75,2634.33,2229.97,1638.2,1118.65,789.34
非金属矿采选业规模以上工业企业工业销售产值(现价),3772.32,2994.72,2229.22,1818.51,1336.09,1007.03,739.73,579.57
其他采矿业规模以上工业企业工业销售产值(现价),16.19,30.48,13.51,10.23,10.82,5.11,8.3,5.76
农副食品加工业规模以上工业企业工业销售产值(现价),43272.65,34228.93,27362.87,23373.92,17134.78,12722.34,10405.56,8154.99
食品制造业规模以上工业企业工业销售产值(现价),13795.29,11049.45,9001.45,7461.37,5920.08,4612.91,3697.5,2813.01
饮料制造业规模以上工业企业工业销售产值(现价),11542.05,8915.26,7259.52,6068.51,4962.96,3825.15,3020.69,2389.4
烟草制品业规模以上工业企业工业销售产值(现价),6839.57,5846.4,4908.78,4440.62,3791.72,3213.93,2881.3,2589.48
纺织业规模以上工业企业工业销售产值(现价),32068.29,27972.91,22486.61,20908.03,18322.13,15012.96,12408.2,10125.79
纺织服装、鞋、帽制造业规模以上工业企业工业销售产值(现价),13193.69,11992.48,10163.81,9161.78,7404.41,5986.04,4849.34,3889.16
皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业工业销售产值(现价),8728.17,7724.8,6268.44,5757.81,5037.08,4062.49,3390.05,2693.48
木材加工及木、竹、藤、棕、草制品业规模以上工业企业工业销售产值(现价),8772.1,7208.9,5610.58,4662.56,3432.0,2360.35,1771.78,1346.82
家具制造业规模以上工业企业工业销售产值(现价),4976.72,4305.23,3363.3,3003.72,2369.84,1834.04,1398.35,1130.89
造纸及纸制品业规模以上工业企业工业销售产值(现价),11815.18,10246.3,8110.39,7651.68,6226.18,4952.35,4063.31,3280.88
印刷业和记录媒介的复制规模以上工业企业工业销售产值(现价),3793.34,3501.26,2901.92,2627.34,2068.9,1664.98,1408.36,1167.97
文教体育用品制造业规模以上工业企业工业销售产值(现价),3142.11,3073.59,2580.37,2429.68,2047.92,1724.09,1453.4,1192.68
石油加工、炼焦及核燃料加工业规模以上工业企业工业销售产值(现价),36525.65,28901.13,21207.27,22292.05,17745.55,15018.66,11886.98,8842.95
化学原料及化学制品制造业规模以上工业企业工业销售产值(现价),59478.3,46854.79,35996.92,33054.85,26203.18,20016.0,16035.9,12611.58
医药制造业规模以上工业企业工业销售产值(现价),14262.31,11168.5,9021.74,7481.92,6003.96,4764.23,4003.14,3067.47
化学纤维制造业规模以上工业企业工业销售产值(现价),6507.62,4868.2,3779.85,3876.63,4006.79,3151.73,2564.28,1905.33
橡胶制品业规模以上工业企业工业销售产值(现价),7219.5,5803.94,4680.28,4144.0,3402.06,2673.03,2139.31,1786.75
塑料制品业规模以上工业企业工业销售产值(现价),15270.29,13598.22,10697.78,9671.19,7944.04,6244.26,4952.39,4118.41
非金属矿物制品业规模以上工业企业工业销售产值(现价),39285.23,31326.46,24279.04,20376.74,15196.73,11447.79,8966.17,7347.86
黑色金属冶炼及压延加工业规模以上工业企业工业销售产值(现价),63136.66,51167.55,41737.49,43925.06,33405.39,25121.41,21035.94,16693.3
有色金属冶炼及压延加工业规模以上工业企业工业销售产值(现价),35091.06,27557.16,20085.55,20345.16,17748.66,12708.93,7786.85,5915.24
金属制品业规模以上工业企业工业销售产值(现价),22882.48,19649.67,15620.82,14653.98,11214.28,8347.94,6440.93,5033.14
通用设备制造业规模以上工业企业工业销售产值(现价),39992.18,34262.9,26714.99,23998.78,17962.89,13451.55,10331.81,8261.02
专用设备制造业规模以上工业企业工业销售产值(现价),25354.42,20878.51,16350.95,14002.6,10294.86,7724.74,5894.54,4924.47
交通运输设备制造业规模以上工业企业工业销售产值(现价),62256.41,54512.62,40793.04,32867.03,26549.42,19941.96,15616.71,13547.95
电气机械及器材制造业规模以上工业企业工业销售产值(现价),50141.59,42057.21,32558.56,29643.84,23398.19,17776.96,13564.89,10954.22
通信设备、计算机及其他电子设备制造规模以上工业企业工业销售产值(现价),62567.28,54190.95,43680.24,42928.17,38538.18,32362.74,26403.64,21810.9
仪器仪表及文化、办公用机械制造业规模以上工业企业工业销售产值(现价),7444.16,6267.36,4976.78,4824.93,4238.64,3471.54,2736.76,2159.3
工艺品及其他制造业规模以上工业企业工业销售产值(现价),7031.4,5511.61,4346.26,3956.91,3300.83,2478.85,1997.7,1598.55
废弃资源和废旧材料回收加工业规模以上工业企业工业销售产值(现价),2555.69,2270.27,1423.39,1096.91,670.6,408.64,282.63,197.16
电力、热力的生产和供应业规模以上工业企业工业销售产值(现价),47164.67,40449.23,33316.91,29749.94,26367.78,21518.15,17746.03,14682.79
燃气生产和供应业规模以上工业企业工业销售产值(现价),3110.92,2383.88,1799.92,1490.03,999.13,732.57,517.25,413.51
水的生产和供应业规模以上工业企业工业销售产值(现价),1148.45,1107.59,984.99,884.19,777.21,695.88,561.87,495.62
