指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
批发业法人企业单位数,230637,200137,168738,140075,113696.0,100988,95066,91819,93960,91607,72944,66752,59464.0,52853.0,59432.0,29046.0,28125.0,26963.0,30756.0
内资批发企业法人企业数,220992,191033,160408,133079,108261.0,96000,90507,87504,89668,87201,69356,63170,56684.0,50498.0,56652.0,27839.0,27106.0,25947.0,29559.0
国有批发企业法人企业数,2250,2105,2089,1334,1495.0,1887,2130,2368,2556,2755,4005,3936,3857.0,3922.0,4584.0,3810.0,4234.0,4710.0,5792.0
集体批发企业法人企业数,221,229,248,273,343.0,431,592,648,731,765,944,1030,1121.0,1101.0,1263.0,925.0,1028.0,1099.0,1316.0
股份合作批发企业法人企业数,167,165,151,110,109.0,105,126,163,197,225,352,353,352.0,372.0,450.0,282.0,292.0,354.0,448.0
联营批发企业法人企业数,56,44,43,16,12.0,17,17,24,30,45,131,130,129.0,130.0,150.0,181.0,186.0,173.0,232.0
国有联营批发企业法人企业数,36,25,14,3,3.0,5,5,4,6,16,57,51,53.0,51.0,59.0,72.0,79.0,84.0,97.0
集体联营批发企业法人企业数,8,6,4,6,5.0,6,7,8,12,12,23,20,20.0,17.0,22.0,22.0,23.0,18.0,30.0
国有与集体联营批发企业法人企业数,6,7,11,4,,3,3,6,6,8,20,24,25.0,33.0,35.0,45.0,42.0,38.0,57.0
其他联营批发企业法人企业数,6,6,14,3,,3,2,6,6,9,31,35,31.0,29.0,34.0,42.0,42.0,33.0,48.0
有限责任公司批发企业法人企业数,31263,26835,24825,29948,27384.0,29638,28865,27701,27598,25394,18847,16530,13932.0,12381.0,13370.0,7835.0,7606.0,7442.0,8355.0
国有独资公司批发企业法人企业数,2863,2291,2028,2086,1739.0,1548,1436,1295,1303,1204,597,536,475.0,458.0,483.0,356.0,379.0,426.0,505.0
其他有限责任公司批发企业法人企业数,28400,24544,22797,27862,25645.0,28090,27429,26406,26295,24190,18250,15994,13457.0,11923.0,12887.0,7479.0,7227.0,7016.0,7850.0
股份有限公司批发企业法人企业数,1614,1593,1747,2175,2136.0,2106,2067,1970,1981,2016,1606,1675,1588.0,1533.0,1798.0,1028.0,1075.0,1164.0,1251.0
私营批发企业法人企业数,184696,159472,130807,98753,76261.0,61032,55704,53537,55379,54453,41650,37980,35222.0,30657.0,34665.0,13673.0,12594.0,10933.0,12125.0
私营独资批发企业法人企业数,2726,2182,1870,564,466.0,472,577,713,764,922,2343,2306,2397.0,1808.0,2197.0,455.0,295.0,259.0,294.0
私营合伙批发企业法人企业数,301,256,250,62,51.0,50,55,136,141,168,460,509,534.0,464.0,718.0,150.0,131.0,130.0,154.0
私营有限责任公司批发企业法人企业数,180001,155511,127293,96716,74525.0,59176,53768,51436,53127,51895,37652,33918,31038.0,27205.0,30360.0,12571.0,11687.0,10109.0,11189.0
私营股份有限公司批发企业法人企业数,1668,1523,1394,1411,1219.0,1334,1304,1252,1347,1468,1195,1247,1253.0,1180.0,1390.0,497.0,481.0,435.0,488.0
其他内资批发企业法人企业数,725,590,498,470,521.0,784,1006,1093,1196,1548,1821,1536,483.0,402.0,372.0,105.0,91.0,72.0,40.0
港澳台投资批发企业法人企业数,4019,3730,3454,2990,2416.0,2299,2071,1896,1836,1766,1327,1261,962.0,790.0,871.0,389.0,310.0,308.0,329.0
合资经营批发企业(港或澳、台资)法人企业单位数,612,555,490,434,346.0,328,319,300,282,257,215,211,182.0,159.0,153.0,83.0,69.0,62.0,84.0
合作经营批发企业(港或澳、台资)法人企业单位数,25,23,19,19,13.0,17,23,19,23,20,18,20,12.0,17.0,17.0,14.0,11.0,13.0,15.0
港、澳、台商独资经营批发企业法人企业数,3189,2997,2814,2442,1977.0,1843,1649,1526,1485,1449,1056,997,735.0,590.0,677.0,287.0,222.0,227.0,218.0
港、澳、台商投资股份有限公司批发企业法人企业数,99,77,70,59,49.0,54,47,41,45,39,35,31,33.0,24.0,24.0,5.0,8.0,6.0,12.0
其他港澳台商投资批发企业法人企业数,94,78,61,36,31.0,57,33,10,1,1,3,2,,,,,,,
外商投资批发企业法人企业数,5626,5374,4876,4006,3019.0,2689,2488,2419,2456,2640,2261,2321,1818.0,1565.0,1909.0,818.0,709.0,708.0,868.0
中外合资经营批发企业法人企业数,825,782,691,591,460.0,380,355,366,392,377,354,372,367.0,283.0,292.0,141.0,127.0,117.0,166.0
中外合作经营批发企业法人企业数,22,21,20,17,14.0,18,13,16,19,21,23,23,22.0,22.0,28.0,11.0,17.0,14.0,17.0
外资批发企业法人企业数,4608,4402,4015,3243,2422.0,2175,2020,1949,1984,2189,1837,1881,1391.0,1222.0,1542.0,652.0,551.0,567.0,673.0
外商投资股份有限公司批发企业法人企业数,95,90,75,72,55.0,49,42,46,38,39,33,40,38.0,38.0,47.0,14.0,14.0,10.0,12.0
其他外商投资批发业法人企业数,76,79,75,83,68.0,67,58,42,23,14,14,5,,,,,,,
