指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
艺术表演团体从业人数,415207.0,453254.0,436899.0,412541.0,416374.0,402969.0,332920.0,301878.0,262887.0,260865.0,242047,226599,220653.0,208174.0,184678.0,185413.0,144167.0,141678.0,142081.0
国有艺术表演团体从业人数,94294.0,93905.0,94405.0,99134.0,99953.0,100294.0,97648.0,97704.0,97899.0,99035.0,123311,127046,128099.0,,,,,,
集体艺术表演团体从业人数,4898.0,5081.0,5137.0,5548.0,5673.0,5760.0,6076.0,6282.0,6629.0,6633.0,7392,9823,13016.0,,,,,,
其他艺术表演团体从业人数,316015.0,354268.0,337357.0,307859.0,310748.0,296915.0,229196.0,197892.0,158359.0,155197.0,111344,89730,79538.0,,,,,,
中央艺术表演团体从业人数,3424.0,3107.0,3074.0,4953.0,4798.0,4899.0,4967.0,5117.0,5291.0,5313.0,3367,5463,5060.0,,,,,,
省、区、市艺术表演团体从业人数,30346.0,29836.0,29682.0,30440.0,29622.0,29574.0,29831.0,29662.0,29120.0,28985.0,31613,33333,31376.0,,,,,,
地、市艺术表演团体从业人数,37676.0,37133.0,37103.0,37856.0,38241.0,38421.0,37769.0,37966.0,38346.0,39501.0,48816,48563,49025.0,,,,,,
县、市及以下艺术表演团体从业人数,343761.0,383178.0,367040.0,339292.0,343713.0,330075.0,260353.0,229133.0,190130.0,187066.0,158251,139240,135192.0,,,,,,
执行事业会计制度的艺术表演团体从业人数,73595.0,112003.0,74923.0,79655.0,80963.0,82286.0,82075.0,83589.0,84179.0,86470.0,98199,125105,,,,,,,
执行企业会计制度的艺术表演团体从业人数,341612.0,341251.0,361976.0,332886.0,335411.0,320683.0,250845.0,218289.0,178708.0,174395.0,143848,101494,,,,,,,
文化部门艺术表演团体从业人数,107139.0,106690.0,107525.0,113764.0,114401.0,115593.0,115235.0,115404.0,115292.0,117004.0,120048,132375,135940.0,,,,,,
其他部门艺术表演团体从业人数,308068.0,346564.0,329374.0,298777.0,301973.0,287376.0,217685.0,186474.0,147595.0,143861.0,121999,94224,84713.0,,,,,,
话剧、儿童剧、滑稽剧团从业人数,,,,,,,,,,,14495,7200,6726.0,6341.0,12248.0,11596.0,8485.0,8383.0,9596.0
歌剧、舞剧、歌舞剧团从业人数,,,,,,,,,,,13589,13091,13316.0,12723.0,11441.0,12458.0,11096.0,9671.0,10916.0
歌舞团、轻音乐团从业人数,,,,,,,,,,,40276,39590,37597.0,38005.0,29260.0,32927.0,21931.0,21585.0,21666.0
乐团、合唱团从业人数,,,,,,,,,,,7178,7231,7323.0,6049.0,2764.0,2710.0,2503.0,2425.0,2290.0
文工团、文宣队、乌兰牧骑从业人数,,,,,,,,,,,8854,10433,11411.0,10831.0,10773.0,9604.0,10068.0,10206.0,9335.0
戏曲剧团从业人数,,,,,,,,,,,92528,94003,95293.0,92387.0,82205.0,84713.0,71459.0,72525.0,73529.0
京剧剧团从业人数,,,,,,,,,,,7378,8067,7933.0,8139.0,7383.0,8471.0,7490.0,7981.0,8044.0
曲艺、杂技、木偶、皮影团从业人数,,,,,,,,,,,20942,22034,21805.0,21501.0,18116.0,14375.0,9664.0,9218.0,8845.0
综合性艺术表演团体从业人数,,,,,,,,,,,44185,33017,27182.0,20337.0,17871.0,17030.0,8961.0,7665.0,5904.0
