指标,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
大中型工业企业新产品产值,885826552.3,736062822.4,587144048.6,523942671.7,427637650.0,322619625.0,253823290.0,205625718.0
国有及国有控股大中型工业企业新产品产值,,290667158.0,252978363.8,224162481.0,,,,
内资大中型工业企业新产品产值,,461384217.5,370990059.2,306988007.5,,,,
国有大中型工业企业新产品产值,,61870783.1,66382427.8,36692881.6,,,,
集体大中型工业企业新产品产值,,10290205.3,8392141.9,6909200.4,,,,
股份合作大中型工业企业新产品产值,,2819353.2,1242670.9,1349518.5,,,,
联营大中型工业企业新产品产值,,1400838.7,1332957.2,2343076.1,,,,
国有联营大中型工业企业新产品产值,,1191570.2,1288907.8,2275313.9,,,,
有限责任公司大中型工业企业新产品产值,,182413084.4,140966287.5,125701179.7,,,,
国有独资公司大中型工业企业新产品产值,,45344677.8,37967906.1,32183991.8,,,,
股份有限公司大中型工业企业新产品产值,,116622572.6,92780093.0,87681235.1,,,,
私营大中型工业企业新产品产值,,85120865.7,58637200.6,45144590.5,,,,
其他大中型工业企业新产品产值,,846514.5,1256280.3,1166325.6,,,,
港、澳、台商投资大中型工业企业新产品产值,,68250989.8,61028132.8,60073207.4,,,,
合资经营大中型工业企业新产品产值,,32086287.4,27137175.7,19244149.7,,,,
合作经营大中型工业企业新产品产值,,795693.4,410069.5,230944.6,,,,
独资经营大中型工业企业新产品产值,,29330244.6,28196172.7,37548733.2,,,,
投资股份有限公司大中型工业企业新产品产值,,6038764.4,5284714.9,3049379.9,,,,
外商投资大中型工业企业新产品产值,,206427615.1,155125856.6,156881456.8,,,,
中外合资经营大中型工业企业新产品产值,,128338047.6,109175054.2,104378834.2,,,,
中外合作经营大中型工业企业新产品产值,,1068001.8,806697.9,672846.4,,,,
外资大中型工业企业新产品产值,,67065469.9,35510155.0,44199444.6,,,,
外商投资股份有限公司大中型工业企业新产品产值,,9956095.8,9633949.5,7630331.6,,,,
