指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
内河主要港口码头长度,1167231.0,1113835.0,1142202.0,1151479.0,791221.0,833754.0,902835.0,926768.0,938553.0,919926.0,909992.0,904494.0,886203.0,885120.0,573806.0,471029.0,389353.0,366387.0,351643.0
重庆港口码头长度,54585.0,54918.0,78878.0,81961.0,84771.0,88069.0,92013.0,90920.0,91322.0,94286.0,94554.0,94710.0,91730.0,88789.0,4126.0,3897.0,4654.0,4060.0,4011.0
万州港口码头长度,,,,,,,,,,,,,,6880.0,7480.0,9655.0,9655.0,9655.0,9655.0
宜昌港口码头长度,30078.0,22609.0,22924.0,23986.0,24676.0,24300.0,7412.0,7412.0,7412.0,7412.0,7412.0,7870.0,7870.0,2966.0,2466.0,3988.0,2925.0,1140.0,1140.0
武汉港口码头长度,20775.0,21575.0,19746.0,15834.0,16456.0,22188.0,22188.0,24910.0,24785.0,24015.0,23171.0,23171.0,22921.0,22396.0,20879.0,22980.0,22730.0,22495.0,20724.0
黄石港口码头长度,5315.0,6310.0,7336.0,4904.0,7892.0,7892.0,7662.0,10300.0,8412.0,8297.0,8018.0,8018.0,8018.0,8374.0,3347.0,3347.0,3347.0,3725.0,3207.0
九江港口码头长度,21440.0,4307.0,16204.0,16994.0,17516.0,16671.0,18311.0,18828.0,18828.0,13616.0,13616.0,13510.0,13510.0,16324.0,1240.0,1140.0,1140.0,1140.0,1140.0
安庆港口码头长度,4307.0,8990.0,3924.0,6183.0,7621.0,7775.0,10534.0,11735.0,11735.0,11231.0,11081.0,11081.0,11081.0,10616.0,10460.0,5104.0,2807.0,2807.0,2732.0
池州港口码头长度,8990.0,7192.0,8385.0,8129.0,8393.0,8395.0,9226.0,10359.0,10223.0,8752.0,8662.0,8032.0,8032.0,8034.0,6705.0,3975.0,1995.0,2210.0,1960.0
铜陵港口码头长度,7467.0,16263.0,7414.0,7414.0,7414.0,7934.0,8313.0,5726.0,6598.0,6716.0,6088.0,5496.0,5196.0,4825.0,4825.0,4001.0,4001.0,921.0,921.0
芜湖港口码头长度,13309.0,12741.0,12515.0,12515.0,13544.0,14186.0,14808.0,14076.0,13452.0,13527.0,12887.0,10278.0,10278.0,12464.0,11931.0,18749.0,2080.0,2080.0,2591.0
马鞍山港口码头长度,9441.0,9206.0,9793.0,9393.0,9027.0,9426.0,11389.0,10749.0,10749.0,9557.0,9110.0,6505.0,6719.0,6772.0,5811.0,2719.0,2499.0,2007.0,1779.0
南京港口码头长度,24606.0,24521.0,24263.0,26498.0,29958.0,29312.0,30359.0,32122.0,33307.0,34092.0,33261.0,31895.0,30600.0,28656.0,29611.0,23222.0,21611.0,20120.0,19675.0
镇江港口码头长度,24643.0,6884.0,24263.0,23546.0,22602.0,22602.0,22497.0,22187.0,21558.0,20623.0,19560.0,17357.0,15876.0,14737.0,16388.0,15814.0,15726.0,15831.0,12530.0
泰州港口码头长度,22768.0,21949.0,21158.0,21018.0,20989.0,19721.0,20849.0,17080.0,16926.0,16686.0,16686.0,15021.0,13173.0,9451.0,5855.0,7367.0,6512.0,5855.0,5056.0
扬州港口码头长度,10228.0,4423.0,9370.0,7446.0,7446.0,7603.0,7672.0,8029.0,7657.0,7308.0,6015.0,5187.0,4092.0,4092.0,3039.0,3039.0,3039.0,2739.0,2739.0
江阴港口码头长度,17711.0,17111.0,16514.0,16871.0,16692.0,14341.0,14756.0,12612.0,12022.0,12022.0,12022.0,11501.0,11501.0,11351.0,11163.0,9856.0,9452.0,7842.0,5010.0
常州港口码头长度,3746.0,3746.0,3746.0,4134.0,4134.0,4134.0,4134.0,3488.0,4388.0,4388.0,4161.0,3281.0,3111.0,2631.0,3144.0,3169.0,7110.0,6186.0,3558.0
南通港口码头长度,21852.0,25651.0,26515.0,20726.0,20165.0,19207.0,18774.0,18095.0,18095.0,17815.0,16805.0,16413.0,16528.0,15710.0,14466.0,13593.0,10155.0,8971.0,8371.0
上海(内河)港口码头长度,37727.0,36206.0,38745.0,42005.0,42005.0,44752.0,88904.0,97465.0,96671.0,88840.0,88679.0,92328.0,93202.0,91850.0,90103.0,76714.0,76843.0,75717.0,76242.0
内河港口生产用码头长度,1138922.0,1089212.0,1102597.0,1107654.0,753345.0,793878.0,860933.0,883858.0,896513.0,877067.0,862832.0,854821.0,843985.0,840273.0,542315.0,455492.0,379669.0,354147.0,342856.0
重庆港口生产用码头长度,47067.0,48370.0,59411.0,61659.0,63760.0,67078.0,70837.0,69984.0,70501.0,73204.0,73632.0,73938.0,73008.0,70127.0,3603.0,3374.0,4131.0,3571.0,3508.0
万州港口生产用码头长度,,,,,,,,,,,,,,5890.0,6490.0,7405.0,7405.0,7405.0,7405.0
宜昌港口生产用码头长度,29633.0,22609.0,22924.0,22685.0,23175.0,22799.0,5708.0,5708.0,5708.0,5708.0,5708.0,6222.0,6222.0,2716.0,2216.0,3413.0,2489.0,920.0,920.0
武汉港口生产用码头长度,18038.0,19695.0,18078.0,13906.0,14114.0,19436.0,19436.0,21908.0,21783.0,21013.0,20169.0,20169.0,19919.0,19394.0,17877.0,22390.0,22140.0,21905.0,20134.0
黄石港口生产用码头长度,5145.0,6310.0,7336.0,4904.0,7462.0,7462.0,7232.0,9870.0,7982.0,7867.0,7588.0,7588.0,7588.0,7854.0,3045.0,3045.0,3045.0,3378.0,3080.0
九江港口生产用码头长度,21199.0,3865.0,15963.0,15600.0,15311.0,14466.0,16286.0,16803.0,16803.0,11591.0,11591.0,11485.0,11485.0,14299.0,1110.0,1010.0,1010.0,1010.0,1010.0
安庆港口生产用码头长度,3865.0,8990.0,3485.0,5289.0,6549.0,6553.0,8962.0,10026.0,10026.0,9522.0,9372.0,9372.0,9372.0,8907.0,8701.0,4609.0,2342.0,2342.0,2252.0
池州港口生产用码头长度,8990.0,7147.0,8385.0,8129.0,8393.0,8395.0,9226.0,10359.0,10223.0,8752.0,8662.0,8032.0,8032.0,8034.0,6705.0,3975.0,1995.0,2055.0,1805.0
铜陵港口生产用码头长度,7422.0,16022.0,7369.0,7369.0,7369.0,7889.0,8087.0,5661.0,6533.0,6651.0,6023.0,5431.0,5131.0,4760.0,4760.0,3936.0,3936.0,856.0,856.0
芜湖港口生产用码头长度,13309.0,12741.0,12515.0,12515.0,13544.0,14186.0,14808.0,14076.0,13452.0,13527.0,12887.0,10278.0,10278.0,10644.0,10111.0,12980.0,1835.0,1835.0,2306.0
马鞍山港口生产用码头长度,9441.0,9206.0,9793.0,9393.0,8977.0,9376.0,11339.0,10699.0,10699.0,9507.0,9060.0,6455.0,6669.0,6727.0,5766.0,2674.0,2454.0,2007.0,1779.0
南京港口生产用码头长度,24606.0,24521.0,24263.0,26498.0,29318.0,28672.0,29604.0,31151.0,32195.0,32500.0,31669.0,30303.0,29008.0,27064.0,28019.0,21440.0,19829.0,18338.0,17893.0
镇江港口生产用码头长度,24523.0,6884.0,24143.0,23426.0,22482.0,22482.0,22377.0,22067.0,21438.0,20503.0,19440.0,17237.0,15756.0,14617.0,16148.0,15574.0,15576.0,15831.0,12530.0
泰州港口生产用码头长度,22768.0,21949.0,21158.0,21018.0,20989.0,19721.0,20849.0,17080.0,16926.0,16686.0,16686.0,15021.0,13149.0,9451.0,5831.0,7343.0,6488.0,5831.0,5032.0
扬州港口生产用码头长度,10228.0,4393.0,9370.0,7446.0,7446.0,7603.0,7672.0,7657.0,7657.0,7308.0,6015.0,5187.0,4092.0,4092.0,3039.0,3039.0,3039.0,2739.0,2739.0
江阴港口生产用码头长度,17711.0,17111.0,16514.0,16721.0,16542.0,14191.0,14606.0,12462.0,11872.0,11872.0,11872.0,11351.0,11351.0,11351.0,11163.0,9856.0,9452.0,7842.0,5010.0
