指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
国家铁路主要货物运输量,498327.49,372450.05,358002.95,343905.15,318957.68,291759.16,265086.4,270823.78,306259.31,321614.27,322345.58,328135.94,308209.46,276275.66,273932.26,261239.22,244395.0,230920.0,216961.0
国家铁路煤货运量,272950.85,181745.91,169691.83,172263.28,166421.98,149129.86,131790.73,143221.23,164130.57,167945.66,168515.29,172125.74,156020.0,132720.15,134325.0,122080.63,112034.0,107082.0,99210.0
国家铁路焦炭货运量,9091.53,7753.57,8956.43,8736.28,8512.43,8164.55,7659.4,7553.08,9589.54,9996.67,9337.88,9894.72,9494.14,8548.65,8774.73,9327.13,8831.0,7918.0,7189.0
国家铁路石油货运量,12378.37,10563.84,10979.99,11761.06,11507.51,11747.38,12478.22,12552.95,12806.97,12731.76,12652.42,12564.5,12847.46,12530.95,12671.3,12701.85,12743.0,12667.0,11944.0
国家铁路钢铁及有色金属货运量,22655.38,22512.08,22649.41,20466.85,18474.37,17131.13,15275.98,16063.47,19664.76,21569.8,21932.18,22778.56,22428.02,21526.54,20716.27,21593.76,20059.0,17536.0,16083.0
国家铁路金属矿石货运量,55166.8,46907.4,49081.17,46425.56,41869.77,38749.14,36188.32,32841.2,36708.4,40187.39,40111.76,39147.65,38087.75,35679.67,29795.95,27577.35,25568.0,22187.0,19319.0
国家铁路非金属矿石货运量,9165.5,7598.99,8329.83,7824.09,6273.07,5706.14,5070.9,5669.61,6451.64,7263.68,8750.55,9514.81,8706.68,7868.27,9054.11,9187.47,8675.0,8240.0,8039.0
国家铁路矿建材料货运量,11234.61,10517.66,12544.56,12022.05,7928.42,8712.06,9471.28,10438.1,11890.82,13547.95,11759.08,12440.35,12553.41,10745.24,9518.17,8031.52,8016.0,7820.0,7785.0
国家铁路水泥货运量,1588.78,1820.93,2052.24,2417.84,2436.25,2305.75,2130.79,2476.67,3416.53,3568.57,3425.67,3638.52,3526.4,3740.35,3549.28,3540.58,3799.0,3470.0,3700.0
国家铁路木材货运量,937.51,1392.64,1467.55,1996.42,2187.2,2557.36,2409.32,1883.11,2187.42,2483.18,2436.94,2813.91,2501.36,2475.52,2935.22,3729.38,3607.0,3501.0,3237.0
国家铁路化肥和农药货运量,,,,,,,,,7867.68,8339.72,8924.71,8308.37,8178.7,8029.33,7810.93,8151.59,7417.0,7163.0,6392.0
国家铁路粮食货运量,7440.33,6475.28,7573.46,7835.66,8450.57,7795.14,5981.26,5589.8,8260.37,10446.71,9980.74,9578.29,9692.36,9925.02,11469.53,10471.37,10111.0,11082.0,10906.0
国家铁路棉花货运量,,,,,,,,,495.9,436.59,388.6,275.76,397.28,442.64,388.2,386.28,389.0,283.0,264.0
国家铁路盐货运量,,,,,,,,,1531.37,1500.23,1532.42,1698.91,1379.34,1318.15,1413.03,1355.76,1288.0,1287.0,1278.0
国家铁路其他货物货运量,,,,,,,,,21257.35,21596.36,22597.33,23355.85,22396.55,20725.17,21510.55,23104.57,21858.0,20684.0,21615.0
